step,linear_lr,optimized_lr
0,0.0003,0.0003
1,0.00029998874953123043,0.000299999999626148
2,0.0002999774990624609,0.00029999999925229605
3,0.0002999662485936914,0.00029999999887844416
4,0.00029995499812492186,0.00029999999850459217
5,0.0002999437476561523,0.00029999999813074024
6,0.0002999324971873828,0.0002999999977568883
7,0.00029992124671861324,0.0002999999973830363
8,0.0002999099962498437,0.0002999999970091844
9,0.0002998987457810742,0.0002999999966353325
10,0.00029988749531230466,0.0002999999962614805
11,0.0002998762448435351,0.00029999999588762856
12,0.0002998649943747656,0.0002999999955137766
13,0.00029985374390599604,0.0002999999951399247
14,0.00029984249343722655,0.00029999999476607275
15,0.000299831242968457,0.0002999999943922208
16,0.00029981999249968747,0.0002999999940183688
17,0.0002998087420309179,0.0002999999936445169
18,0.0002997974915621484,0.000299999993270665
19,0.00029978624109337884,0.000299999992896813
20,0.00029977499062460935,0.0002999999925229611
21,0.0002997637401558398,0.00029999999214910914
22,0.00029975248968707027,0.00029999999177525715
23,0.00029974123921830073,0.00029999999140140526
24,0.0002997299887495312,0.0002999999910275533
25,0.0002997187382807617,0.00029999999065370134
26,0.00029970748781199216,0.00029999999027984935
27,0.0002996962373432226,0.0002999999899059974
28,0.0002996849868744531,0.0002999999895321455
29,0.00029967373640568353,0.0002999999891582936
30,0.000299662485936914,0.0002999999887844416
31,0.0002996512354681445,0.00029999998841058966
32,0.00029963998499937496,0.00029999998803673767
33,0.0002996287345306054,0.0002999999876628858
34,0.0002996174840618359,0.00029999998728903385
35,0.00029960623359306634,0.0002999999869151819
36,0.0002995949831242968,0.0002999999865413299
37,0.0002995837326555273,0.000299999986167478
38,0.00029957248218675776,0.00029999998579362605
39,0.0002995612317179882,0.0002999999854197741
40,0.0002995499812492187,0.0002999999850459222
41,0.00029953873078044914,0.00029999998467207024
42,0.00029952748031167965,0.00029999998429821825
43,0.0002995162298429101,0.00029999998392436637
44,0.00029950497937414057,0.0002999999835505144
45,0.000299493728905371,0.00029999998317666244
46,0.0002994824784366015,0.00029999998280281045
47,0.00029947122796783194,0.0002999999824289585
48,0.00029945997749906245,0.0002999999820551066
49,0.0002994487270302929,0.00029999998168125464
50,0.00029943747656152337,0.0002999999813074027
51,0.00029942622609275383,0.00029999998093355076
52,0.0002994149756239843,0.00029999998055969877
53,0.0002994037251552148,0.0002999999801858469
54,0.00029939247468644526,0.00029999997981199495
55,0.0002993812242176757,0.00029999997943814296
56,0.0002993699737489062,0.000299999979064291
57,0.00029935872328013663,0.0002999999786904391
58,0.0002993474728113671,0.00029999997831658715
59,0.0002993362223425976,0.0002999999779427352
60,0.00029932497187382806,0.0002999999775688833
61,0.0002993137214050585,0.0002999999771950313
62,0.000299302470936289,0.0002999999768211794
63,0.00029929122046751944,0.0002999999764473274
64,0.00029927996999874995,0.0002999999760734755
65,0.0002992687195299804,0.0002999999756996235
66,0.00029925746906121086,0.0002999999753257716
67,0.0002992462185924413,0.0002999999749519196
68,0.0002992349681236718,0.0002999999745780677
69,0.00029922371765490224,0.00029999997420421574
70,0.00029921246718613275,0.0002999999738303638
71,0.0002992012167173632,0.00029999997345651186
72,0.00029918996624859367,0.0002999999730826599
73,0.0002991787157798241,0.00029999997270880794
74,0.0002991674653110546,0.000299999972334956
75,0.0002991562148422851,0.00029999997196110406
76,0.00029914496437351555,0.0002999999715872521
77,0.000299133713904746,0.00029999997121340013
78,0.00029912246343597647,0.00029999997083954825
79,0.00029911121296720693,0.00029999997046569626
80,0.0002990999624984374,0.0002999999700918443
81,0.0002990887120296679,0.0002999999697179924
82,0.00029907746156089836,0.00029999996934414045
83,0.0002990662110921288,0.00029999996897028846
84,0.0002990549606233593,0.0002999999685964366
85,0.00029904371015458973,0.0002999999682225846
86,0.0002990324596858202,0.00029999996784873265
87,0.0002990212092170507,0.0002999999674748807
88,0.00029900995874828116,0.0002999999671010288
89,0.0002989987082795116,0.00029999996672717684
90,0.0002989874578107421,0.0002999999663533249
91,0.00029897620734197254,0.00029999996597947296
92,0.00029896495687320305,0.000299999965605621
93,0.0002989537064044335,0.00029999996523176904
94,0.00029894245593566396,0.0002999999648579171
95,0.0002989312054668944,0.00029999996448406516
96,0.0002989199549981249,0.0002999999641102132
97,0.00029890870452935534,0.0002999999637363613
98,0.00029889745406058585,0.0002999999633625093
99,0.0002988862035918163,0.00029999996298865736
100,0.00029887495312304677,0.0002999999626148054
101,0.0002988637026542772,0.0002999999622409535
102,0.0002988524521855077,0.00029999996186710155
103,0.0002988412017167382,0.0002999999614932496
104,0.00029882995124796865,0.0002999999611193976
105,0.0002988187007791991,0.0002999999607455457
106,0.00029880745031042957,0.00029999996037169375
107,0.00029879619984166003,0.0002999999599978418
108,0.0002987849493728905,0.0002999999596239899
109,0.000298773698904121,0.00029999995925013794
110,0.00029876244843535146,0.000299999958876286
111,0.0002987511979665819,0.000299999958502434
112,0.0002987399474978124,0.0002999999581285821
