step,linear_pred_loss,optimized_pred_loss
0,36.8827808133696,36.8827808133696
100,6.195781629870184,6.19297671318391
200,5.2588987700905285,5.255180303882271
301,4.8424474830906625,4.83812284433377
401,4.597994296416342,4.593229280907045
502,4.430108523618279,4.425000594856638
602,4.30779362442516,4.302417177367272
702,4.212853437513441,4.207261563068706
803,4.135725685433351,4.129958572471042
903,4.072593400121402,4.066686796536516
1004,4.018734555983747,4.012715607252322
1104,3.9729203841414105,3.9668141469159495
1204,3.93297937707599,3.9268063516546605
1305,3.897424241813999,3.891201893850675
1405,3.86609192659079,3.859836556028042
1506,3.8376867806147223,3.8314122427494524
1606,3.8122586706350297,3.8059777328294144
1707,3.7888887266071527,3.7826127733498436
1807,3.7677151234541655,3.7614543844327697
1907,3.7482342210456534,3.741998019170276
2008,3.7300577453159347,3.7238549917683965
2108,3.7133655461749853,3.707203798884687
2209,3.697670830243404,3.691557850785915
2309,3.683156810618826,3.677098855932986
2409,3.66955483055268,3.663558129086712
2510,3.6566484258606016,3.6507194779461147
2610,3.644612651208565,3.6387562285947275
2711,3.6331359388340383,3.62735790959442
2811,3.6223845058379935,3.616688868724174
2912,3.612089040799087,3.6064811499047766
3012,3.602406188896844,3.596889397175347
3112,3.5931898535887155,3.587768121440761
3213,3.584317332576515,3.578995406381981
3313,3.5759311216583556,3.5707115667506835
3414,3.567833366836682,3.5627206043669717
3514,3.5601577015480563,3.555153862907876
3614,3.552798277652217,3.5479063738758456
3715,3.5456642611973885,3.540888315128471
3815,3.5388771667979078,3.5342187639943408
3916,3.532283055996673,3.527745999415425
4016,3.5259961406063667,3.521581706873266
4116,3.5199350506709,3.5156455904090724
4217,3.5140287468173335,3.509867786049692
4317,3.508381621425721,3.504350039504644
4418,3.502869025902838,3.4989701920861824
4518,3.49758947884942,3.4938240428494356
4619,3.492427436476936,3.488798629006191
4719,3.4874760365365454,3.4839843016195653
4819,3.48267500592453,3.4793220547459023
4920,3.477970715913721,3.4747595995091327
5020,3.473449069143912,3.47037996066873
5121,3.469012794884377,3.4660886408517446
5221,3.4647434524015437,3.4619642661178727
5321,3.4605906671243165,3.45795783036786
5422,3.456509127433381,3.4540254487569104
5522,3.4525745252540485,3.4502398050572523
5623,3.4487032984237205,3.4465202634609793
5723,3.444967597811424,3.4429359213512525
5824,3.441288421209692,3.439410755480406
5924,3.43773464614002,3.4360105478271787
6024,3.4342656780153793,3.4326961796113413
6125,3.430844542681101,3.4294321957041327
6225,3.4275356609031356,3.4262798645999926
6326,3.4242696757099527,3.4231729207879487
6426,3.4211082964308677,3.4201698867923773
6526,3.418016038579131,3.4172368125795978
6627,3.4149603414818954,3.4143427068734478
6727,3.411999202132933,3.411542333188876
6828,3.409070985065605,3.408777238551134
6928,3.406231416258761,3.406099887614272
7028,3.4034490729665476,3.403480439091501
7129,3.40069493537688,3.4008914826868573
7229,3.3980216037365065,3.3983823194226486
7330,3.395373743798647,3.3959008707894385
7430,3.392802033793986,3.3934944931078874
7531,3.390253345563037,3.3911133387061687
7631,3.3877765545967775,3.3888029405862645
7731,3.3853446814562784,3.386537951515697
7832,3.3829326177806043,3.384294915418305
7932,3.3805867411224524,3.382116839825093
8033,3.3782587916863545,3.3799587984210704
8133,3.375993600977167,3.377862236655196
8233,3.373766716674831,3.3758043613044744
8334,3.3715552749241544,3.37376398353381
8434,3.3694019556641934,3.37178037591698
8535,3.3672626137481716,3.369812767811503
8635,3.3651785918322594,3.367899081995904
8736,3.3631072175518204,3.366000033949992
8836,3.361088568914742,3.364152271242365
8936,3.359101079604288,3.362335914744181
9037,3.357124468792795,3.3605323810170127
9137,3.3551970448521056,3.3587765341641296
9238,3.3532794483792325,3.3570324296877647
9338,3.351408881975432,3.3553338183075208
9438,3.3495654831740733,3.353662538462929
9539,3.347730506970148,3.3520015530339373
9639,3.345939603151241,3.3503830513624506
9740,3.3441562836532466,3.3487739779996817
9840,3.342415224627409,3.3472055438934527
9941,3.340680982533587,3.3456457433918008
10041,3.3389873065515947,3.3441248573468743
10141,3.337316341042463,3.3426267427816962
10242,3.3356511612551727,3.341136190473855
10342,3.3340242087434633,3.339682170621425
10443,3.332402423575434,3.338235068564934
10543,3.3308174237905184,3.336823030006515
10643,3.32925257156325,3.33543113378038
10744,3.3276920531884664,3.334045283042846
10844,3.326166321586636,3.3326924594071294
10945,3.324644422632788,3.3313451542679524
11045,3.323156073366277,3.330029615183029
11145,3.321685709497859,3.328731995114055
11246,3.3202185010872904,3.3274391784203092
11346,3.318783121168403,3.326176373051395
11447,3.3173504886112104,3.324917937667178
11547,3.315948615286934,3.32368842349593
11648,3.3145491130864606,3.3224628779609904
11748,3.313179359545044,3.3212652227029196
11848,3.3118250955868596,3.3200829105162706
11949,3.3104726932132675,3.3189040193192314
12049,3.309148626797887,3.3177515771954984
12150,3.30782611430078,3.3166022237727613
12250,3.3065310561256376,3.315478419642941
12350,3.305250008516714,3.3143684258114656
12451,3.3039700977798683,3.3132610659504036
12551,3.302716405161632,3.3121779941375555
12652,3.3014635974524733,3.311097278649736
12752,3.300236234099792,3.3100400610946337
12853,3.299009523039661,3.3089849423811595
12953,3.2978075208192177,3.307952571155801
13053,3.2966177922132354,3.306932201723687
13154,3.2954284005808034,3.3059135774254242
13254,3.2942626824950425,3.304916643611731
13355,3.293097110981902,3.3039212389513213
13455,3.2919545625831725,3.302946859778663
13555,3.290823242288254,3.301983388480528
13656,3.289691810742746,3.301021149702638
13756,3.2885824844972786,3.3000789996962414
13857,3.287472891561251,3.2991378996408236
13957,3.286384825902715,3.2982162981875143
14057,3.285307076388736,3.2973046448216725
14158,3.284228850158245,3.296393791855677
14258,3.283171333686537,3.295501601701333
14359,3.282113214233846,3.294610059265008
14459,3.2810752885283834,3.2937366533215604
14560,3.2800366439029047,3.2928637509225647
14660,3.279017699345261,3.29200847994937
14760,3.278007980646117,3.2911620005396687
14861,3.2769973872489797,3.2903158285151277
14961,3.2760057936358473,3.289486571373206
15062,3.2750132323254317,3.2886575000250335
15162,3.274039227521662,3.28784489219462
15262,3.273073781855208,3.2870403619637774
15363,3.2721072443662766,3.2862358489574874
15463,3.271158633393015,3.2854471553128546
15564,3.270208857102028,3.284658378215508
15664,3.269276607804537,3.283885011583876
15765,3.2683431266914664,3.283111463290305
15865,3.2674267889541686,3.282352933843889
15965,3.2665182065045384,3.2816016120492275
16066,3.2656083048610527,3.2808499763981027
16166,3.264715000065379,3.28011279895484
16267,3.263820325339716,3.2793752275338544
16367,3.262941900053685,3.2786517610552686
16467,3.2620707351039604,3.2779349561051987
16568,3.261198134820929,3.277217643013219
16668,3.260341288261889,3.276513927555174
16769,3.259482969322341,3.2758096363293028
16869,3.2586400885233626,3.2751186151395055
16970,3.257795703288305,3.2744269521401796
17070,3.2569664522786583,3.2737482527466493
17170,3.256143862052156,3.273075548007518
17271,3.2553197281911856,3.272402107080727
17371,3.2545102940565878,3.271741184017533
17472,3.2536992956720616,3.2710794754110357
