base_mae,channel,config_id,corr_mae,curvature_coef,curvature_lambda,curvature_mode,curvature_tau,delta_pct,primary_coef,raw_primary,scale,shrink,shrink_curvature,signed_curvature_coef,source_dot,source_full_l2,source_l2,source_retention,step_curvature_coef,step_curvature_shrunk,step_curvature_signed_coef,step_curvature_tau,step_primary_coef,step_primary_retention,step_primary_shrink,target_retention,test_curve,test_label,train_curve,win
0.003408385839825258,smooth,8,0.002028763507484023,0.0,4.0,signed_d2_lr,0.01,-40.477293275340145,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,1,0,0.0007633819902679157,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,8,0.0020975123081057234,0.0,4.0,signed_d2_lr,0.01,-33.11707850120887,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,1,0,0.0007633819902679157,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,8,0.0018035599387106415,0.0007795712347939899,4.0,signed_d2_lr,0.01,-59.806451556944076,0.02823553925170495,,25,,1,0,,,,,0.0007795712347939899,1,0,0.01,0.02823553925170495,0.025703819938550254,0.5714285714285714,0.3641248660541529,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,8,0.002303802161750007,0.0007795712347939899,4.0,signed_d2_lr,0.01,-21.277439782997842,0.02823553925170495,,25,,1,0,,,,,0.0007795712347939899,1,0,0.01,0.02823553925170495,0.025703819938550254,0.5714285714285714,0.6768565122572815,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,8,0.0021965434886830944,0.0007795712347939899,4.0,signed_d2_lr,0.01,-12.30729556948157,0.02823553925170495,,25,,1,0,,,,,0.0007795712347939899,1,0,0.01,0.02823553925170495,0.025703819938550254,0.5714285714285714,0.8204608255398329,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,8,0.0015664111728033144,0.0,4.0,signed_d2_lr,0.01,-58.20753202008486,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,1,0,0.0011988091251839222,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,8,0.0016025684965202782,0.0,4.0,signed_d2_lr,0.01,-50.664602484115804,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,1,0,0.0011988091251839222,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,8,0.002975050196388971,0.0017117538683665983,4.0,signed_d2_lr,0.01,-47.52442346762389,0.03711952558164653,,100,,1,0,,,,,0.0017117538683665983,1,0,0.01,0.03711952558164653,0.025703819938550254,0.5714285714285714,0.39941113440146575,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,8,0.0044773649940961615,0.0017117538683665983,4.0,signed_d2_lr,0.01,-9.266328367319165,0.03711952558164653,,100,,1,0,,,,,0.0017117538683665983,1,0,0.01,0.03711952558164653,0.025703819938550254,0.5714285714285714,0.7094085716886567,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,8,0.0012216866191647542,0.0017117538683665983,4.0,signed_d2_lr,0.01,-11.577094220570627,0.03711952558164653,,100,,1,0,,,,,0.0017117538683665983,1,0,0.01,0.03711952558164653,0.025703819938550254,0.5714285714285714,0.8404582323120814,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
