group,locality,mean_delta,median_delta,nonharm,nuisance,response_rule,rows,shrinkage,wins,worst_delta
core_wsd,none,100.55611754380149,23.884808677401104,7,constant_only,two_point_five_roundfast20,15,ridge_tau_0p05,2,472.01895648163116
extra_control,none,25.962308479470664,0.0,7,constant_only,two_point_five_roundfast20,9,ridge_tau_0p05,0,129.50712589576398
core_wsd,linear,46.88731259649174,0.0,9,constant_only,two_point_five_roundfast20,15,tau_free_sqrt_retention,4,277.53987188969916
extra_control,linear,0.0,0.0,9,constant_only,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,46.21753076149495,0.0,9,constant_only,two_point_five_roundfast20,15,tau_free_sqrt_retention,4,277.6017371541344
extra_control,none,10.82519880829264,0.0,7,constant_only,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,61.715684150538294
core_wsd,linear,-32.82569336684312,-39.347184548198214,15,dct_soft,two_point_five_roundfast20,15,ridge_tau_0p05,15,-5.300377471151208
extra_control,linear,0.0,0.0,9,dct_soft,two_point_five_roundfast20,9,ridge_tau_0p05,0,0.0
core_wsd,none,-34.5598985317148,-36.502491592646145,15,dct_soft,two_point_five_roundfast20,15,ridge_tau_0p05,15,-5.296443352845004
extra_control,none,14.020018774195579,0.0,6,dct_soft,two_point_five_roundfast20,9,ridge_tau_0p05,0,56.429853099638215
core_wsd,linear,-19.93255497323529,-12.063190693734516,15,dct_soft,two_point_five_roundfast20,15,tau_free_sqrt_retention,15,-5.863360741617296
extra_control,linear,0.0,0.0,9,dct_soft,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-20.89837252617191,-13.554362396289598,15,dct_soft,two_point_five_roundfast20,15,tau_free_sqrt_retention,15,-5.864060943658778
extra_control,none,2.652726618317066,0.0,6,dct_soft,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,13.37366566500866
core_wsd,linear,-0.2444888092306837,-0.2630348731253229,15,mpl_all7,two_point_five_roundfast20,15,ridge_tau_0p05,15,-0.05234016664951158
extra_control,linear,0.0,0.0,9,mpl_all7,two_point_five_roundfast20,9,ridge_tau_0p05,0,0.0
core_wsd,none,-0.27417274056042995,-0.28813950461870075,15,mpl_all7,two_point_five_roundfast20,15,ridge_tau_0p05,15,-0.0523477313504217
extra_control,none,0.07895437129071937,0.0,6,mpl_all7,two_point_five_roundfast20,9,ridge_tau_0p05,0,0.43963472786643365
core_wsd,linear,-5.002517204723732,-3.7742535828967583,15,mpl_all7,two_point_five_roundfast20,15,tau_free_sqrt_retention,15,-1.5360471118553765
extra_control,linear,0.0,0.0,9,mpl_all7,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-5.2500199027095995,-3.9011918311289695,15,mpl_all7,two_point_five_roundfast20,15,tau_free_sqrt_retention,15,-1.8804522938856483
extra_control,none,0.6656325858875335,0.0,6,mpl_all7,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,3.7845644002610035
core_wsd,linear,54.21121880173612,55.870817488541306,6,mpl_core3,two_point_five_roundfast20,15,ridge_tau_0p05,4,202.73435439376922
extra_control,linear,0.0,0.0,9,mpl_core3,two_point_five_roundfast20,9,ridge_tau_0p05,0,0.0
core_wsd,none,53.08659583926022,55.883952455496,6,mpl_core3,two_point_five_roundfast20,15,ridge_tau_0p05,4,202.78179939830744
extra_control,none,4.012106751709266,0.0,7,mpl_core3,two_point_five_roundfast20,9,ridge_tau_0p05,0,31.586706285870925
core_wsd,linear,29.12131959830329,30.519338133215257,7,mpl_core3,two_point_five_roundfast20,15,tau_free_sqrt_retention,5,111.37006574596447
extra_control,linear,0.0,0.0,9,mpl_core3,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,28.856381240505705,30.528809062106088,7,mpl_core3,two_point_five_roundfast20,15,tau_free_sqrt_retention,5,111.40430591040294
extra_control,none,0.951149061108198,0.0,7,mpl_core3,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,7.591010379635699
core_wsd,linear,-27.249907643228894,-31.08624992582383,15,mpl_ld4,two_point_five_roundfast20,15,ridge_tau_0p05,15,-3.001762892643167
extra_control,linear,0.0,0.0,9,mpl_ld4,two_point_five_roundfast20,9,ridge_tau_0p05,0,0.0
