base_mae,basis_dim,coef,corr_mae,delta_pct,denominator,group,lambda,locality,locality_factor,nuisance,response_rule,scale,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,win
0.003408385839825258,0,0.9780921593541827,0.016819432245459405,393.4720725844146,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,25,tau_free_sqrt_retention,0.02290050332212097,0.15301451324062326,0.15301451324062326,1.0,wsd_20000_24000.csv,WSD sharp,0
0.0031360955249893426,0,0.9780921593541827,0.013409197761378175,327.5761900276856,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,25,tau_free_sqrt_retention,0.02290050332212097,0.15301451324062326,0.15301451324062326,1.0,wsdld_20000_24000.csv,WSD linear,0
0.004487187642230267,0,0.9780921593541827,0.12054094032789751,2586.336073701278,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,25,tau_free_sqrt_retention,0.02290050332212097,0.15301451324062326,0.15301451324062326,1.0,wsdcon_3.csv,WSD-con 3e-5,0
0.002926482771138891,0,0.9780921593541827,0.035980202297426316,1129.4691310765518,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,25,tau_free_sqrt_retention,0.02290050332212097,0.15301451324062326,0.15301451324062326,1.0,wsdcon_9.csv,WSD-con 9e-5,0
0.002504818961791151,0,0.9780921593541827,0.012195338943161048,386.8750647927218,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,25,tau_free_sqrt_retention,0.02290050332212097,0.15301451324062326,0.15301451324062326,1.0,wsdcon_18.csv,WSD-con 18e-5,0
0.004428106847791531,0,0.9780921593541827,0.020549099194293825,364.0605997242921,0.023413441262264873,extra_control,20.0,none,1.0,none,fixed_lambda_20,25,tau_free_sqrt_retention,0.02290050332212097,0.15301451324062326,0.15301451324062326,1.0,cosine_24000.csv,Cosine 24k,0
0.003761619732988638,0,0.9780921593541827,0.003761619732988638,0.0,0.023413441262264873,extra_control,20.0,none,1.0,none,fixed_lambda_20,25,tau_free_sqrt_retention,0.02290050332212097,0.15301451324062326,0.15301451324062326,1.0,constant_24000.csv,Constant 24k,0
0.0015795124507172926,0,0.9780921593541827,0.0015795124507172926,0.0,0.023413441262264873,extra_control,20.0,none,1.0,none,fixed_lambda_20,25,tau_free_sqrt_retention,0.02290050332212097,0.15301451324062326,0.15301451324062326,1.0,constant_72000.csv,Constant 72k,0
0.0037480705220761528,0,1.091863493215054,0.01726725013776561,360.69704494783184,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,100,tau_free_sqrt_retention,0.025564281764802004,0.15301451324062326,0.15301451324062326,1.0,wsd_20000_24000.csv,WSD sharp,0
0.003248313740665229,0,1.091863493215054,0.013680172342170024,321.1468914135256,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,100,tau_free_sqrt_retention,0.025564281764802004,0.15301451324062326,0.15301451324062326,1.0,wsdld_20000_24000.csv,WSD linear,0
0.0056693997340904675,0,1.091863493215054,0.11953956766858498,2008.5048378188226,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,100,tau_free_sqrt_retention,0.025564281764802004,0.15301451324062326,0.15301451324062326,1.0,wsdcon_3.csv,WSD-con 3e-5,0
0.004934623402238123,0,1.091863493215054,0.037404220935667025,657.9954514604327,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,100,tau_free_sqrt_retention,0.025564281764802004,0.15301451324062326,0.15301451324062326,1.0,wsdcon_9.csv,WSD-con 9e-5,0
0.0013816404339982303,0,1.091863493215054,0.01165201952629311,743.3467376583766,0.023413441262264873,core_wsd,20.0,none,1.0,none,fixed_lambda_20,100,tau_free_sqrt_retention,0.025564281764802004,0.15301451324062326,0.15301451324062326,1.0,wsdcon_18.csv,WSD-con 18e-5,0
0.0032781062167547585,0,1.091863493215054,0.02125921707476548,548.5213006859663,0.023413441262264873,extra_control,20.0,none,1.0,none,fixed_lambda_20,100,tau_free_sqrt_retention,0.025564281764802004,0.15301451324062326,0.15301451324062326,1.0,cosine_24000.csv,Cosine 24k,0
0.001848699219840022,0,1.091863493215054,0.001848699219840022,0.0,0.023413441262264873,extra_control,20.0,none,1.0,none,fixed_lambda_20,100,tau_free_sqrt_retention,0.025564281764802004,0.15301451324062326,0.15301451324062326,1.0,constant_24000.csv,Constant 24k,0
0.004776169698442608,0,1.091863493215054,0.004776169698442608,0.0,0.023413441262264873,extra_control,20.0,none,1.0,none,fixed_lambda_20,100,tau_free_sqrt_retention,0.025564281764802004,0.15301451324062326,0.15301451324062326,1.0,constant_72000.csv,Constant 72k,0
0.004701998914275349,0,0.7121392812432031,0.01042186664396913,121.64757657276706,0.023414032104357954,core_wsd,20.0,none,1.0,none,fixed_lambda_20,400,tau_free_sqrt_retention,0.016674051993802758,0.15301644390181715,0.15301644390181715,1.0,wsd_20000_24000.csv,WSD sharp,0
0.0038535563963712593,0,0.7121392812432031,0.00866285566559957,124.80158000949557,0.023414032104357954,core_wsd,20.0,none,1.0,none,fixed_lambda_20,400,tau_free_sqrt_retention,0.016674051993802758,0.15301644390181715,0.15301644390181715,1.0,wsdld_20000_24000.csv,WSD linear,0
0.008173606778800102,0,0.7121392812432031,0.07478269912139826,814.9290043578102,0.023414032104357954,core_wsd,20.0,none,1.0,none,fixed_lambda_20,400,tau_free_sqrt_retention,0.016674051993802758,0.15301644390181715,0.15301644390181715,1.0,wsdcon_3.csv,WSD-con 3e-5,0
0.006687305974578527,0,0.7121392812432031,0.025956355234336554,288.14367598863265,0.023414032104357954,core_wsd,20.0,none,1.0,none,fixed_lambda_20,400,tau_free_sqrt_retention,0.016674051993802758,0.15301644390181715,0.15301644390181715,1.0,wsdcon_9.csv,WSD-con 9e-5,0
0.0025579541942073844,0,0.7121392812432031,0.008740434673956469,241.69629361423364,0.023414032104357954,core_wsd,20.0,none,1.0,none,fixed_lambda_20,400,tau_free_sqrt_retention,0.016674051993802758,0.15301644390181715,0.15301644390181715,1.0,wsdcon_18.csv,WSD-con 18e-5,0
0.007134640765897494,0,0.7121392812432031,0.02008321793524406,181.48884567866136,0.023414032104357954,extra_control,20.0,none,1.0,none,fixed_lambda_20,400,tau_free_sqrt_retention,0.016674051993802758,0.15301644390181715,0.15301644390181715,1.0,cosine_24000.csv,Cosine 24k,0
