base_mae,channel,config_id,corr_mae,curvature_coef,curvature_lambda,curvature_mode,curvature_tau,delta_pct,primary_coef,raw_primary,scale,shrink,shrink_curvature,signed_curvature_coef,smooth_config_id,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,source_dot,source_full_l2,source_l2,source_pair_config_id,source_retention,step_config_id,step_curvature_coef,step_curvature_shrunk,step_curvature_signed_coef,step_curvature_tau,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_primary_coef,step_primary_retention,step_primary_shrink,step_retention_power,step_rho,step_ridge_tau,target_retention,test_curve,test_label,train_curve,win
0.003408385839825258,smooth,10,0.002028763507484023,0.0,4.0,signed_d2_lr,0.01,-40.477293275340145,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,10,0.0020975123081057234,0.0,4.0,signed_d2_lr,0.01,-33.11707850120887,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,10,0.0017980206441649542,0.0013642496608894824,4.0,signed_d2_lr,0.01,-59.929898468179864,0.02823553925170495,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0013642496608894824,0,0,0.01,3000,20.0,16,0.015,0.02823553925170495,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.3624855375124594,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,10,0.002299494786766283,0.0013642496608894824,4.0,signed_d2_lr,0.01,-21.4246258531228,0.02823553925170495,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0013642496608894824,0,0,0.01,3000,20.0,16,0.015,0.02823553925170495,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.6747669115895301,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,10,0.0021940610707638225,0.0013642496608894824,4.0,signed_d2_lr,0.01,-12.406401251654176,0.02823553925170495,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0013642496608894824,0,0,0.01,3000,20.0,16,0.015,0.02823553925170495,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.8187366754659827,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,10,0.0015664111728033144,0.0,4.0,signed_d2_lr,0.01,-58.20753202008486,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,10,0.0016025684965202782,0.0,4.0,signed_d2_lr,0.01,-50.664602484115804,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,10,0.0029644704375847114,0.0029955692696415474,4.0,signed_d2_lr,0.01,-47.711035089673445,0.03711952558164653,,100,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0029955692696415474,0,0,0.01,3000,20.0,16,0.015,0.03711952558164653,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.3969157435284519,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,10,0.004469189337293253,0.0029955692696415474,4.0,signed_d2_lr,0.01,-9.432007815100329,0.03711952558164653,,100,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0029955692696415474,0,0,0.01,3000,20.0,16,0.015,0.03711952558164653,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.7063384146932475,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,10,0.0012169994452804302,0.0029955692696415474,4.0,signed_d2_lr,0.01,-11.916341232237782,0.03711952558164653,,100,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0029955692696415474,0,0,0.01,3000,20.0,16,0.015,0.03711952558164653,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.8378966698034583,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,10,0.0016880716653619192,0.0,4.0,signed_d2_lr,0.01,-64.09885037963525,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9817,0.008124693914388277,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,10,0.0017262912135956674,0.0,4.0,signed_d2_lr,0.01,-55.20264825444758,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9817,0.008124693914388277,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
