config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,pair_index,rows,shrink_curvature,signed_curvature_coef,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,source_decoupled_mean_delta,source_decoupled_worst_delta,source_pair_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
5130,4.0,signed_d2_lr,0.01,-37.47528408576996,0.017980869165890992,0.04144981569493524,-40.47600157834289,15,5,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.18106916853834,-6.289579347448537,8614,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
5131,4.0,signed_d2_lr,0.01,-37.47528408576996,0.017980869165890992,0.04144981569493524,-40.47600157834289,15,5,15,0,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.18106916853834,-6.289579347448537,8614,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
10,4.0,signed_d2_lr,0.01,-37.474984881105655,0.01797359049904667,0.04144899477758193,-40.477293275340145,15,0,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.181274747994884,-6.289566272098146,9817,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
11,4.0,signed_d2_lr,0.01,-37.474984881105655,0.01797359049904667,0.04144899477758193,-40.477293275340145,15,0,15,0,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.181274747994884,-6.289566272098146,9817,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
2058,4.0,signed_d2_lr,0.01,-37.474833188369864,0.01797359049904667,0.04144899477758193,-40.47614276278092,15,2,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.1811230552591,-6.289566272098146,9217,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
2059,4.0,signed_d2_lr,0.01,-37.474833188369864,0.01797359049904667,0.04144899477758193,-40.47614276278092,15,2,15,0,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.1811230552591,-6.289566272098146,9217,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
3082,4.0,signed_d2_lr,0.01,-37.474821787367354,0.01797359049904667,0.04144899477758193,-40.47600157834289,15,3,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.18111165425659,-6.289566272098146,8617,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
3083,4.0,signed_d2_lr,0.01,-37.474821787367354,0.01797359049904667,0.04144899477758193,-40.47600157834289,15,3,15,0,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.18111165425659,-6.289566272098146,8617,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
24586,4.0,signed_d2_lr,0.01,-37.469019069116385,0.01976547809575397,0.04163501665319244,-40.477293275340145,15,24,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.03140942698428,-6.163416034714187,9938,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
24587,4.0,signed_d2_lr,0.01,-37.469019069116385,0.01976547809575397,0.04163501665319244,-40.477293275340145,15,24,15,0,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.03140942698428,-6.163416034714187,9938,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
25610,4.0,signed_d2_lr,0.01,-37.468867376380594,0.01976547809575397,0.04163501665319244,-40.47614276278092,15,25,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.03125773424849,-6.163416034714187,9338,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
25611,4.0,signed_d2_lr,0.01,-37.468867376380594,0.01976547809575397,0.04163501665319244,-40.47614276278092,15,25,15,0,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.03125773424849,-6.163416034714187,9338,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
26634,4.0,signed_d2_lr,0.01,-37.46885597537809,0.01976547809575397,0.04163501665319244,-40.47600157834289,15,26,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.031246333245996,-6.163416034714187,8738,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
26635,4.0,signed_d2_lr,0.01,-37.46885597537809,0.01976547809575397,0.04163501665319244,-40.47600157834289,15,26,15,0,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.031246333245996,-6.163416034714187,8738,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
19466,4.0,signed_d2_lr,0.01,-37.468233023875676,0.01974368776680797,0.04163156265257769,-40.477293275340145,15,19,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.0321948017347,-6.163555762952511,9937,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
19467,4.0,signed_d2_lr,0.01,-37.468233023875676,0.01974368776680797,0.04163156265257769,-40.477293275340145,15,19,15,0,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.0321948017347,-6.163555762952511,9937,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
22538,4.0,signed_d2_lr,0.01,-37.468081331139885,0.01974368776680797,0.04163156265257769,-40.47614276278092,15,22,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.0320431089989,-6.163555762952511,9337,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
22539,4.0,signed_d2_lr,0.01,-37.468081331139885,0.01974368776680797,0.04163156265257769,-40.47614276278092,15,22,15,0,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.0320431089989,-6.163555762952511,9337,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
23562,4.0,signed_d2_lr,0.01,-37.46806993013738,0.01974368776680797,0.04163156265257769,-40.47600157834289,15,23,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.0320317079964,-6.163555762952511,8737,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
23563,4.0,signed_d2_lr,0.01,-37.46806993013738,0.01974368776680797,0.04163156265257769,-40.47600157834289,15,23,15,0,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.0320317079964,-6.163555762952511,8737,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
18442,4.0,signed_d2_lr,0.01,-37.4680078182875,0.019740008648937792,0.04163115166953545,-40.477293275340145,15,18,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.03222964976295,-6.163530578685239,9936,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
18443,4.0,signed_d2_lr,0.01,-37.4680078182875,0.019740008648937792,0.04163115166953545,-40.477293275340145,15,18,15,0,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.03222964976295,-6.163530578685239,9936,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
20490,4.0,signed_d2_lr,0.01,-37.46785612555171,0.019740008648937792,0.04163115166953545,-40.47614276278092,15,20,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.032077957027155,-6.163530578685239,9336,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
20491,4.0,signed_d2_lr,0.01,-37.46785612555171,0.019740008648937792,0.04163115166953545,-40.47614276278092,15,20,15,0,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.032077957027155,-6.163530578685239,9336,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
21514,4.0,signed_d2_lr,0.01,-37.4678447245492,0.019740008648937792,0.04163115166953545,-40.47600157834289,15,21,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.03206655602466,-6.163530578685239,8736,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
21515,4.0,signed_d2_lr,0.01,-37.4678447245492,0.019740008648937792,0.04163115166953545,-40.47600157834289,15,21,15,0,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.03206655602466,-6.163530578685239,8736,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
10502,10.0,signed_d2_lr,0.003,-37.46527403032206,0.025176832476581933,0.040727147872719534,-40.477293275340145,15,10,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179364219807674,-6.3156883827064085,9997,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
13574,10.0,signed_d2_lr,0.003,-37.465122337586266,0.025176832476581933,0.040727147872719534,-40.47614276278092,15,13,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17921252707188,-6.3156883827064085,9397,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
14598,10.0,signed_d2_lr,0.003,-37.465110936583756,0.025176832476581933,0.040727147872719534,-40.47600157834289,15,14,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17920112606938,-6.3156883827064085,8797,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
9478,10.0,signed_d2_lr,0.003,-37.46455797346907,0.025189902117497314,0.04072902078503118,-40.477293275340145,15,9,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179421584866645,-6.3157428352411005,9996,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
11526,10.0,signed_d2_lr,0.003,-37.464406280733286,0.025189902117497314,0.04072902078503118,-40.47614276278092,15,11,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17926989213085,-6.3157428352411005,9396,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
