adaptive_delta_pct,adaptive_kappa,adaptive_lambda,adaptive_mae,channel,drop_concentration,global_delta_pct,global_kappa,global_lambda,global_mae,mpl_mae,old_delta_pct,old_mae,scale,test_curve,test_label
-25.213615561587755,0.014604203325576904,4.0,0.002549008537316123,smooth,0.0006394638242375368,-12.201562693343448,0.024880810846173263,20.0,0.0029925095047479383,0.003408385839825258,-12.526656751606913,0.0029814290448999733,25,wsd_20000_24000.csv,WSD sharp
-18.986120758717494,0.014604203325576904,4.0,0.0025406726415061307,smooth,0.00025006251562922964,-10.273918022421691,0.024880810846173263,20.0,0.0028138956416471025,0.0031360955249893426,-9.79679304829898,0.0028288587366091713,25,wsdld_20000_24000.csv,WSD linear
-53.62670977182863,0.024424215431891036,20.0,0.002080856548414082,step,1.0,-54.48697306617761,0.024880810846173263,20.0,0.0020422549201794113,0.004487187642230267,-36.63872643444116,0.002843139237393469,25,wsdcon_3.csv,WSD-con 3e-5
-22.169648051523605,0.024424215431891036,20.0,0.0022776918404889238,step,1.0,-22.156715430717234,0.024880810846173263,20.0,0.002278070311408679,0.002926482771138891,-23.074229002262214,0.0022512194348145538,25,wsdcon_9.csv,WSD-con 9e-5
-11.119725344352682,0.024424215431891036,20.0,0.0022262899728667084,step,1.0,-11.327601647051832,0.024880810846173263,20.0,0.0022210830478196298,0.002504818961791151,-11.193577775363151,0.0022244401031710145,25,wsdcon_18.csv,WSD-con 18e-5
-43.14495490848622,0.027642604105559,4.0,0.0021309671853881325,smooth,0.0006394638242375368,-17.958596477295032,0.04050677395383602,20.0,0.0030749696613320515,0.0037480705220761528,-20.34808756134414,0.002985409850383169,100,wsd_20000_24000.csv,WSD sharp
-34.49224374598423,0.027642604105559,4.0,0.00212789744760068,smooth,0.00025006251562922964,-16.054003282713857,0.04050677395383602,20.0,0.0027268293461059877,0.003248313740665229,-16.89517402128684,0.002699505481422466,100,wsdld_20000_24000.csv,WSD linear
-46.638518684957795,0.04036801642736617,20.0,0.003025275679781737,step,1.0,-46.36731770027956,0.04050677395383602,20.0,0.0030406511476859365,0.0056693997340904675,-19.861906257729988,0.004543348873529426,100,wsdcon_3.csv,WSD-con 3e-5
-6.991012799088658,0.04036801642736617,20.0,0.004589643248600832,step,1.0,-6.90325980446983,0.04050677395383602,20.0,0.004593973528409457,0.004934623402238123,-2.1666387356599426,0.004827707940146291,100,wsdcon_9.csv,WSD-con 9e-5
-9.663333048143086,0.04036801642736617,20.0,0.0012481279173331718,step,1.0,-9.600908779589934,0.04050677395383602,20.0,0.0012489903962681298,0.0013816404339982303,-10.13885634233227,0.0012415578952275736,100,wsdcon_18.csv,WSD-con 18e-5
-63.41907887253999,0.0519987563223963,4.0,0.0017200345142450912,smooth,0.0006394638242375368,-21.574074851415403,0.06133718401231365,20.0,0.0036875861489968453,0.004701998914275349,-28.68558026985196,0.003353203241433326,400,wsd_20000_24000.csv,WSD sharp
-53.949387929922175,0.0519987563223963,4.0,0.001774586306994599,smooth,0.00025006251562922964,-20.560430049676647,0.06133718401231365,20.0,0.0030612486290705065,0.0038535563963712593,-25.271763507287393,0.002879694737260368,400,wsdld_20000_24000.csv,WSD linear
-60.268632372511746,0.06347895597414333,20.0,0.0032474857577103693,step,1.0,-60.72622883544903,0.06133718401231365,20.0,0.003210083622196179,0.008173606778800102,-34.19019591522034,0.005379034607788617,400,wsdcon_3.csv,WSD-con 3e-5
-13.14794373576339,0.06347895597414333,20.0,0.005808062747602599,step,1.0,-13.632499790614471,0.06133718401231365,20.0,0.005775659001596361,0.006687305974578527,-4.180119378746394,0.006407768601619105,400,wsdcon_9.csv,WSD-con 9e-5
-6.14035873473272,0.06347895597414333,20.0,0.0024008866304129095,step,1.0,-6.481576625343521,0.06133718401231365,20.0,0.0023921584330686444,0.0025579541942073844,-3.5635829621668114,0.0024667993743625787,400,wsdcon_18.csv,WSD-con 18e-5
