adaptive_mean_delta_pct,adaptive_wins,adaptive_worst_delta_pct,global_mean_delta_pct,global_wins,global_worst_delta_pct,old_mean_delta_pct,old_wins,old_worst_delta_pct,rows,test_curve,test_label
-43.92588311420465,3,-25.213615561587755,-17.244744674017962,3,-12.201562693343448,-20.52010819426767,3,-12.526656751606913,3,wsd_20000_24000.csv,WSD sharp
-35.8092508115413,3,-18.986120758717494,-15.629450451604065,3,-10.273918022421691,-17.321243525624407,3,-9.79679304829898,3,wsdld_20000_24000.csv,WSD linear
-53.511286943099385,3,-46.638518684957795,-53.860173200635394,3,-46.36731770027956,-30.23027620246383,3,-19.861906257729988,3,wsdcon_3.csv,WSD-con 3e-5
-14.10286819545855,3,-6.991012799088658,-14.230825008600512,3,-6.90325980446983,-9.806995705556185,3,-2.1666387356599426,3,wsdcon_9.csv,WSD-con 9e-5
-8.97447237574283,3,-6.14035873473272,-9.136695683995095,3,-6.481576625343521,-8.298672359954077,3,-3.5635829621668114,3,wsdcon_18.csv,WSD-con 18e-5
-31.264752288009344,15,-6.14035873473272,-22.020377803770604,15,-6.481576625343521,-17.235459197573235,15,-2.1666387356599426,15,ALL,All WSD targets
