baseline,config,mean_delta,median_delta,nonharm,rows,wins,worst_delta
pure_mpl,forced_step_best_mean,-17.824378664830324,-14.705644542265805,15,15,15,-5.005419144489965
first_error,forced_step_best_mean,0.17521179502177317,-0.4161819517267573,8,15,8,6.001522255747038
first_vs_pure,forced_step_best_mean,-17.84924368227728,-13.353100990013722,15,15,15,-7.405206445045398
pure_mpl,forced_step_best_worst,-17.038942898509458,-13.583227664021846,15,15,15,-4.251458158816046
first_error,forced_step_best_worst,-0.11341295381458441,-0.7074129980951027,9,15,9,5.67287187875567
first_vs_pure,forced_step_best_worst,-16.867958102666158,-11.824860881612342,15,15,15,-7.3012186586768895
pure_mpl,forced_step_current_core,-17.325536652516167,-13.644631665186036,15,15,15,-4.335316065986916
first_error,forced_step_current_core,-0.31147476668438223,-1.00729774584154,10,15,10,5.732219998635335
first_vs_pure,forced_step_current_core,-17.002188959493772,-11.860142413996256,15,15,15,-7.700778986626789
