config,objective,p0,p1,p2,p3,p4,p5,p6,scale,stage,step_curvature_coef,step_primary_coef
forced_step_best_mean,,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,25,pure_mpl,,
forced_step_best_mean,0.0001065703112432193,3.067380625144397,0.49810005751610376,0.5367347683652927,363.98522291289925,2.507498550934683,5.0,5.0,25,refit_mpl,,
forced_step_best_mean,,,,,,,,,25,first_error,0.01003869322103989,0.03050207966302227
forced_step_best_mean,,,,,,,,,25,final_error,0.011045812002034593,0.030630095059806524
forced_step_best_mean,,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,100,pure_mpl,,
forced_step_best_mean,0.00011029330950980736,2.6817689331273296,0.5678352078049008,0.4734521419052296,437.9536461490468,2.1508227530428683,0.9977394725096836,1.0272771534820409,100,refit_mpl,,
forced_step_best_mean,,,,,,,,,100,first_error,0.0,0.03684513827234557
forced_step_best_mean,,,,,,,,,100,final_error,0.0,0.03703056747484748
forced_step_best_mean,,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,400,pure_mpl,,
forced_step_best_mean,0.00015826161831240907,2.408202188318389,0.6077676478634195,0.44695150265887956,523.430241326858,2.041837866282916,0.9444170508942126,0.9686085982249939,400,refit_mpl,,
forced_step_best_mean,,,,,,,,,400,first_error,0.0,0.050866798716022225
forced_step_best_mean,,,,,,,,,400,final_error,0.0,0.05122216755889517
forced_step_best_worst,,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,25,pure_mpl,,
forced_step_best_worst,0.00010685212278891342,3.0673701024828315,0.49810394248593276,0.5367430325246404,363.9852230685801,2.507498550934683,5.0,5.0,25,refit_mpl,,
forced_step_best_worst,,,,,,,,,25,first_error,0.015527596927794558,0.03214440228501289
forced_step_best_worst,,,,,,,,,25,final_error,0.016734109631442135,0.0323872380113034
forced_step_best_worst,,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,100,pure_mpl,,
forced_step_best_worst,0.00010963568537327594,2.6818034936555653,0.5678096352882008,0.4734347886006308,437.9533388263048,2.1498798140562636,0.9776004247890934,1.0083860453446967,100,refit_mpl,,
forced_step_best_worst,,,,,,,,,100,first_error,0.0,0.03245896168049874
forced_step_best_worst,,,,,,,,,100,final_error,0.0,0.03271135691193728
forced_step_best_worst,,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,400,pure_mpl,,
forced_step_best_worst,0.00015789391375579432,2.4082290920479474,0.6077564558257389,0.44695895145712183,523.4293274534215,2.041696637992345,0.9400652721356765,0.9652999632201837,400,refit_mpl,,
forced_step_best_worst,,,,,,,,,400,first_error,0.0057436867450189,0.048114945477033697
forced_step_best_worst,,,,,,,,,400,final_error,0.007960283958097268,0.04870270933905882
forced_step_current_core,,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,25,pure_mpl,,
forced_step_current_core,0.00010685177824461147,3.067370080352252,0.4981038911488248,0.5367429930879623,363.98522306858115,2.507498550934683,5.0,5.0,25,refit_mpl,,
forced_step_current_core,,,,,,,,,25,first_error,0.011574696714930074,0.03214862535394649
forced_step_current_core,,,,,,,,,25,final_error,0.012471609079762818,0.03238985538973915
forced_step_current_core,,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,100,pure_mpl,,
forced_step_current_core,0.00010965533343567876,2.681795235239049,0.5678250899642312,0.4734443841718982,437.9533021889353,2.148975983708345,0.9600549991619133,0.9918907297938214,100,refit_mpl,,
forced_step_current_core,,,,,,,,,100,first_error,0.0,0.03255775791015948
forced_step_current_core,,,,,,,,,100,final_error,0.0,0.03280591784353618
forced_step_current_core,,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,400,pure_mpl,,
forced_step_current_core,0.00015790451089076751,2.40821598394983,0.6077617281907789,0.44693611759491375,523.4293023032265,2.0417305743480347,0.9406494521370267,0.965933219508776,400,refit_mpl,,
forced_step_current_core,,,,,,,,,400,first_error,0.00421699979264466,0.04819213410304349
forced_step_current_core,,,,,,,,,400,final_error,0.0057944101128683395,0.04875924153475422
