estimator,max_kappa,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins
dct_low_frequency_G_m1,0.03217733811875998,-15.985224511040732,0.024560553451301603,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m1,0.03217733811875998,-26.352800922826617,0.024560553451301603,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m1,0.03217733811875998,-7.32151725810544,0.024560553451301603,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m1,0.03217733811875998,-13.156457339291075,0.024560553451301603,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m10,0.0008095323688928751,-0.050894243600226506,0.0003563658403382658,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m10,0.0008095323688928751,-0.25077711576818595,0.0003563658403382658,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m10,0.0008095323688928751,-0.21653054564596172,0.0003563658403382658,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m10,0.0008095323688928751,-0.6583679448117256,0.0003563658403382658,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m10,0.0008095323688928751,-0.20978527498239918,0.0003563658403382658,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m10,0.0008095323688928751,-0.2559372622392179,0.0003563658403382658,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m10,0.006990631029363304,-0.6405727953079957,0.004418085987579049,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m10,0.006990631029363304,-3.365937007471468,0.004418085987579049,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m10,0.006990631029363304,-2.8200758663896046,0.004418085987579049,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m10,0.006990631029363304,-9.345722155619665,0.004418085987579049,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m10,0.006990631029363304,-3.60800175414779,0.004418085987579049,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m10,0.006990631029363304,-2.8875938170809987,0.004418085987579049,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m10,0.005245604386719609,-0.39451811585304863,0.0027457168628911848,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m10,0.005245604386719609,-2.012996984332375,0.0027457168628911848,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m10,0.005245604386719609,-1.7115469154428002,0.0027457168628911848,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m10,0.005245604386719609,-5.305912068381908,0.0027457168628911848,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m10,0.005245604386719609,-1.8572510663529866,0.0027457168628911848,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m10,0.005245604386719609,-1.7775000686645985,0.0027457168628911848,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m10,0.010447501276598433,-1.049899406604915,0.007213748692448036,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m10,0.010447501276598433,-5.533553896434955,0.007213748692448036,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m10,0.010447501276598433,-4.633244972061926,0.007213748692448036,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m10,0.010447501276598433,-14.608456771065477,0.007213748692448036,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m10,0.010447501276598433,-5.51093369849912,0.007213748692448036,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m10,0.010447501276598433,-4.6613985026628315,0.007213748692448036,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m10,0.014724789726841976,-1.410197064367006,0.009750006697106729,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m10,0.014724789726841976,-7.448329361333897,0.009750006697106729,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
