base_mae,center,corr_mae,delta_pct,gate_sign,gate_tau,mid_config_id,route,scale,shrink_gate,test_curve,test_label,time_power,width,win
0.003408385839825258,0.2,0.002028763507484023,-40.477293275340145,signed,0.001,23,joint,25,0,wsd_20000_24000.csv,WSD sharp,1.0,0.05,1
0.0031360955249893426,0.2,0.0020975123081057234,-33.11707850120887,signed,0.001,23,joint,25,0,wsdld_20000_24000.csv,WSD linear,1.0,0.05,1
0.004487187642230267,0.2,0.0018126984536777735,-59.60279359352114,signed,0.001,23,tail_gate,25,0,wsdcon_3.csv,WSD-con 3e-5,1.0,0.05,1
0.002926482771138891,0.2,0.002276332116425106,-22.216110790933087,signed,0.001,23,mid_tail,25,0,wsdcon_9.csv,WSD-con 9e-5,1.0,0.05,1
0.002504818961791151,0.2,0.0022020724852780276,-12.086561189900713,signed,0.001,23,joint,25,0,wsdcon_18.csv,WSD-con 18e-5,1.0,0.05,1
0.0037480705220761528,0.2,0.0015664111728033144,-58.20753202008486,signed,0.001,23,joint,100,0,wsd_20000_24000.csv,WSD sharp,1.0,0.05,1
0.003248313740665229,0.2,0.0016025684965202782,-50.664602484115804,signed,0.001,23,joint,100,0,wsdld_20000_24000.csv,WSD linear,1.0,0.05,1
0.0056693997340904675,0.2,0.0029649434667871496,-47.70269153965714,signed,0.001,23,tail_gate,100,0,wsdcon_3.csv,WSD-con 3e-5,1.0,0.05,1
0.004934623402238123,0.2,0.004352306065798366,-11.80064391895933,signed,0.001,23,mid_tail,100,0,wsdcon_9.csv,WSD-con 9e-5,1.0,0.05,1
0.0013816404339982303,0.2,0.0011986223907813713,-13.246430743723693,signed,0.001,23,joint,100,0,wsdcon_18.csv,WSD-con 18e-5,1.0,0.05,1
0.004701998914275349,0.2,0.0016880716653619192,-64.09885037963525,signed,0.001,23,joint,400,0,wsd_20000_24000.csv,WSD sharp,1.0,0.05,1
0.0038535563963712593,0.2,0.0017262912135956674,-55.20264825444758,signed,0.001,23,joint,400,0,wsdld_20000_24000.csv,WSD linear,1.0,0.05,1
0.008173606778800102,0.2,0.0027809699752723233,-65.9762201616387,signed,0.001,23,tail_gate,400,0,wsdcon_3.csv,WSD-con 3e-5,1.0,0.05,1
0.006687305974578527,0.2,0.005439037502183149,-18.66623834980201,signed,0.001,23,mid_tail,400,0,wsdcon_9.csv,WSD-con 9e-5,1.0,0.05,1
0.0025579541942073844,0.2,0.002209451897308993,-13.624258702035885,signed,0.001,23,joint,400,0,wsdcon_18.csv,WSD-con 18e-5,1.0,0.05,1
