mean_delta,median_delta,nonharm,rows,test_curve,test_label,wins,worst_delta
-54.26122522502009,-58.20753202008486,3,3,wsd_20000_24000.csv,WSD sharp,3,-40.477293275340145
-46.32810974659075,-50.664602484115804,3,3,wsdld_20000_24000.csv,WSD linear,3,-33.11707850120887
-57.760568431605655,-59.60279359352114,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-47.70269153965714
-17.560997686564807,-18.66623834980201,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-11.80064391895933
-12.985750211886762,-13.246430743723693,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-12.086561189900713
