center,gate_sign,gate_tau,mean_delta,median_delta,mid_config_id,mid_mean_delta,mid_median_delta,mid_nonharm,mid_rows,mid_wins,mid_worst_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
0.2,signed,0.001,-37.77933026033361,-40.477293275340145,23,-17.560997686564807,-18.66623834980201,3,3,3,-11.80064391895933,15,15,0,1.0,0.05,15,-11.80064391895933
0.2,signed,0.003,-37.778940276983136,-40.477293275340145,27,-17.559047769812455,-18.66885577235261,3,3,3,-11.797014374541225,15,15,0,1.0,0.05,15,-11.797014374541225
0.2,signed,0.01,-37.77485733977349,-40.477293275340145,31,-17.538633083764214,-18.696257511793057,3,3,3,-11.759015403496864,15,15,0,1.0,0.05,15,-11.759015403496864
0.2,signed,0.001,-37.76634291267922,-40.477293275340145,2,-17.496060948292847,-18.71293628987505,3,3,3,-11.706361339257654,15,15,1,0.0,0.05,15,-11.706361339257654
0.2,signed,0.003,-37.766155934020155,-40.477293275340145,6,-17.49512605499751,-18.71436544509274,3,3,3,-11.704506458753283,15,15,1,0.0,0.05,15,-11.704506458753283
0.2,signed,0.01,-37.764414270982215,-40.477293275340145,51,-17.48641773980782,-18.320051654234494,3,3,3,-11.80343749520516,15,15,0,2.0,0.05,15,-11.80343749520516
0.2,signed,0.01,-37.764137618220666,-40.477293275340145,10,-17.485034476000102,-18.72979219653459,3,3,3,-11.6844842337675,15,15,1,0.0,0.05,15,-11.6844842337675
0.2,signed,0.01,-37.76317426246158,-40.477293275340145,30,-17.480217697204633,-18.37274564686362,3,3,3,-11.80756647979444,15,15,1,1.0,0.05,15,-11.80756647979444
0.2,signed,0.03,-37.76173418535386,-40.477293275340145,34,-17.47301731166604,-18.744204484580063,3,3,3,-11.653897427837823,15,15,1,1.0,0.05,15,-11.653897427837823
0.2,signed,0.03,-37.758391595286305,-40.477293275340145,54,-17.456304361328275,-18.748230093138872,3,3,3,-11.628590455941268,15,15,1,2.0,0.05,15,-11.628590455941268
0.2,signed,0.03,-37.754132225189444,-40.477293275340145,55,-17.435007510843985,-18.783399175650562,3,3,3,-11.577407161487042,15,15,0,2.0,0.05,15,-11.577407161487042
0.2,signed,0.003,-37.75254592466058,-40.477293275340145,26,-17.427076008199645,-18.198053331915354,3,3,3,-11.808812145838854,15,15,1,1.0,0.05,15,-11.808812145838854
0.2,signed,0.001,-37.75153069911936,-40.477293275340145,22,-17.421999880493544,-18.18136666844158,3,3,3,-11.808931128014555,15,15,1,1.0,0.05,15,-11.808931128014555
0.2,signed,0.03,-37.75032645167332,-40.477293275340145,35,-17.415978643263337,-18.792448218312195,3,3,3,-11.545967898777365,15,15,0,1.0,0.05,15,-11.545967898777365
0.2,signed,0.03,-37.747964024169654,-40.477293275340145,14,-17.404166505745042,-18.777388675121685,3,3,3,-11.546609391401152,15,15,1,0.0,0.05,15,-11.546609391401152
0.2,signed,0.003,-37.747650267219086,-40.477293275340145,47,-17.402597720992173,-18.03533896801335,3,3,3,-11.804900882503366,15,15,0,2.0,0.05,15,-11.804900882503366
