candidate,dct_modes,fit_start,kind,lambdas,mean_delta,median_delta,nonharm,nuisance_lambda,ridge_tau,rows,signed,wins,worst_delta
lag_rawslope_l20,8,5000,lag_raw,20,-0.7093260982736252,-0.5199360515345974,13,0.02,0.05,15,0,13,3.9325307987376545
mpl_sensitivity_logC,8,5000,mpl_logc,,-0.5793635258162744,-0.3395409095094726,11,0.05,0.05,15,1,11,0.6914951499904065
lag_rawslope_l7,8,5000,lag_raw,7,-0.5331463551476535,-1.658552599278229,13,0.01,0.05,15,0,13,12.344232100440777
mpl_sensitivity_logC,8,8000,mpl_logc,,-0.45266633119493754,-0.25236809898672163,11,0.05,0.05,15,1,11,0.6597219089506945
mpl_sensitivity_logC,8,5000,mpl_logc,,-0.2294574562439237,-0.1432529939878635,11,0.02,0.05,15,1,11,0.19121281986347327
mpl_sensitivity_logC,8,8000,mpl_logc,,-0.16976124116727295,-0.09778107205588027,11,0.02,0.05,15,1,11,0.23135114614207808
mpl_sensitivity_logC,8,5000,mpl_logc,,-0.1259922447501268,-0.0833402956390672,11,0.01,0.05,15,1,11,0.05569624254722072
mpl_sensitivity_logC,8,8000,mpl_logc,,-0.08422147346170379,-0.05008979021767779,11,0.01,0.05,15,1,11,0.10177327086773325
mpl_sensitivity_B,8,5000,mpl_ld_b,,2.207247961442486e-06,1.790667174539351e-05,7,0.01,0.05,15,1,7,8.999703640100165e-05
mpl_sensitivity_B,8,5000,mpl_ld_b,,3.073553670907003e-05,8.690734696337188e-05,7,0.02,0.05,15,1,7,0.00043678712409178644
mpl_sensitivity_B,8,8000,mpl_ld_b,,5.344193838204466e-05,0.0001048239666623374,7,0.01,0.05,15,1,7,0.0005268341564779178
mpl_sensitivity_B,8,5000,mpl_ld_b,,0.00013457863054030147,0.0002883519862217909,7,0.05,0.05,15,1,7,0.0018968898104043674
mpl_sensitivity_B,8,8000,mpl_ld_b,,0.00014359417943217898,0.00028119436865647884,7,0.02,0.05,15,1,7,0.001413253118354163
mpl_sensitivity_B,8,8000,mpl_ld_b,,0.0004356358883028655,0.0008031424123311481,7,0.05,0.05,15,1,7,0.004547559679823898
lag_rawslope_l4,8,8000,lag_raw,4,0.011060271236110827,-1.9028905378521643,12,0.01,0.05,15,0,12,21.732692439855626
