candidate,coef_0,coef_1,fit_objective,fit_start,kind,lambdas,localization,nuisance_lambda,residualized_corr,scale,signed,target_lambda,test_curve,test_label
raw_drop_l20,0.03499616603733748,,0.00026095506091514397,5000,raw,20,,0.01,0.010084837489606853,25,0,,,
raw_drop_l20,0.04495220130011367,,0.0002733195053507897,5000,raw,20,,0.01,0.01619379254830059,100,0,,,
raw_drop_l20,0.06730628623204418,,0.00037617396262954833,5000,raw,20,,0.01,0.03068893423711671,400,0,,,
raw_drop_l20,0.05729572981512908,,0.0003902504867145776,5000,raw,20,,0.02,0.020420998212926547,25,0,,,
raw_drop_l20,0.0767828271056316,,0.000557168726661215,5000,raw,20,,0.02,0.030591838876659953,100,0,,,
raw_drop_l20,0.10926990566747992,,0.0008541942751010747,5000,raw,20,,0.02,0.04970727016278565,400,0,,,
raw_drop_l20,0.11043487800955736,,0.0008093536978678065,5000,raw,20,,0.05,0.04862602385875941,25,0,,,
raw_drop_l20,0.15659459203408807,,0.0014841477799442811,5000,raw,20,,0.05,0.07203552234536854,100,0,,,
raw_drop_l20,0.21348988519742867,,0.0024168312645421373,5000,raw,20,,0.05,0.10439294918393961,400,0,,,
raw_drop_l20,0.030435154786451212,,0.00020003250335340456,8000,raw,20,,0.01,0.008927808936397877,25,0,,,
raw_drop_l20,0.04304751774595571,,0.00023252901193713,8000,raw,20,,0.01,0.016485038893276804,100,0,,,
raw_drop_l20,0.06055693382186499,,0.0003207817456711833,8000,raw,20,,0.01,0.027593566362048457,400,0,,,
raw_drop_l20,0.0508944891163728,,0.000309889778007184,8000,raw,20,,0.02,0.018399412553727172,25,0,,,
raw_drop_l20,0.07261330800468568,,0.0004898251536921569,8000,raw,20,,0.02,0.02968286535529487,100,0,,,
raw_drop_l20,0.09916063864387821,,0.0007429514214926068,8000,raw,20,,0.02,0.044712956776034186,400,0,,,
raw_drop_l20,0.10167673326920587,,0.000670536701968301,8000,raw,20,,0.05,0.04569779332571856,25,0,,,
raw_drop_l20,0.14992196410257216,,0.0013460765064211124,8000,raw,20,,0.05,0.0699829251245167,100,0,,,
raw_drop_l20,0.1995301382495358,,0.0021434916079057474,8000,raw,20,,0.05,0.09780853303761358,400,0,,,
raw_drop_l7,0.04729684996382526,,0.0002546192405523345,5000,raw,7,,0.01,0.013846462437795522,25,0,,,
raw_drop_l7,0.05744094098336063,,0.000264617798446319,5000,raw,7,,0.01,0.019876328480883342,100,0,,,
raw_drop_l7,0.08943278237185753,,0.00035390473046857136,5000,raw,7,,0.01,0.04078014354544878,400,0,,,
raw_drop_l7,0.07126502905538172,,0.0003753164833367961,5000,raw,7,,0.02,0.025377083577874004,25,0,,,
raw_drop_l7,0.09184456575540959,,0.0005337525958199897,5000,raw,7,,0.02,0.03515933379113994,100,0,,,
raw_drop_l7,0.13438397300746754,,0.0008017245531497036,5000,raw,7,,0.02,0.0604787166007208,400,0,,,
raw_drop_l7,0.12527505740867212,,0.0007610291995415394,5000,raw,7,,0.05,0.054200309234565966,25,0,,,
raw_drop_l7,0.17455402040890752,,0.00139312257541324,5000,raw,7,,0.05,0.07752989553057456,100,0,,,
raw_drop_l7,0.2418571786776931,,0.002236258326610768,5000,raw,7,,0.05,0.11624750441293454,400,0,,,
raw_drop_l7,0.042084864173606074,,0.00019509212325629735,8000,raw,7,,0.01,0.012583292210549836,25,0,,,
raw_drop_l7,0.058773147727552245,,0.00022303170132783475,8000,raw,7,,0.01,0.022651669428799336,100,0,,,
raw_drop_l7,0.08317795127160871,,0.00030157173048449433,8000,raw,7,,0.01,0.038419797112878906,400,0,,,
raw_drop_l7,0.06490292603313301,,0.0002975554437808165,8000,raw,7,,0.02,0.023639085474112188,25,0,,,
raw_drop_l7,0.09214775783466497,,0.00046512106799636064,8000,raw,7,,0.02,0.03776440106675415,100,0,,,
raw_drop_l7,0.12616744669622462,,0.0006963096251795227,8000,raw,7,,0.02,0.05726629406268056,400,0,,,
raw_drop_l7,0.11801677380122916,,0.0006272158751466662,8000,raw,7,,0.05,0.05273238632394063,25,0,,,
raw_drop_l7,0.1746193758905997,,0.001250722730150112,8000,raw,7,,0.05,0.08131755580433468,100,0,,,
raw_drop_l7,0.23262987910349578,,0.0019732301030584414,8000,raw,7,,0.05,0.11406369942236477,400,0,,,
continuous_lambda_raw_7_20,0.047296668608405666,,0.0002546195073115347,5000,adaptive_raw,"7,20",,0.01,0.013846391082411294,25,0,,,
continuous_lambda_raw_7_20,0.05744093623681135,,0.0002646180810892995,5000,adaptive_raw,"7,20",,0.01,0.019876375194697433,100,0,,,
continuous_lambda_raw_7_20,0.08943254209647292,,0.0003539056062168852,5000,adaptive_raw,"7,20",,0.01,0.04078002484898287,400,0,,,
continuous_lambda_raw_7_20,0.0712649952289295,,0.0003753170404818091,5000,adaptive_raw,"7,20",,0.02,0.025377063194618535,25,0,,,
continuous_lambda_raw_7_20,0.09184476155287861,,0.000533753302836674,5000,adaptive_raw,"7,20",,0.02,0.035159488835871285,100,0,,,
continuous_lambda_raw_7_20,0.1343840098316283,,0.0008017264107671279,5000,adaptive_raw,"7,20",,0.02,0.060478755118556035,400,0,,,
continuous_lambda_raw_7_20,0.12527545782780675,,0.0007610307542016097,5000,adaptive_raw,"7,20",,0.05,0.054200521486986425,25,0,,,
continuous_lambda_raw_7_20,0.17455478160215884,,0.001393125192601028,5000,adaptive_raw,"7,20",,0.05,0.07753037970598062,100,0,,,
continuous_lambda_raw_7_20,0.24185796817477692,,0.0022362641163816495,5000,adaptive_raw,"7,20",,0.05,0.11624796838646498,400,0,,,
continuous_lambda_raw_7_20,0.042084663009706244,,0.0001950923369666892,8000,adaptive_raw,"7,20",,0.01,0.012583212953729786,25,0,,,
continuous_lambda_raw_7_20,0.058772917739134456,,0.00022303209213452694,8000,adaptive_raw,"7,20",,0.01,0.022651566024602065,100,0,,,
continuous_lambda_raw_7_20,0.08317759419925765,,0.0003015725395559867,8000,adaptive_raw,"7,20",,0.01,0.03841959058022101,400,0,,,
continuous_lambda_raw_7_20,0.0649028226083781,,0.00029755592737077893,8000,adaptive_raw,"7,20",,0.02,0.02363902749324437,25,0,,,
continuous_lambda_raw_7_20,0.0921476415715928,,0.0004651220155657217,8000,adaptive_raw,"7,20",,0.02,0.0377643335024559,100,0,,,
continuous_lambda_raw_7_20,0.12616726607597106,,0.000696311437318476,8000,adaptive_raw,"7,20",,0.02,0.0572661689224279,400,0,,,
continuous_lambda_raw_7_20,0.1180170201451054,,0.0006272173744533448,8000,adaptive_raw,"7,20",,0.05,0.052732494829380076,25,0,,,
continuous_lambda_raw_7_20,0.17461970097367382,,0.00125072608887189,8000,adaptive_raw,"7,20",,0.05,0.08131768642221668,100,0,,,
continuous_lambda_raw_7_20,0.2326302930003727,,0.0019732361523070413,8000,adaptive_raw,"7,20",,0.05,0.11406385691373584,400,0,,,
continuous_lambda_raw_4_20,0.04844633796609274,,0.0002511925782352034,5000,adaptive_raw,"4,20",,0.01,0.014545250317917776,25,0,,,
continuous_lambda_raw_4_20,0.05495604110230441,,0.0002620924314679873,5000,adaptive_raw,"4,20",,0.01,0.018215825029134575,100,0,,,
continuous_lambda_raw_4_20,0.08974883582349136,,0.0003435256033475307,5000,adaptive_raw,"4,20",,0.01,0.04114444240633675,400,0,,,
continuous_lambda_raw_4_20,0.0699484750777034,,0.0003686800586390233,5000,adaptive_raw,"4,20",,0.02,0.025133727023603957,25,0,,,
continuous_lambda_raw_4_20,0.08598562919107947,,0.000527503143146124,5000,adaptive_raw,"4,20",,0.02,0.03168086778552103,100,0,,,
continuous_lambda_raw_4_20,0.13015854042864977,,0.0007809642934518987,5000,adaptive_raw,"4,20",,0.02,0.05836478214751154,400,0,,,
continuous_lambda_raw_4_20,0.11705747521937485,,0.0007443275892605526,5000,adaptive_raw,"4,20",,0.05,0.0501819181870452,25,0,,,
continuous_lambda_raw_4_20,0.1597271943239606,,0.0013690836902619271,5000,adaptive_raw,"4,20",,0.05,0.06884043753919346,100,0,,,
continuous_lambda_raw_4_20,0.2257548114604226,,0.0021743696094058164,5000,adaptive_raw,"4,20",,0.05,0.10747496071487082,400,0,,,
continuous_lambda_raw_4_20,0.04364374866490679,,0.00019229599026399937,8000,adaptive_raw,"4,20",,0.01,0.01343270461867118,25,0,,,
continuous_lambda_raw_4_20,0.060006035611933725,,0.00021820699301583225,8000,adaptive_raw,"4,20",,0.01,0.02343738393259149,100,0,,,
continuous_lambda_raw_4_20,0.08549492478288442,,0.00029132126458161637,8000,adaptive_raw,"4,20",,0.01,0.04031480058685965,400,0,,,
continuous_lambda_raw_4_20,0.06474362876389328,,0.0002915363566323183,8000,adaptive_raw,"4,20",,0.02,0.02402184840733352,25,0,,,
continuous_lambda_raw_4_20,0.09138714983274208,,0.00045360450006631754,8000,adaptive_raw,"4,20",,0.02,0.037930935354351686,100,0,,,
continuous_lambda_raw_4_20,0.1254978180899496,,0.0006740032428342415,8000,adaptive_raw,"4,20",,0.02,0.05789906047951089,400,0,,,
continuous_lambda_raw_4_20,0.11220623959784158,,0.0006098541804752963,8000,adaptive_raw,"4,20",,0.05,0.05033876218533644,25,0,,,
continuous_lambda_raw_4_20,0.16670906261229212,,0.0012109954040970476,8000,adaptive_raw,"4,20",,0.05,0.07827019930992528,100,0,,,
continuous_lambda_raw_4_20,0.2224210530375507,,0.0019011365651592743,8000,adaptive_raw,"4,20",,0.05,0.11018954616000745,400,0,,,
continuous_lambda_projected_7_20,0.04729168890113792,,0.00025462682113169106,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.0138444330376958,25,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.04729483292542976,,0.0002546222058764759,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.013845669002432196,25,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.03499616603733748,,0.00026095506091514397,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.010084837489606853,25,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.03499616603733748,,0.00026095506091514397,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.010084837489606853,25,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.03499616603733748,,0.00026095506091514397,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.010084837489606853,25,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.05744079255329634,,0.00026462583453175224,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.019877650496167184,100,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.057440886265389485,,0.00026462094093281585,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.019876846967902453,100,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.04495220130011367,,0.0002733195053507897,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.01619379254830059,100,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.04495220130011367,,0.0002733195053507897,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.01619379254830059,100,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.04495220130011367,,0.0002733195053507897,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.01619379254830059,100,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.08942593814095003,,0.00035392962003884276,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.04077676352397968,400,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.0894301090998181,,0.0003539144658374897,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.04077882309452468,400,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.06730628623204418,,0.00037617396262954833,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.03068893423711671,400,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.06730628623204418,,0.00037617396262954833,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.03068893423711671,400,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.06730628623204418,,0.00037617396262954833,5000,adaptive_projected_raw,"7,20",1.0,0.01,0.03068893423711671,400,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.07126405638809882,,0.0003753323183427681,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.02537650072317311,25,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.0712646513905956,,0.00037532267697359424,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.025376856473533622,25,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.05729572981512908,,0.0003902504867145776,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.020420998212926547,25,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.05729572981512908,,0.0003902504867145776,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.020420998212926547,25,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.05729572981512908,,0.0003902504867145776,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.020420998212926547,25,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.09185011060483102,,0.0005337726989330771,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.03516373144072179,100,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.09184673949244875,,0.0005337604567684922,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.03516105608674155,100,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.0767828271056316,,0.000557168726661215,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.030591838876659953,100,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.0767828271056316,,0.000557168726661215,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.030591838876659953,100,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.0767828271056316,,0.000557168726661215,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.030591838876659953,100,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.1343849960678824,,0.0008017773550118697,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.060479800858925264,400,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.13438437897497638,,0.0008017452045558239,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.06047914328085895,400,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.10926990566747992,,0.0008541942751010747,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.04970727016278565,400,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.10926990566747992,,0.0008541942751010747,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.04970727016278565,400,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.10926990566747992,,0.0008541942751010747,5000,adaptive_projected_raw,"7,20",1.0,0.02,0.04970727016278565,400,0,20.0,wsdcon_18.csv,WSD-con 18e-5
