base_mae,coef,corr_mae,delta_pct,fit_objective,fit_start,group,lambda,localization,nuisance_lambda,residualized_corr,ridge_tau,scale,test_curve,test_label,variant,win
0.003408385839825258,0.03208308197767467,0.0028180534501401782,-17.319998891772915,0.00019964498142824742,8000,core_wsd,18.05070782708191,1.0,0.01,0.009417420546899232,0.05,25,wsd_20000_24000.csv,WSD sharp,fixed_lambda_obs,1
0.0031360955249893426,0.03208308197767467,0.0026840104757880332,-14.41553822576389,0.00019964498142824742,8000,core_wsd,18.05070782708191,1.0,0.01,0.009417420546899232,0.05,25,wsdld_20000_24000.csv,WSD linear,fixed_lambda_obs,1
0.004487187642230267,0.03208308197767467,0.0024916514542324044,-44.471868508846704,0.00019964498142824742,8000,core_wsd,18.05070782708191,1.0,0.01,0.009417420546899232,0.05,25,wsdcon_3.csv,WSD-con 3e-5,fixed_lambda_obs,1
0.002926482771138891,0.03208308197767467,0.0023533449816484976,-19.58452635165684,0.00019964498142824742,8000,core_wsd,18.05070782708191,1.0,0.01,0.009417420546899232,0.05,25,wsdcon_9.csv,WSD-con 9e-5,fixed_lambda_obs,1
0.002504818961791151,0.03208308197767467,0.0021572199256494127,-13.877211944019152,0.00019964498142824742,8000,core_wsd,18.05070782708191,1.0,0.01,0.009417420546899232,0.05,25,wsdcon_18.csv,WSD-con 18e-5,fixed_lambda_obs,1
0.004428106847791531,0.03208308197767467,0.004650269363310542,5.017099251564172,0.00019964498142824742,8000,extra_control,18.05070782708191,1.0,0.01,0.009417420546899232,0.05,25,cosine_24000.csv,Cosine 24k,fixed_lambda_obs,0
0.003761619732988638,0.03208308197767467,0.003761619732988638,0.0,0.00019964498142824742,8000,extra_control,18.05070782708191,1.0,0.01,0.009417420546899232,0.05,25,constant_24000.csv,Constant 24k,fixed_lambda_obs,0
0.0015795124507172926,0.03208308197767467,0.0015795124507172926,0.0,0.00019964498142824742,8000,extra_control,18.05070782708191,1.0,0.01,0.009417420546899232,0.05,25,constant_72000.csv,Constant 72k,fixed_lambda_obs,0
0.0037480705220761528,0.0453488872370202,0.0029185254702417994,-22.132589206855346,0.00023176190657772097,8000,core_wsd,18.05070782708191,1.0,0.01,0.017366526506475494,0.05,100,wsd_20000_24000.csv,WSD sharp,fixed_lambda_obs,1
0.003248313740665229,0.0453488872370202,0.0026130361883471087,-19.55714881740519,0.00023176190657772097,8000,core_wsd,18.05070782708191,1.0,0.01,0.017366526506475494,0.05,100,wsdld_20000_24000.csv,WSD linear,fixed_lambda_obs,1
