base_mae,candidate,corr_mae,delta_pct,fit_start,kind,lambdas,localization,nuisance_lambda,scale,signed,target_lambda,test_curve,test_label,win
0.003408385839825258,raw_drop_l20,0.002824089927792627,-17.142892251382747,5000,raw,20,,0.01,25,0,,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,raw_drop_l20,0.0026829044821262836,-14.450804806546802,5000,raw,20,,0.01,25,0,,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,raw_drop_l20,0.0024857031112429824,-44.6044313402612,5000,raw,20,,0.01,25,0,,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,raw_drop_l20,0.0024176732580486926,-17.38638334413246,5000,raw,20,,0.01,25,0,,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,raw_drop_l20,0.0021796881040004796,-12.980213849793598,5000,raw,20,,0.01,25,0,,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,raw_drop_l20,0.0030011000172926483,-19.929467719026228,5000,raw,20,,0.01,100,0,,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,raw_drop_l20,0.0026695988939630286,-17.815854406467647,5000,raw,20,,0.01,100,0,,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,raw_drop_l20,0.0035332408271218857,-37.67874920026754,5000,raw,20,,0.01,100,0,,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,raw_drop_l20,0.004732704340121828,-4.091883932312113,5000,raw,20,,0.01,100,0,,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,raw_drop_l20,0.0012771849913954755,-7.560247951088018,5000,raw,20,,0.01,100,0,,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,raw_drop_l20,0.0035905367729396277,-23.638077370909272,5000,raw,20,,0.01,400,0,,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,raw_drop_l20,0.0029841442407837035,-22.5612931578281,5000,raw,20,,0.01,400,0,,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,raw_drop_l20,0.003459032025479737,-57.680469355934335,5000,raw,20,,0.01,400,0,,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,raw_drop_l20,0.005885644556724195,-11.98780825794138,5000,raw,20,,0.01,400,0,,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,raw_drop_l20,0.0024210352425308125,-5.352674101304544,5000,raw,20,,0.01,400,0,,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,raw_drop_l20,0.002483930470916018,-27.122967068676562,5000,raw,20,,0.02,25,0,,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,raw_drop_l20,0.0023941310618302847,-23.65886042841694,5000,raw,20,,0.02,25,0,,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,raw_drop_l20,0.00527712658273539,17.60432153696385,5000,raw,20,,0.02,25,0,,wsdcon_3.csv,WSD-con 3e-5,0
0.002926482771138891,raw_drop_l20,0.0030427873627805473,3.9742107074286492,5000,raw,20,,0.02,25,0,,wsdcon_9.csv,WSD-con 9e-5,0
0.002504818961791151,raw_drop_l20,0.0022764580780240446,-9.116861827164124,5000,raw,20,,0.02,25,0,,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,raw_drop_l20,0.0024794258702888977,-33.84793974165993,5000,raw,20,,0.02,100,0,,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,raw_drop_l20,0.002259811270649721,-30.43124984020388,5000,raw,20,,0.02,100,0,,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,raw_drop_l20,0.0070603342965304015,24.534071112963773,5000,raw,20,,0.02,100,0,,wsdcon_3.csv,WSD-con 3e-5,0
0.004934623402238123,raw_drop_l20,0.005726059581662268,16.03843120156212,5000,raw,20,,0.02,100,0,,wsdcon_9.csv,WSD-con 9e-5,0
0.0013816404339982303,raw_drop_l20,0.001563042665627762,13.12948196692425,5000,raw,20,,0.02,100,0,,wsdcon_18.csv,WSD-con 18e-5,0
0.004701998914275349,raw_drop_l20,0.0029594931798655986,-37.0588289401657,5000,raw,20,,0.02,400,0,,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,raw_drop_l20,0.002451578664698542,-36.38139908871981,5000,raw,20,,0.02,400,0,,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,raw_drop_l20,0.007979845464310782,-2.370572988559705,5000,raw,20,,0.02,400,0,,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,raw_drop_l20,0.007142290507763234,6.8037044351538345,5000,raw,20,,0.02,400,0,,wsdcon_9.csv,WSD-con 9e-5,0
0.0025579541942073844,raw_drop_l20,0.0027631687673168553,8.022605470191358,5000,raw,20,,0.02,400,0,,wsdcon_18.csv,WSD-con 18e-5,0
0.003408385839825258,raw_drop_l20,0.00231676460734873,-32.02751342648734,5000,raw,20,,0.05,25,0,,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,raw_drop_l20,0.0022052820008933265,-29.680649606461817,5000,raw,20,,0.05,25,0,,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,raw_drop_l20,0.011928999552231255,165.84579258428747,5000,raw,20,,0.05,25,0,,wsdcon_3.csv,WSD-con 3e-5,0
0.002926482771138891,raw_drop_l20,0.004912773978593075,67.87298483500675,5000,raw,20,,0.05,25,0,,wsdcon_9.csv,WSD-con 9e-5,0
0.002504818961791151,raw_drop_l20,0.0027125606333387835,8.293680090918842,5000,raw,20,,0.05,25,0,,wsdcon_18.csv,WSD-con 18e-5,0
0.0037480705220761528,raw_drop_l20,0.0017752940625300458,-52.634454125834736,5000,raw,20,,0.05,100,0,,wsd_20000_24000.csv,WSD sharp,1
