mean_delta,median_delta,nonharm,rows,threshold,wins,worst_delta
-37.530973471456385,-40.477293275340145,15,15,0.0,15,-10.801466736917275
-37.62455827807726,-40.477293275340145,15,15,0.1,15,-10.801466736917275
-37.59067999597564,-40.477293275340145,15,15,0.3,15,-10.465076527569018
-37.58732353741015,-40.477293275340145,15,15,0.6,15,-10.465076527569018
