base_mae,basis_dim,coef,corr_mae,delta_pct,denominator,fit_start,group,lambda,locality,locality_factor,n_cal,nonharm,nuisance,response_rule,ridge,role,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant,win
0.003408385839825258,4,0.18577557105890327,0.00561284067771402,64.67738517543486,0.003313711212849949,5000,core_wsd,9.031125300869606,linear,0.8168498168498168,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.0006156065928914902,0.3417017463623321,0.03743882107850901,0.012004661885531743,wsd_20000_24000.csv,WSD sharp,25,25,observation_bracket_mplld_neff,0
0.0031360955249893426,4,0.185791155758305,0.004413126042496352,40.72039602528845,0.003314696279694898,5000,core_wsd,9.02761081624502,linear,0.8168498168498168,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.0006158412527922689,0.3418357743316045,0.0374519744552081,0.012003680145443955,wsdld_20000_24000.csv,WSD linear,25,25,observation_bracket_mplld_neff,0
0.004487187642230267,4,0.1348967910785575,0.016546679634977322,268.75390454483255,0.0023082240342568797,5000,core_wsd,18.05070782708191,linear,0.9998554913294798,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.00031137201531165545,0.1697566410541492,0.019904224304291316,0.01374791909509116,wsdcon_3.csv,WSD-con 3e-5,25,25,observation_bracket_mplld_neff,0
0.002926482771138891,4,0.1348967910785575,0.006251783058289672,113.62787848761822,0.0023082240342568797,5000,core_wsd,18.05070782708191,linear,0.9998554913294798,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.00031137201531165545,0.1697566410541492,0.019904224304291316,0.01374791909509116,wsdcon_9.csv,WSD-con 9e-5,25,25,observation_bracket_mplld_neff,0
0.002504818961791151,4,0.1348967910785575,0.002989375938392133,19.34498995705798,0.0023082240342568797,5000,core_wsd,18.05070782708191,linear,0.9998554913294798,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.00031137201531165545,0.1697566410541492,0.019904224304291316,0.01374791909509116,wsdcon_18.csv,WSD-con 18e-5,25,25,observation_bracket_mplld_neff,0
0.004428106847791531,4,0.18579828025405692,0.004428106847791531,0.0,0.0033151472746274146,5000,extra_control,9.02600304324791,linear,0.0,523,1,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.0006159486624146974,0.341897122826344,0.03745799494802246,0.012003230923038241,cosine_24000.csv,Cosine 24k,25,25,observation_bracket_mplld_neff,0
0.003761619732988638,4,0.18580115583267093,0.003761619732988638,0.0,0.003315329424774671,5000,extra_control,9.025353913540956,linear,0.0,523,1,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.0006159920390891979,0.34192189812001367,0.03746042626123377,0.012003049533172754,constant_24000.csv,Constant 24k,25,25,observation_bracket_mplld_neff,0
0.0015795124507172926,4,0.18580115583267093,0.0015795124507172926,0.0,0.003315329424774671,5000,extra_control,9.025353913540956,linear,0.0,523,1,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.0006159920390891979,0.34192189812001367,0.03746042626123377,0.012003049533172754,constant_72000.csv,Constant 72k,25,25,observation_bracket_mplld_neff,0
0.0037480705220761528,4,0.3504387014897926,0.008766612271249986,133.89667349145645,0.003100713038170383,5000,core_wsd,9.031125300869606,linear,0.8168498168498168,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.0010866098507888986,0.3417017463623321,0.034477052499728635,0.0101804239408951,wsd_20000_24000.csv,WSD sharp,100,100,observation_bracket_mplld_neff,0
0.003248313740665229,4,0.3504763044479792,0.006506044236918196,100.28989673841697,0.0031015677421950298,5000,core_wsd,9.02761081624502,linear,0.8168498168498168,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.0010870260002795768,0.3418357743316045,0.03448944553183903,0.010179756799205074,wsdld_20000_24000.csv,WSD linear,100,100,observation_bracket_mplld_neff,0
0.0056693997340904675,4,0.24456558171388873,0.0283195479086766,399.5158083207526,0.002240522998503154,5000,core_wsd,18.05070782708191,linear,0.9998554913294798,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.00054795481047227,0.1697566410541492,0.018123937469595716,0.011398601310712424,wsdcon_3.csv,WSD-con 3e-5,100,100,observation_bracket_mplld_neff,0
0.004934623402238123,4,0.24456558171388873,0.011694142188691093,136.98145198653168,0.002240522998503154,5000,core_wsd,18.05070782708191,linear,0.9998554913294798,523,0,mpl_ld4,observation_bracket,0.0019120458891013384,main_parameter_light_candidate,sample_size_ridge,0.00054795481047227,0.1697566410541492,0.018123937469595716,0.011398601310712424,wsdcon_9.csv,WSD-con 9e-5,100,100,observation_bracket_mplld_neff,0
