group,mean_delta,median_delta,nonharm,rows,split,variant,wins,worst_delta
core_wsd,-26.637661423527607,-26.097654287140124,10,10,holdout_test_100,twoobs_roundfast_mplld_neff,10,-7.131491084851637
core_wsd,-20.682376897930737,-20.822166885854855,10,10,holdout_test_400,twoobs_roundfast_mplld_neff,10,-2.4476477135862984
extra_control,0.0,0.0,27,27,all,twoobs_roundfast_mplld_neff,0,0.0
extra_control,0.0,0.0,9,9,same_scale,twoobs_roundfast_mplld_neff,0,0.0
extra_control,0.0,0.0,18,18,cross_scale,twoobs_roundfast_mplld_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_25,twoobs_roundfast_mplld_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_100,twoobs_roundfast_mplld_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_400,twoobs_roundfast_mplld_neff,0,0.0
core_wsd,582.4043029567674,345.52077845313704,0,45,all,observation_bracket_no_nuisance_neff,0,2657.864907458509
core_wsd,602.1713241323913,261.8720865127882,0,15,same_scale,observation_bracket_no_nuisance_neff,0,2366.3484045095297
core_wsd,572.5207923689557,364.6823219067445,0,30,cross_scale,observation_bracket_no_nuisance_neff,0,2657.864907458509
core_wsd,766.4442933974744,345.15169889114804,0,10,holdout_test_25,observation_bracket_no_nuisance_neff,0,2657.864907458509
core_wsd,525.3335930963274,403.61966073850556,0,10,holdout_test_100,observation_bracket_no_nuisance_neff,0,1642.1693107769088
core_wsd,425.7844906130651,332.2852022142088,0,10,holdout_test_400,observation_bracket_no_nuisance_neff,0,1218.100706784174
extra_control,0.0,0.0,27,27,all,observation_bracket_no_nuisance_neff,0,0.0
extra_control,0.0,0.0,9,9,same_scale,observation_bracket_no_nuisance_neff,0,0.0
extra_control,0.0,0.0,18,18,cross_scale,observation_bracket_no_nuisance_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_25,observation_bracket_no_nuisance_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_100,observation_bracket_no_nuisance_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_400,observation_bracket_no_nuisance_neff,0,0.0
