group,mean_delta,median_delta,nonharm,rows,split,tau_steps,variant,wins,worst_delta
extra_control,144.99217739236536,0.0,6,9,same_scale,128,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,641.5248801413458
core_wsd,90.40373336249618,66.23699203867199,11,30,cross_scale,16384,cosine_fit_amplitude_cooldown_mpl_ld_lag,11,486.6099224149713
extra_control,66.35639937197081,0.0,12,18,cross_scale,16384,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,346.07782860041584
core_wsd,97.28115931117931,85.10486921162172,4,15,same_scale,16384,cosine_fit_amplitude_cooldown_mpl_ld_lag,4,444.5392583359868
extra_control,70.14137646929933,0.0,6,9,same_scale,16384,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,315.82868649980213
core_wsd,406.7789972220767,318.59576141350817,0,30,cross_scale,2048,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1234.874728657122
extra_control,132.48258163463242,0.0,12,18,cross_scale,2048,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,703.2171790723838
core_wsd,420.5651962031853,325.4856695860398,0,15,same_scale,2048,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1090.6021642541896
extra_control,139.34234270613868,0.0,6,9,same_scale,2048,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,618.8727798148365
core_wsd,497.850577902421,474.9598761131767,0,30,cross_scale,256,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1302.8596311046758
extra_control,137.7859307322634,0.0,12,18,cross_scale,256,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,737.291241288634
core_wsd,513.7008809381824,507.53900867059747,0,15,same_scale,256,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1140.6084533425385
extra_control,144.9378429663241,0.0,6,9,same_scale,256,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,641.4788174090323
core_wsd,609.5237953705458,565.1113883619278,0,30,cross_scale,32,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1800.2045406494976
extra_control,137.85688101506926,0.0,12,18,cross_scale,32,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,738.1392906820931
core_wsd,631.3216275624795,549.3109490768635,0,15,same_scale,32,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1576.1776493662978
extra_control,144.9947614419461,0.0,6,9,same_scale,32,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,641.4195011713645
core_wsd,309.8091494330114,221.46629849122036,0,30,cross_scale,4096,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1067.5980032154946
extra_control,120.10169681995941,0.0,12,18,cross_scale,4096,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,633.0812982738237
core_wsd,319.4514072027649,201.09816504957473,0,15,same_scale,4096,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,953.1375444838961
extra_control,126.40092706508787,0.0,6,9,same_scale,4096,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,563.3346467095961
core_wsd,483.6023482761317,460.58316614040575,0,30,cross_scale,512,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1289.0278209111789
extra_control,137.5276001763205,0.0,12,18,cross_scale,512,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,735.0858289700839
core_wsd,499.3808456779647,481.7163441948646,0,15,same_scale,512,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1130.191432710949
extra_control,144.65923500031042,0.0,6,9,same_scale,512,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,640.5814724551311
core_wsd,529.9473540869407,493.8491992673876,0,30,cross_scale,64,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1420.4640020607244
extra_control,137.85655315503232,0.0,12,18,cross_scale,64,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,738.0964752491652
core_wsd,546.8986212540857,539.4803055460859,0,15,same_scale,64,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,1242.719981527238
extra_control,144.99644927530852,0.0,6,9,same_scale,64,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,641.4547802014877
core_wsd,187.19789809843465,142.49897260287474,4,30,cross_scale,8192,cosine_fit_amplitude_cooldown_mpl_ld_lag,4,766.3788556782032
extra_control,95.16261288329476,0.0,12,18,cross_scale,8192,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,498.1263392240393
core_wsd,193.53328269514267,139.91719989754986,2,15,same_scale,8192,cosine_fit_amplitude_cooldown_mpl_ld_lag,2,693.0768244832151
extra_control,100.3527623785152,0.0,6,9,same_scale,8192,cosine_fit_amplitude_cooldown_mpl_ld_lag,0,449.49525063481366
core_wsd,492.1853374533545,460.8419155829732,0,30,cross_scale,1024,cosine_fit_amplitude_mpl_ld_lag,0,1430.835888400628
extra_control,148.49555033180144,41.38902517182122,4,18,cross_scale,1024,cosine_fit_amplitude_mpl_ld_lag,4,734.1587563233705
core_wsd,509.26459186882107,435.0281560945605,0,15,same_scale,1024,cosine_fit_amplitude_mpl_ld_lag,0,1260.9291661364487
extra_control,154.9963868556348,44.36681512017409,3,9,same_scale,1024,cosine_fit_amplitude_mpl_ld_lag,3,644.1488555959314
core_wsd,548.2715861350332,507.1483082149855,0,30,cross_scale,128,cosine_fit_amplitude_mpl_ld_lag,0,1500.3873598116013
extra_control,155.13119677997688,43.1954613439228,4,18,cross_scale,128,cosine_fit_amplitude_mpl_ld_lag,4,753.493708619198
core_wsd,565.1602038373138,565.6785919761676,0,15,same_scale,128,cosine_fit_amplitude_mpl_ld_lag,0,1314.4621544798547
extra_control,161.333006281275,44.57660574879525,2,9,same_scale,128,cosine_fit_amplitude_mpl_ld_lag,2,656.4036314131414
core_wsd,87.15091073991752,66.01312336993765,8,30,cross_scale,16384,cosine_fit_amplitude_mpl_ld_lag,8,475.3939884320507
extra_control,66.25935671601968,24.224562431433128,4,18,cross_scale,16384,cosine_fit_amplitude_mpl_ld_lag,4,320.2975659366482
core_wsd,96.11018678902296,80.7579202161812,2,15,same_scale,16384,cosine_fit_amplitude_mpl_ld_lag,2,443.03458701457583
extra_control,73.1293726943538,32.734443550578995,2,9,same_scale,16384,cosine_fit_amplitude_mpl_ld_lag,2,298.56983149873474
core_wsd,433.2171862485017,366.9217365362061,0,30,cross_scale,2048,cosine_fit_amplitude_mpl_ld_lag,0,1353.1434344352788
extra_control,141.12235692935295,36.42163892619904,4,18,cross_scale,2048,cosine_fit_amplitude_mpl_ld_lag,4,697.1965905755501
core_wsd,448.9093724943502,354.62932759296575,0,15,same_scale,2048,cosine_fit_amplitude_mpl_ld_lag,0,1201.2065301489963
extra_control,148.1678482645766,44.073925009913296,3,9,same_scale,2048,cosine_fit_amplitude_mpl_ld_lag,3,617.2514187597513
core_wsd,535.7475514520005,499.19608241944337,0,30,cross_scale,256,cosine_fit_amplitude_mpl_ld_lag,0,1468.7894320859223
extra_control,154.10093311514248,42.79613712392057,4,18,cross_scale,256,cosine_fit_amplitude_mpl_ld_lag,4,752.524333895411
core_wsd,552.7082782806518,556.5825965809349,0,15,same_scale,256,cosine_fit_amplitude_mpl_ld_lag,0,1287.7201523980339
extra_control,160.35832312824624,44.54815194739592,2,9,same_scale,256,cosine_fit_amplitude_mpl_ld_lag,2,656.1461416028146
core_wsd,649.1839430327803,592.5783783078235,0,30,cross_scale,32,cosine_fit_amplitude_mpl_ld_lag,0,1969.754840007256
extra_control,155.7074324457316,43.418381070440525,4,18,cross_scale,32,cosine_fit_amplitude_mpl_ld_lag,4,754.126224366102
core_wsd,671.833102997418,585.2216970560714,0,15,same_scale,32,cosine_fit_amplitude_mpl_ld_lag,0,1726.7420044174166
extra_control,161.9817459415817,44.5933238048313,2,9,same_scale,32,cosine_fit_amplitude_mpl_ld_lag,2,656.490681381256
core_wsd,322.55281169731745,244.10469354595955,0,30,cross_scale,4096,cosine_fit_amplitude_mpl_ld_lag,0,1123.8325818344622
extra_control,124.53979568527305,30.954887557967805,4,18,cross_scale,4096,cosine_fit_amplitude_mpl_ld_lag,4,612.1555063982042
core_wsd,333.6063701650344,213.78279948528706,0,15,same_scale,4096,cosine_fit_amplitude_mpl_ld_lag,0,1014.7428143543076
extra_control,132.3445444831051,43.18112361572351,2,9,same_scale,4096,cosine_fit_amplitude_mpl_ld_lag,2,551.3440136670537
core_wsd,520.0175372113703,483.69371781394733,0,30,cross_scale,512,cosine_fit_amplitude_mpl_ld_lag,0,1452.3145798419368
