cooldown_fixed128_attenuation_factor,cooldown_fixed128_cooldown_support_span,cooldown_fixed128_delta_pct,cooldown_fixed128_effective_tau_steps,cooldown_fixed128_mae,cooldown_support_bracket_attenuation_factor,cooldown_support_bracket_cooldown_support_span,cooldown_support_bracket_delta_pct,cooldown_support_bracket_effective_tau_steps,cooldown_support_bracket_mae,group,mpl_mae,scale,test_curve,test_label
0.8168498168498168,4000.0,-7.285652422183741,128.0,0.0031600626943286613,0.8168498168498168,4000.0,-17.477361727883423,256.0,0.0028126899175170404,core_wsd,0.003408385839825258,25,wsd_20000_24000.csv,WSD sharp
0.8168498168498168,4000.0,-7.55709256174698,128.0,0.002899097883341093,0.8168498168498168,4000.0,-19.377351021427792,256.0,0.002528403286744869,core_wsd,0.0031360955249893426,25,wsdld_20000_24000.csv,WSD linear
0.9998554913294798,2.0,-11.907762911350684,128.0,0.00395286397640606,0.9998554913294798,2.0,-12.043116865522151,130.0,0.003946790390501208,core_wsd,0.004487187642230267,25,wsdcon_3.csv,WSD-con 3e-5
0.9998554913294798,2.0,-9.665476519213833,128.0,0.002643624266055623,0.9998554913294798,2.0,-9.740005501780757,130.0,0.002641443188221297,core_wsd,0.002926482771138891,25,wsdcon_9.csv,WSD-con 9e-5
0.9998554913294798,2.0,-8.35282451501872,128.0,0.0022955958294938223,0.9998554913294798,2.0,-8.450531191056342,130.0,0.002293148454145496,core_wsd,0.002504818961791151,25,wsdcon_18.csv,WSD-con 18e-5
0.0,21840.0,0.0,128.0,0.004428106847791531,0.0,21840.0,0.0,256.0,0.004428106847791531,extra_control,0.004428106847791531,25,cosine_24000.csv,Cosine 24k control
0.8168498168498168,4000.0,-8.177381691906927,128.0,0.003441576489404137,0.8168498168498168,4000.0,-21.08294365758733,256.0,0.002957866925660198,core_wsd,0.0037480705220761528,100,wsd_20000_24000.csv,WSD sharp
0.8168498168498168,4000.0,-8.92353499096058,128.0,0.0029584493274007868,0.8168498168498168,4000.0,-22.85453779528345,256.0,0.0025059266490955086,core_wsd,0.003248313740665229,100,wsdld_20000_24000.csv,WSD linear
0.9998554913294798,2.0,-10.814460757690325,128.0,0.005056284724650654,0.9998554913294798,2.0,-11.077061886212036,130.0,0.005041396816968526,core_wsd,0.0056693997340904675,100,wsdcon_3.csv,WSD-con 3e-5
0.9998554913294798,2.0,-6.219781912356814,128.0,0.00462770058842279,0.9998554913294798,2.0,-6.2920841828281056,130.0,0.004624132743663764,core_wsd,0.004934623402238123,100,wsdcon_9.csv,WSD-con 9e-5
0.9998554913294798,2.0,-8.54002924281836,128.0,0.001263647936904179,0.9998554913294798,2.0,-8.41867619650859,130.0,0.0012653245996598833,core_wsd,0.0013816404339982303,100,wsdcon_18.csv,WSD-con 18e-5
0.0,21840.0,0.0,128.0,0.0032781062167547585,0.0,21840.0,0.0,256.0,0.0032781062167547585,extra_control,0.0032781062167547585,100,cosine_24000.csv,Cosine 24k control
0.8168498168498168,4000.0,-7.656358736109681,128.0,0.004341997009630446,0.8168498168498168,4000.0,-19.623778879768906,256.0,0.00377928904440882,core_wsd,0.004701998914275349,400,wsd_20000_24000.csv,WSD sharp
0.8168498168498168,4000.0,-8.723711383573974,128.0,0.0035173832583485767,0.8168498168498168,4000.0,-22.467210852455153,256.0,0.002987769755480256,core_wsd,0.0038535563963712593,400,wsdld_20000_24000.csv,WSD linear
0.9998554913294798,2.0,-8.856009492331463,128.0,0.007449751386603718,0.9998554913294798,2.0,-9.070038119426227,130.0,0.007432257528230927,core_wsd,0.008173606778800102,400,wsdcon_3.csv,WSD-con 3e-5
0.9998554913294798,2.0,-8.123053979569207,128.0,0.006144092500484557,0.9998554913294798,2.0,-8.314548056748784,130.0,0.006131286705620363,core_wsd,0.006687305974578527,400,wsdcon_9.csv,WSD-con 9e-5
0.9998554913294798,2.0,-10.148238042560198,128.0,0.0022983669135595666,0.9998554913294798,2.0,-10.22173994995863,130.0,0.002296486768436446,core_wsd,0.0025579541942073844,400,wsdcon_18.csv,WSD-con 18e-5
0.0,21840.0,0.0,128.0,0.007134640765897494,0.0,21840.0,0.0,256.0,0.007134640765897494,extra_control,0.007134640765897494,400,cosine_24000.csv,Cosine 24k control
