attenuation,attenuation_factor,base_mae,coefficient,cooldown_support_span,corr_mae,delta_pct,effective_tau_steps,fit_start,group,ld_component,nonharm,split,tau_rule,tau_steps,test_curve,test_label,test_scale,train_scale,variant,win
none,1.0,0.002926482771138891,1.0,2,0.0027997565688104454,-4.330324564976939,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdcon_9.csv,WSD-con 9e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.002504818961791151,1.0,2,0.002428200901241335,-3.0588262752142215,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdcon_18.csv,WSD-con 18e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.004428106847791531,1.0,21840,0.00441262986093182,-0.3495170146454285,64.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,64,cosine_24000.csv,Cosine 24k,25,,direct_mpl_ld_lag,1
none,1.0,0.003761619732988638,1.0,0,0.0037683412875597296,0.1786877741028592,64.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,64,constant_24000.csv,Constant 24k,25,,direct_mpl_ld_lag,0
none,1.0,0.0015795124507172926,1.0,0,0.0015796097423436263,0.006159598570398828,64.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,64,constant_72000.csv,Constant 72k,25,,direct_mpl_ld_lag,0
none,1.0,0.0037480705220761528,1.0,4000,0.003648260261660529,-2.6629771192335006,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsd_20000_24000.csv,WSD sharp,100,,direct_mpl_ld_lag,1
none,1.0,0.003248313740665229,1.0,4000,0.0031536714635386513,-2.9135817744992742,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdld_20000_24000.csv,WSD linear,100,,direct_mpl_ld_lag,1
none,1.0,0.0056693997340904675,1.0,2,0.005500998147975224,-2.9703600736182723,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdcon_3.csv,WSD-con 3e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.004934623402238123,1.0,2,0.004805855726411088,-2.6094732126595854,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdcon_9.csv,WSD-con 9e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.0013816404339982303,1.0,2,0.0013066137154389586,-5.430263671580404,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdcon_18.csv,WSD-con 18e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.0032781062167547585,1.0,21840,0.0032498803587900534,-0.8610415922595704,64.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,64,cosine_24000.csv,Cosine 24k,100,,direct_mpl_ld_lag,1
