con18_center,con18_config_id,con18_gate_sign,con18_gate_tau,con18_mean_delta,con18_shrink_gate,con18_time_power,con18_width,con18_worst_delta,con9_center,con9_config_id,con9_gate_sign,con9_gate_tau,con9_mean_delta,con9_shrink_gate,con9_time_power,con9_width,con9_worst_delta,mean_delta,median_delta,nonharm,rows,wins,worst_delta
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.834582812915805,-40.477293275340145,15,15,15,-11.704506458753283
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,51,signed,0.01,-17.48641773980782,0,2.0,0.05,-11.80343749520516,-37.834244839511726,-40.477293275340145,15,15,15,-11.80343749520516
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,10,signed,0.01,-17.485034476000102,1,0.0,0.05,-11.6844842337675,-37.833968186750184,-40.477293275340145,15,15,15,-11.6844842337675
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.83360289927427,-40.477293275340145,15,15,15,-11.80064391895933
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.833212915923795,-40.477293275340145,15,15,15,-11.797014374541225
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.83300483099109,-40.477293275340145,15,15,15,-11.80756647979444
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,51,signed,0.01,-17.48641773980782,0,2.0,0.05,-11.80343749520516,-37.83284114987787,-40.477293275340145,15,15,15,-11.80343749520516
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,10,signed,0.01,-17.485034476000102,1,0.0,0.05,-11.6844842337675,-37.83256449711633,-40.477293275340145,15,15,15,-11.6844842337675
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.83197666960563,-40.477293275340145,15,15,15,-11.80064391895933
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.83160114135724,-40.477293275340145,15,15,15,-11.80756647979444
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.83158668625516,-40.477293275340145,15,15,15,-11.797014374541225
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.83156475388337,-40.477293275340145,15,15,15,-11.653897427837823
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.830549939634615,-40.477293275340145,15,15,15,-11.759015403496864
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.83016106424952,-40.477293275340145,15,15,15,-11.653897427837823
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.82912997871415,-40.477293275340145,15,15,15,-11.759015403496864
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,54,signed,0.03,-17.456304361328275,1,2.0,0.05,-11.628590455941268,-37.828222163815816,-40.477293275340145,15,15,15,-11.628590455941268
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.82750374904551,-40.477293275340145,15,15,15,-11.759015403496864
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,54,signed,0.03,-17.456304361328275,1,2.0,0.05,-11.628590455941268,-37.82681847418197,-40.477293275340145,15,15,15,-11.628590455941268
