estimator,scale,train_curve,train_label,kappa,total_drop,max_drop,drop_eff_steps,feature_max,feature_mean,raw_kappa,identifiable
raw_ls,25,cosine_72000.csv,Cosine,0.4814157232423704,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,0.4814157232423704,0.0
raw_ls,100,cosine_72000.csv,Cosine,0.5358652541815775,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,0.5358652541815775,0.0
raw_ls,400,cosine_72000.csv,Cosine,0.3423761046470629,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,0.3423761046470629,0.0
raw_ls,25,wsd_20000_24000.csv,WSD sharp,0.04769636075258369,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,0.04769636075258369,1.0
raw_ls,100,wsd_20000_24000.csv,WSD sharp,0.07542027714846399,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,0.07542027714846399,1.0
raw_ls,400,wsd_20000_24000.csv,WSD sharp,0.10121370162592605,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,0.10121370162592605,1.0
raw_ls,25,wsdld_20000_24000.csv,WSD linear,0.0510121945505036,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,0.0510121945505036,1.0
raw_ls,100,wsdld_20000_24000.csv,WSD linear,0.07879446245039477,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,0.07879446245039477,1.0
raw_ls,400,wsdld_20000_24000.csv,WSD linear,0.1016427946242594,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,0.1016427946242594,1.0
raw_ls,25,wsdcon_3.csv,WSD-con 3e-5,0.017559440308880722,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.21316602486886502,0.017559440308880722,1.0
raw_ls,100,wsdcon_3.csv,WSD-con 3e-5,0.021317059698654564,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,0.021317059698654564,1.0
raw_ls,400,wsdcon_3.csv,WSD-con 3e-5,0.036467051200031186,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,0.036467051200031186,1.0
raw_ls,25,wsdcon_9.csv,WSD-con 9e-5,0.016135752669323017,0.7,0.7,1.0,0.7,0.06747748278736211,0.016135752669323017,1.0
raw_ls,100,wsdcon_9.csv,WSD-con 9e-5,0.015428668529379208,0.7,0.7,1.0,0.7,0.05897773729219405,0.015428668529379208,1.0
raw_ls,400,wsdcon_9.csv,WSD-con 9e-5,0.02834051980687712,0.7,0.7,1.0,0.7,0.05897773729219405,0.02834051980687712,1.0
raw_ls,25,wsdcon_18.csv,WSD-con 18e-5,0.030966518761166042,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.020460631823060987,0.030966518761166042,1.0
raw_ls,100,wsdcon_18.csv,WSD-con 18e-5,0.01824804267566827,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,0.01824804267566827,1.0
raw_ls,400,wsdcon_18.csv,WSD-con 18e-5,0.025067531372228207,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,0.025067531372228207,1.0
robust_gate_cap,25,cosine_72000.csv,Cosine,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,0.4814157232423704,0.0
robust_gate_cap,100,cosine_72000.csv,Cosine,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,0.5358652541815775,0.0
robust_gate_cap,400,cosine_72000.csv,Cosine,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,0.3423761046470629,0.0
robust_gate_cap,25,wsd_20000_24000.csv,WSD sharp,0.03,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,0.04769636075258369,1.0
robust_gate_cap,100,wsd_20000_24000.csv,WSD sharp,0.03,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,0.07542027714846399,1.0
robust_gate_cap,400,wsd_20000_24000.csv,WSD sharp,0.03,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,0.10121370162592605,1.0
robust_gate_cap,25,wsdld_20000_24000.csv,WSD linear,0.03,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,0.0510121945505036,1.0
robust_gate_cap,100,wsdld_20000_24000.csv,WSD linear,0.03,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,0.07879446245039477,1.0
robust_gate_cap,400,wsdld_20000_24000.csv,WSD linear,0.03,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,0.1016427946242594,1.0
robust_gate_cap,25,wsdcon_3.csv,WSD-con 3e-5,0.017559440308880722,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.21316602486886502,0.017559440308880722,1.0
robust_gate_cap,100,wsdcon_3.csv,WSD-con 3e-5,0.021317059698654564,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,0.021317059698654564,1.0
robust_gate_cap,400,wsdcon_3.csv,WSD-con 3e-5,0.03,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,0.036467051200031186,1.0
robust_gate_cap,25,wsdcon_9.csv,WSD-con 9e-5,0.016135752669323017,0.7,0.7,1.0,0.7,0.06747748278736211,0.016135752669323017,1.0
robust_gate_cap,100,wsdcon_9.csv,WSD-con 9e-5,0.015428668529379208,0.7,0.7,1.0,0.7,0.05897773729219405,0.015428668529379208,1.0
robust_gate_cap,400,wsdcon_9.csv,WSD-con 9e-5,0.02834051980687712,0.7,0.7,1.0,0.7,0.05897773729219405,0.02834051980687712,1.0
robust_gate_cap,25,wsdcon_18.csv,WSD-con 18e-5,0.03,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.020460631823060987,0.030966518761166042,1.0
robust_gate_cap,100,wsdcon_18.csv,WSD-con 18e-5,0.01824804267566827,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,0.01824804267566827,1.0
robust_gate_cap,400,wsdcon_18.csv,WSD-con 18e-5,0.025067531372228207,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,0.025067531372228207,1.0
