group,mean_delta,median_delta,nonharm,rows,split,variant,wins,worst_delta
core_wsd,-26.589905560960535,-24.32085810518163,45,45,all,current_qinf_support_projection,45,-3.1527952352987443
core_wsd,-29.87468874369102,-35.96635695800162,15,15,same_scale,current_qinf_support_projection,15,-4.665186792735431
core_wsd,-24.947513969595306,-23.244024455163792,30,30,cross_scale,current_qinf_support_projection,30,-3.1527952352987443
extra_control,0.0,0.0,27,27,all,current_qinf_support_projection,0,0.0
extra_control,0.0,0.0,9,9,same_scale,current_qinf_support_projection,0,0.0
extra_control,0.0,0.0,18,18,cross_scale,current_qinf_support_projection,0,0.0
core_wsd,-26.591164538882126,-24.32085810518163,45,45,all,hhi_q2_support_projection,45,-3.1527952352987443
core_wsd,-29.878374184080155,-35.96635695800162,15,15,same_scale,hhi_q2_support_projection,15,-4.665186792735431
core_wsd,-24.947559716283106,-23.225372420746012,30,30,cross_scale,hhi_q2_support_projection,30,-3.1527952352987443
extra_control,0.0,0.0,27,27,all,hhi_q2_support_projection,0,0.0
extra_control,0.0,0.0,9,9,same_scale,hhi_q2_support_projection,0,0.0
extra_control,0.0,0.0,18,18,cross_scale,hhi_q2_support_projection,0,0.0
core_wsd,-26.592635033897594,-24.326888698745975,45,45,all,hhi_q2_halflife_support_projection,45,-3.1527952352987443
core_wsd,-29.882209629923036,-35.96635695800162,15,15,same_scale,hhi_q2_halflife_support_projection,15,-4.665186792735431
core_wsd,-24.94784773588486,-23.207638142296272,30,30,cross_scale,hhi_q2_halflife_support_projection,30,-3.1527952352987443
extra_control,0.0,0.0,27,27,all,hhi_q2_halflife_support_projection,0,0.0
extra_control,0.0,0.0,9,9,same_scale,hhi_q2_halflife_support_projection,0,0.0
extra_control,0.0,0.0,18,18,cross_scale,hhi_q2_halflife_support_projection,0,0.0
core_wsd,-26.691291766818065,-24.32222138198107,45,45,all,hhi_q2_density_projection,45,-3.1529494579045525
core_wsd,-30.218141387541998,-35.96882977705399,15,15,same_scale,hhi_q2_density_projection,15,-4.665450307980801
core_wsd,-24.927866956456104,-22.867039208032796,30,30,cross_scale,hhi_q2_density_projection,30,-3.1529494579045525
extra_control,1.8059405779872262,0.0,18,27,all,hhi_q2_density_projection,0,8.581472409414136
extra_control,1.873209594173295,0.0,6,9,same_scale,hhi_q2_density_projection,0,8.253612643083752
extra_control,1.7723060698941915,0.0,12,18,cross_scale,hhi_q2_density_projection,0,8.581472409414136
core_wsd,-26.69563662479522,-21.467225547499925,45,45,all,hhi_q2_no_locality,45,-3.1531036805106605
core_wsd,-30.883521781798102,-35.97130259610619,15,15,same_scale,hhi_q2_no_locality,15,-4.66571382322698
core_wsd,-24.601694046293783,-19.45364441001699,30,30,cross_scale,hhi_q2_no_locality,30,-3.1531036805106605
extra_control,13.061671994527366,0.0,18,27,all,hhi_q2_no_locality,0,56.99314860232367
extra_control,13.38721168130103,0.0,6,9,same_scale,hhi_q2_no_locality,0,56.99314860232367
extra_control,12.898902151140534,0.0,12,18,cross_scale,hhi_q2_no_locality,0,53.794236499097295
