basis_dim,coef,denominator,fit_start,lambda,lambda_rule,locality,locality_factor,n_cal,q_rule,ridge,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant
4,0.04735528061043357,0.0021724689574154367,8000,9.031125300869606,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00010287787709586406,0.34163832611364137,0.013132743712394476,0.0014776710585123038,wsd_20000_24000.csv,WSD sharp,25,25,current_qinf_support_projection
4,0.04737830779412671,0.002172616531913509,8000,9.02761081624502,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00010293489476760635,0.341772334069947,0.013138361081714456,0.0014777758946908194,wsdld_20000_24000.csv,WSD linear,25,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_3.csv,WSD-con 3e-5,25,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_9.csv,WSD-con 9e-5,25,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_18.csv,WSD-con 18e-5,25,25,current_qinf_support_projection
4,0.04738884761837541,0.002172684106541106,8000,9.02600304324791,rate,support_projection,0.0,500,qinf,0.002,0.00010296099604774261,0.34183367340520177,0.01314093248369788,0.001477823893045975,cosine_24000.csv,Cosine 24k,25,25,current_qinf_support_projection
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_24000.csv,Constant 24k,25,25,current_qinf_support_projection
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_72000.csv,Constant 72k,25,25,current_qinf_support_projection
4,0.04735528061043357,0.0021724689574154367,8000,9.031125300869606,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00010287787709586406,0.34163832611364137,0.013132743712394476,0.0014776710585123038,wsd_20000_24000.csv,WSD sharp,100,25,current_qinf_support_projection
4,0.04737830779412671,0.002172616531913509,8000,9.02761081624502,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00010293489476760635,0.341772334069947,0.013138361081714456,0.0014777758946908194,wsdld_20000_24000.csv,WSD linear,100,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_3.csv,WSD-con 3e-5,100,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_9.csv,WSD-con 9e-5,100,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_18.csv,WSD-con 18e-5,100,25,current_qinf_support_projection
4,0.04738884761837541,0.002172684106541106,8000,9.02600304324791,rate,support_projection,0.0,500,qinf,0.002,0.00010296099604774261,0.34183367340520177,0.01314093248369788,0.001477823893045975,cosine_24000.csv,Cosine 24k,100,25,current_qinf_support_projection
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_24000.csv,Constant 24k,100,25,current_qinf_support_projection
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_72000.csv,Constant 72k,100,25,current_qinf_support_projection
4,0.04735528061043357,0.0021724689574154367,8000,9.031125300869606,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00010287787709586406,0.34163832611364137,0.013132743712394476,0.0014776710585123038,wsd_20000_24000.csv,WSD sharp,400,25,current_qinf_support_projection
4,0.04737830779412671,0.002172616531913509,8000,9.02761081624502,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00010293489476760635,0.341772334069947,0.013138361081714456,0.0014777758946908194,wsdld_20000_24000.csv,WSD linear,400,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_3.csv,WSD-con 3e-5,400,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_9.csv,WSD-con 9e-5,400,25,current_qinf_support_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_18.csv,WSD-con 18e-5,400,25,current_qinf_support_projection
4,0.04738884761837541,0.002172684106541106,8000,9.02600304324791,rate,support_projection,0.0,500,qinf,0.002,0.00010296099604774261,0.34183367340520177,0.01314093248369788,0.001477823893045975,cosine_24000.csv,Cosine 24k,400,25,current_qinf_support_projection
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_24000.csv,Constant 24k,400,25,current_qinf_support_projection
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_72000.csv,Constant 72k,400,25,current_qinf_support_projection
4,0.08189994784284672,0.0021469828640467547,8000,9.031125300869606,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.0001758377845849149,0.34163832611364137,0.012123648957585121,0.0012593125600914583,wsd_20000_24000.csv,WSD sharp,25,100,current_qinf_support_projection
4,0.08193941176606288,0.0021471105052341573,8000,9.02761081624502,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00017593297179562093,0.341772334069947,0.012128911955907562,0.0012594179484486092,wsdld_20000_24000.csv,WSD linear,25,100,current_qinf_support_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_3.csv,WSD-con 3e-5,25,100,current_qinf_support_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_9.csv,WSD-con 9e-5,25,100,current_qinf_support_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_18.csv,WSD-con 18e-5,25,100,current_qinf_support_projection
4,0.08195747501285224,0.002147168953475683,8000,9.02600304324791,rate,support_projection,0.0,500,qinf,0.002,0.00017597654585285537,0.34183367340520177,0.012131321176017186,0.0012594662017095595,cosine_24000.csv,Cosine 24k,25,100,current_qinf_support_projection
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_24000.csv,Constant 24k,25,100,current_qinf_support_projection
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_72000.csv,Constant 72k,25,100,current_qinf_support_projection
4,0.08189994784284672,0.0021469828640467547,8000,9.031125300869606,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.0001758377845849149,0.34163832611364137,0.012123648957585121,0.0012593125600914583,wsd_20000_24000.csv,WSD sharp,100,100,current_qinf_support_projection
4,0.08193941176606288,0.0021471105052341573,8000,9.02761081624502,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00017593297179562093,0.341772334069947,0.012128911955907562,0.0012594179484486092,wsdld_20000_24000.csv,WSD linear,100,100,current_qinf_support_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_3.csv,WSD-con 3e-5,100,100,current_qinf_support_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_9.csv,WSD-con 9e-5,100,100,current_qinf_support_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_18.csv,WSD-con 18e-5,100,100,current_qinf_support_projection
4,0.08195747501285224,0.002147168953475683,8000,9.02600304324791,rate,support_projection,0.0,500,qinf,0.002,0.00017597654585285537,0.34183367340520177,0.012131321176017186,0.0012594662017095595,cosine_24000.csv,Cosine 24k,100,100,current_qinf_support_projection
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_24000.csv,Constant 24k,100,100,current_qinf_support_projection
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,rate,support_projection,0.0,500,qinf,0.002,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_72000.csv,Constant 72k,100,100,current_qinf_support_projection
4,0.08189994784284672,0.0021469828640467547,8000,9.031125300869606,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.0001758377845849149,0.34163832611364137,0.012123648957585121,0.0012593125600914583,wsd_20000_24000.csv,WSD sharp,400,100,current_qinf_support_projection
4,0.08193941176606288,0.0021471105052341573,8000,9.02761081624502,rate,support_projection,0.8168498168498168,500,qinf,0.002,0.00017593297179562093,0.341772334069947,0.012128911955907562,0.0012594179484486092,wsdld_20000_24000.csv,WSD linear,400,100,current_qinf_support_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,rate,support_projection,0.9998554913294798,500,qinf,0.002,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_3.csv,WSD-con 3e-5,400,100,current_qinf_support_projection
