full_kappa,kappa_cap_rate,kappa_mean,kappa_p05,kappa_p50,kappa_p95,kappa_zero_rate,scale,train_curve,train_label
0.0060004790851013465,0.0125,0.006351062788958176,0.0,0.0024975364450814516,0.021417167121312322,0.3625,25,cosine_72000.csv,Cosine
0.008872855850635438,0.0125,0.00884260835600623,0.0,0.007288113766374665,0.021504429428578536,0.175,100,cosine_72000.csv,Cosine
0.0,0.0,0.003034310117539923,0.0,0.0,0.013548833976485491,0.55,400,cosine_72000.csv,Cosine
0.016941554704404626,0.0,0.01652366735417356,0.009191192413827588,0.016667905539604233,0.025607202420816887,0.025,25,wsd_20000_24000.csv,WSD sharp
0.02672099323774187,0.3125,0.025445094544704193,0.01633784699859735,0.026712947153930557,0.03,0.0,100,wsd_20000_24000.csv,WSD sharp
0.03,0.95,0.029756944607721048,0.029963866827282727,0.03,0.03,0.0,400,wsd_20000_24000.csv,WSD sharp
0.020363296999888605,0.0375,0.01900093051417013,0.01115996846331225,0.019510611254774518,0.029569341521143468,0.0,25,wsdld_20000_24000.csv,WSD linear
0.02933539389382345,0.3125,0.026617763717952138,0.019200941083329665,0.027767638698840434,0.03,0.0,100,wsdld_20000_24000.csv,WSD linear
0.03,0.975,0.029911008203026074,0.03,0.03,0.03,0.0,400,wsdld_20000_24000.csv,WSD linear
0.013164132074861909,0.0,0.012377592333529657,0.009272457247275262,0.01219009599988884,0.01534694701551443,0.0,25,wsdcon_3.csv,WSD-con 3e-5
0.017117152863536645,0.0,0.016383676053396194,0.012880681963041738,0.01643900912445338,0.0203248904077081,0.0,100,wsdcon_3.csv,WSD-con 3e-5
0.026355400498795593,0.075,0.025165495390459185,0.019673943090797834,0.02560809006676719,0.03,0.0,400,wsdcon_3.csv,WSD-con 3e-5
0.014100234638063053,0.0,0.01366757551293806,0.010944309362612103,0.013331797919723321,0.017073948134352836,0.0,25,wsdcon_9.csv,WSD-con 9e-5
0.01803053339126788,0.0,0.01670695995717613,0.013082915784082046,0.01699112249353267,0.01975753706201073,0.0125,100,wsdcon_9.csv,WSD-con 9e-5
0.03,0.5125,0.028532112295916824,0.02491308041841637,0.03,0.03,0.0,400,wsdcon_9.csv,WSD-con 9e-5
0.022089066343158444,0.1375,0.022763803997553587,0.017311273666828397,0.022015457245708987,0.03,0.0,25,wsdcon_18.csv,WSD-con 18e-5
0.016720250313168705,0.0,0.013397726683558629,0.0,0.015719110516154315,0.018679882171835485,0.1375,100,wsdcon_18.csv,WSD-con 18e-5
0.027876019715167843,0.2125,0.024195271705940297,0.0,0.027251181426305393,0.03,0.075,400,wsdcon_18.csv,WSD-con 18e-5
