base_mae,corr_mae,delta_pct,estimator,kappa_hat,kappa_star,lambda,n_cal,ridge,scale,source_dot,source_energy,target_curve,target_label,terminal_corr_error,terminal_mpl_error
0.003408385839825258,0.014861444175675954,336.02587482988355,direct_no_projection,0.42453802601203694,0.043800658227505104,9.026941864314445,500,0.002,25,0.050446058848787875,0.11682577238760133,wsd_20000_24000.csv,WSD sharp,0.0793025596304271,-0.009656985814928465
0.0031360955249893426,0.011009809356140205,251.06741068346824,direct_no_projection,0.42451652830328307,0.04733106255709994,9.026482506002322,500,0.002,25,0.050448590410263096,0.11683775317747255,wsdld_20000_24000.csv,WSD linear,0.10264725146280673,-0.01018362816145002
0.004487187642230267,0.11068594975362378,2366.7109686237577,direct_no_projection,0.8233833807362066,0.024281379919932757,18.05070782708191,500,0.002,25,0.025364689092116234,0.02880544213733955,wsdcon_3.csv,WSD-con 3e-5,0.03021641359896865,0.003615250427559946
0.002926482771138891,0.03327216581346275,1036.9335962471534,direct_no_projection,0.8233833807362066,0.02058761784683075,18.05070782708191,500,0.002,25,0.025364689092116234,0.02880544213733955,wsdcon_9.csv,WSD-con 9e-5,0.00496054188781736,0.004933881393385686
0.002504818961791151,0.011160931025295185,345.5783509924488,direct_no_projection,0.8233833807362066,0.03376118027071087,18.05070782708191,500,0.002,25,0.025364689092116234,0.02880544213733955,wsdcon_18.csv,WSD-con 18e-5,-0.001336291467051609,-0.0013362921717416931
0.0037480705220761528,0.015079530100262773,302.32781137506004,direct_no_projection,0.4734820935663211,0.06926088194817957,9.026941864314445,500,0.002,100,0.05626187547971663,0.11682577238760133,wsd_20000_24000.csv,WSD sharp,0.08383096225008568,-0.015384536101953561
0.003248313740665229,0.011006819469522673,238.84717882172814,direct_no_projection,0.47345808571057735,0.07309102076755729,9.026482506002322,500,0.002,100,0.056264695129552234,0.11683775317747255,wsdld_20000_24000.csv,WSD linear,0.1089564579017499,-0.01688244050216925
0.0056693997340904675,0.11043285908259674,1847.8756881183876,direct_no_projection,0.9190668900835309,0.03170588603525045,18.05070782708191,500,0.002,100,0.028312261902812823,0.02880544213733955,wsdcon_3.csv,WSD-con 3e-5,0.020748149051437625,0.009496824379844337
0.004934623402238123,0.034767021975160434,604.5526910805731,direct_no_projection,0.9190668900835309,0.022653397725304992,18.05070782708191,500,0.002,100,0.028312261902812823,0.02880544213733955,wsdcon_9.csv,WSD-con 9e-5,0.01020412338103105,0.010202504230444998
0.0013816404339982303,0.010712464367064072,675.3438668600655,direct_no_projection,0.9190668900835309,0.021721690706812492,18.05070782708191,500,0.002,100,0.028312261902812823,0.02880544213733955,wsdcon_18.csv,WSD-con 18e-5,-0.0018822257820736432,-0.001882225784402003
0.004701998914275349,0.008841034536994705,88.02714969059593,direct_no_projection,0.30424476643016135,0.09299964240306824,9.026941864314445,500,0.002,400,0.036155457429951625,0.11683674402744745,wsd_20000_24000.csv,WSD sharp,0.04201315161636554,-0.021748173844712948
0.0038535563963712593,0.0067623343255874,75.48294692028436,direct_no_projection,0.30422901368485433,0.09432344274255343,9.026482506002322,500,0.002,400,0.036157230901649906,0.1168487267000266,wsdld_20000_24000.csv,WSD linear,0.05838382606472603,-0.023834165468386015
0.008173606778800102,0.06872258548223177,740.7865382082933,direct_no_projection,0.5984473460888438,0.0504005806684353,18.05070782708191,500,0.002,400,0.018435965467121323,0.02880632838897137,wsdcon_3.csv,WSD-con 3e-5,0.016187450026967642,0.00886118742045916
0.006687305974578527,0.02420245178384682,261.916321398352,direct_no_projection,0.5984473460888438,0.03759393801515421,18.05070782708191,500,0.002,400,0.018435965467121323,0.02880632838897137,wsdcon_9.csv,WSD-con 9e-5,0.013848469816068132,0.013847415511553773
0.0025579541942073844,0.008116969657668758,217.32271344225174,direct_no_projection,0.5984473460888438,0.027662472359065323,18.05070782708191,500,0.002,400,0.018435965467121323,0.02880632838897137,wsdcon_18.csv,WSD-con 18e-5,4.478180653411101e-05,4.478180501799045e-05
