mean_delta_pct,mean_kappa_hat,mean_kappa_star,median_delta_pct,pearson_kappa_star,protocol,rows,wins,worst_delta_pct
-30.881825929441106,0.044374345942904,0.046078323479564046,-35.97130259610619,0.9102546005024416,same_scale,15,15,-4.66571382322698
62.57050068943578,0.15392094934715164,0.046078323479564046,33.58915392832307,0.6411149341660326,leave_one_scale_out_pooled,15,1,231.4464285521177
193.89368215416334,0.28747442085594066,0.046078323479564046,173.76521896774105,0.8082730261073002,all_scale_pooled,15,0,521.2090534200296
-24.834594717483718,0.05241115859074933,0.04727419750103559,-16.53341951851911,0.7308910452862071,single_source_100M,10,10,-4.687141576264764
-27.06266677322506,0.05059747171545624,0.03881947760051842,-17.487662449143098,0.8693301805286822,single_source_400M,10,10,-7.800619301132173
-25.61592569231301,0.044374345942904,0.046078323479564046,-19.453644410016825,0.6706204273421699,leave_one_scale_out_mean_kappa,15,15,-3.9630890762309967
-25.61592569231301,0.044374345942904,0.046078323479564046,-19.453644410016825,0.6706204273421699,leave_one_scale_out_median_kappa,15,15,-3.9630890762309967
-29.15166382709493,0.044374345942904,0.046078323479564046,-22.386179514092184,0.8082742618854617,all_scale_mean_kappa,15,15,-4.19729732522951
-28.119595010523426,0.05059747171545625,0.046078323479564046,-19.818030661101083,0.8082742480717162,all_scale_median_kappa,15,15,-4.66571382322698
-21.90265896278757,0.03011440752250639,0.05214129533713813,-24.583955258513434,0.9208634143833178,single_source_25M,10,10,-3.1531036805106605
