base_mae,corr_mae,delta_pct,kappa_hat,kappa_star,kernel,n_cal,param,ridge,scale,source_dot,source_energy,target_curve,target_label,terminal_corr_error,terminal_mpl_error
0.003408385839825258,0.002079373853786942,-38.99241601433398,0.04738269271226069,0.043800658227505104,lr_time_exp,500,9.026941864314445,0.002,25,0.00010294575349582092,0.00017264464307624282,wsd_20000_24000.csv,WSD sharp,0.0002717898126762819,-0.009656985814928465
0.003408385839825258,0.003408385839825258,0.0,0.0,0.0020236878038788174,eta_level,500,0.0,0.002,25,0.0,4.367062046839616e-08,wsd_20000_24000.csv,WSD sharp,-0.009656985814928465,-0.009656985814928465
0.003408385839825258,0.002298242974376796,-32.57092704930897,0.010031345850784253,0.012610635340187113,drop_cumsum,500,0.0,0.002,25,0.010138546783168105,1.008686595196543,wsd_20000_24000.csv,WSD sharp,-0.0006857701577529518,-0.009656985814928465
0.003408385839825258,0.0034083849868537684,-2.5025672845124802e-05,2.0664370780867873e-05,21.09819603768933,drop_impulse,500,0.0,0.002,25,4.1328742515821104e-08,4.617054937485602e-11,wsd_20000_24000.csv,WSD sharp,-0.009656984557443238,-0.009656985814928465
0.003408385839825258,0.0032842569387195784,-3.6418676446573706,0.008379524047973746,0.0773237172671899,step_time_exp,500,255.95496643225096,0.002,25,1.681605320517783e-05,6.802905380302799e-06,wsd_20000_24000.csv,WSD sharp,-0.009417664330885422,-0.009656985814928465
0.003408385839825258,0.005085646016292616,49.209809431474106,0.11043069839055393,0.03510185608865307,power_law_lr_time,500,255.95496643225096,0.002,25,0.0004606250419826824,0.002171168422331408,wsd_20000_24000.csv,WSD sharp,0.022179094789371856,-0.009656985814928465
0.003408385839825258,0.0021865425213712314,-35.8481514674016,0.0473826228610358,0.03913024023840804,signed_lr_time_exp,500,9.026941864314445,0.002,25,0.00010294557332356555,0.00017264404348162196,wsd_20000_24000.csv,WSD sharp,0.00027177517574639154,-0.009656985814928465
0.0031360955249893426,0.0020878167978967536,-33.42623713913023,0.04738570411405721,0.04733106255709994,lr_time_exp,500,9.026482506002322,0.002,25,0.00010295321110044684,0.0001726639505585662,wsdld_20000_24000.csv,WSD linear,0.002410865386711869,-0.01018362816145002
0.0031360955249893426,0.0031360955249893426,0.0,0.0,0.0020377562448391996,eta_level,500,0.0,0.002,25,0.0,4.367062046839616e-08,wsdld_20000_24000.csv,WSD linear,-0.01018362816145002,-0.01018362816145002
0.0031360955249893426,0.002319520369568804,-26.037955442167636,0.010031345850784253,0.013353633195462384,drop_cumsum,500,0.0,0.002,25,0.010138546783168105,1.008686595196543,wsdld_20000_24000.csv,WSD linear,-0.0013720939661214793,-0.01018362816145002
0.0031360955249893426,0.0031360946771423577,-2.7035113503437458e-05,2.0664370780867873e-05,29.16116754052862,drop_impulse,500,0.0,0.002,25,4.1328742515821104e-08,4.617054937485602e-11,wsdld_20000_24000.csv,WSD linear,-0.010183623511966555,-0.01018362816145002
0.0031360955249893426,0.00302072740557548,-3.6787182818436293,0.008379985739471301,0.08812467376785307,step_time_exp,500,255.9679919979995,0.002,25,1.681698574116737e-05,6.803622821959953e-06,wsdld_20000_24000.csv,WSD linear,-0.009486419525455592,-0.01018362816145002
