lambda_rule,mean_delta_pct,mean_kappa_hat,mean_kappa_star,median_delta_pct,pearson_kappa_star,rows,wins,worst_delta_pct
q2_half_life,-30.881825929441106,0.044374345942904,0.046078323479564046,-35.97130259610619,0.9102546005024416,15,15,-4.66571382322698
fixed_1obs,-17.51808903998418,0.027701146676735133,0.06758099470105142,-12.459359697726269,0.25864731918069817,15,15,-4.66571382322698
fixed_2obs,20.62876528812978,0.06939701567897791,0.04119397387175148,25.22852274149998,0.25455632745609147,15,7,185.42383123771106
fixed_4obs,249.9216228512428,0.13699062961020303,0.025120835871732767,188.34023889389263,0.16694978594689763,15,0,792.9346260208089
wrong_fast_lambda20,-14.761581733268416,0.024081530770464248,0.07266988059525072,-10.459316962912634,0.25446854233198757,15,15,-3.490657935676522
oracle_grid_best,-31.546336366846358,0.04530979893345533,0.045962097998727906,-35.97130259610619,0.9213925500037795,15,15,-4.66571382322698
