base_mae,corr_mae,delta_pct,kappa_hat,kappa_star,lambda,lambda_rule,n_cal,ridge,scale,source_dot,source_energy,target_curve,target_label,terminal_corr_error,terminal_mpl_error,uses_target_loss_for_lambda
0.003408385839825258,0.002079373853786942,-38.99241601433398,0.04738269271226069,0.043800658227505104,9.026941864314445,q2_half_life,500,0.002,25,0.00010294575349582092,0.00017264464307624282,wsd_20000_24000.csv,WSD sharp,0.0002717898126762819,-0.009656985814928465,0
0.003408385839825258,0.0030661213753184263,-10.04183448093362,0.0186012135954047,0.08079904134799094,18.05070782708191,fixed_1obs,500,0.002,25,3.7948123595473736e-05,4.008858888909031e-05,wsd_20000_24000.csv,WSD sharp,-0.007678382004425721,-0.009656985814928465,0
0.003408385839825258,0.0020799513166708705,-38.97547359903637,0.047393104006591434,0.04379433738350635,9.025353913540956,fixed_2obs,500,0.002,25,0.00010297153739287033,0.00017271140076727292,wsd_20000_24000.csv,WSD sharp,0.0002756071317731035,-0.009656985814928465,0
0.003408385839825258,0.005640335282882841,65.48406043055299,0.0939365434120795,0.02662307872983276,4.512676956770478,fixed_4obs,500,0.002,25,0.00026607730410687036,0.0008325217688673746,wsd_20000_24000.csv,WSD sharp,0.025426948315568243,-0.009656985814928465,0
0.003408385839825258,0.0031389248118398865,-7.905825239527053,0.01612115983101774,0.0889040913119927,20.0,wrong_fast_lambda20,500,0.002,25,3.276747841898438e-05,3.2575742840690245e-05,wsd_20000_24000.csv,WSD sharp,-0.00810906299082026,-0.009656985814928465,0
0.003408385839825258,0.0020799513166708705,-38.97547359903637,0.047393104006591434,0.04379433738350635,9.025353913540956,oracle_grid_best,500,0.002,25,0.00010297153739287033,0.00017271140076727292,wsd_20000_24000.csv,WSD sharp,0.0002756071317731035,-0.009656985814928465,1
0.0031360955249893426,0.0020878167978967536,-33.42623713913023,0.04738570411405721,0.04733106255709994,9.026482506002322,q2_half_life,500,0.002,25,0.00010295321110044684,0.0001726639505585662,wsdld_20000_24000.csv,WSD linear,0.002410865386711869,-0.01018362816145002,0
0.0031360955249893426,0.002873984466914117,-8.357878641981609,0.0186012135954047,0.08012160409219193,18.05070782708191,fixed_1obs,500,0.002,25,3.7948123595473736e-05,4.008858888909031e-05,wsdld_20000_24000.csv,WSD linear,-0.007053243977487966,-0.01018362816145002,0
0.0031360955249893426,0.0020877656469717966,-33.427868177615814,0.047393104006591434,0.047326772609632396,9.025353913540956,fixed_2obs,500,0.002,25,0.00010297153739287033,0.00017271140076727292,wsdld_20000_24000.csv,WSD linear,0.0024138316341435484,-0.01018362816145002,0
0.0031360955249893426,0.00433402755208761,38.198199562251475,0.0939365434120795,0.029858724205099458,4.512676956770478,fixed_4obs,500,0.002,25,0.00026607730410687036,0.0008325217688673746,wsdld_20000_24000.csv,WSD linear,0.027534379966630773,-0.01018362816145002,0
