backbone_params,p0,p1,p2,p3,p4,p5,p6,residual_params,scale,variant
21,3.04045406,0.52468604,0.50786857,363.78751622,2.06560812,0.58279013,0.64142257,0,25,frozen_official
21,2.6514477,0.60115152,0.45295811,437.9464276,2.13245612,0.59785199,0.65523644,0,100,frozen_official
21,2.37474466,0.65421216,0.42878731,523.42464371,2.02462735,0.59350493,0.63472457,0,400,frozen_official
21,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,0,25,cosine_independent
21,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,100,cosine_independent
21,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,0,400,cosine_independent
17,3.0675703846321163,0.4980258392904974,0.5365907695941282,363.98522024221404,2.5074986515552693,0.9600558265845295,0.9918910055477377,0,25,shared_beta_gamma
17,2.681981085322062,0.5677639364143494,0.47325123111962114,437.95330125563436,2.1489759639324633,0.9600558265845295,0.9918910055477377,0,100,shared_beta_gamma
17,2.4083192625947825,0.6078439408467446,0.4464408541082014,523.4287279401067,2.0391276351488896,0.9600558265845295,0.9918910055477377,0,400,shared_beta_gamma
15,3.06756881140121,0.49802777741631027,0.5365930524056717,363.9852202984618,2.1489759879846617,0.9600560920251662,0.9918914470591067,0,25,shared_c_beta_gamma
15,2.681981090808673,0.5677639497607931,0.47325117809285666,437.95330129854136,2.1489759879846617,0.9600560920251662,0.9918914470591067,0,100,shared_c_beta_gamma
15,2.408319792807258,0.6078429647411306,0.4464391081674613,523.4287279769854,2.1489759879846617,0.9600560920251662,0.9918914470591067,0,400,shared_c_beta_gamma
