backbone_params,group,mean_base_vs_official_baseline,mean_corr_vs_official_baseline,mean_delta_vs_own_baseline,nonharm_vs_own_baseline,residual_params,rows,variant,wins_vs_own_baseline,worst_base_vs_official_baseline,worst_corr_vs_official_baseline,worst_delta_vs_own_baseline
21,core_wsd,55.04527052230417,37.341849560378016,-11.43718960362216,15,0,15,cosine_independent,15,106.80840626460855,79.98582517956044,-6.39525541592374
21,extra_control,79.78274516207723,79.78274516207723,0.0,9,0,9,cosine_independent,0,490.27031703608924,490.27031703608924,0.0
21,core_wsd,0.0,-13.767399058963177,-13.767399058963177,15,0,15,frozen_official,15,0.0,-6.2920841828281056,-6.2920841828281056
21,extra_control,0.0,0.0,0.0,9,0,9,frozen_official,0,0.0,0.0,0.0
17,core_wsd,54.2320020426603,36.82989754973387,-11.336482864634961,15,0,15,median_beta_gamma_projected,15,97.55008309016782,78.69063532992702,-6.922982801985822
17,extra_control,79.743276594945,79.743276594945,0.0,9,0,9,median_beta_gamma_projected,0,490.10842611490244,490.10842611490244,0.0
15,core_wsd,54.09469684795661,36.739307952065616,-11.318517293274427,15,0,15,median_c_beta_gamma_projected,15,96.5339285244692,78.81885800670598,-6.952868754926611
15,extra_control,79.7433081184639,79.7433081184639,0.0,9,0,9,median_c_beta_gamma_projected,0,490.08259483616536,490.08259483616536,0.0
