backbone_params,p0,p1,p2,p3,p4,p5,p6,residual_params,scale,variant
21,3.04045406,0.52468604,0.50786857,363.78751622,2.06560812,0.58279013,0.64142257,0,25,frozen_official
21,2.6514477,0.60115152,0.45295811,437.9464276,2.13245612,0.59785199,0.65523644,0,100,frozen_official
21,2.37474466,0.65421216,0.42878731,523.42464371,2.02462735,0.59350493,0.63472457,0,400,frozen_official
21,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,0,25,cosine_independent
21,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,100,cosine_independent
21,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,0,400,cosine_independent
17,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,0.9600541420381892,0.9918905329304987,0,25,median_beta_gamma_projected
17,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,100,median_beta_gamma_projected
17,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.9600541420381892,0.9918905329304987,0,400,median_beta_gamma_projected
15,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,25,median_c_beta_gamma_projected
15,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,100,median_c_beta_gamma_projected
15,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,400,median_c_beta_gamma_projected
