scale,prefix_72k_loss,baseline_144k_loss,optimized_144k_loss,improvement_pct
25,3.0687457472307718,3.0590474076118146,3.035146681847505,0.7813126957378208
100,2.6934806542039693,2.6817710238297496,2.6521552131400776,1.1043377837448118
400,2.4235579940690517,2.409483960260866,2.3768016020035727,1.3564048898567926
