blend_mae,channel,delta_vs_first_error_pct,delta_vs_pure_pct,first_error_mae,pure_mpl_mae,scale,test_curve,test_label,variant,weight,win_vs_first_error,win_vs_pure
0.0030334791879569334,smooth,0.0,-29.5084918638418,0.0030334791879569334,0.004303325702859985,25,wsd_20000_24000.csv,WSD sharp,smooth_only,0.0,0,1
0.0032089091801266964,smooth,0.0,-16.880609023662686,0.0032089091801266964,0.003860602372604268,25,wsdld_20000_24000.csv,WSD linear,smooth_only,0.0,0,1
0.004048429060170452,step,0.0,-52.87815483344662,0.004048429060170452,0.008591406057766149,25,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.0,0,1
0.004333375811299792,step,0.0,-28.40013634317151,0.004333375811299792,0.006052212378600692,25,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.0,0,1
0.003544246738960761,step,0.0,-14.273967180468016,0.003544246738960761,0.004134387912738256,25,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.0,0,1
0.002284463283822057,smooth,0.0,-47.42184213260951,0.002284463283822057,0.004344890305179187,100,wsd_20000_24000.csv,WSD sharp,smooth_only,0.0,0,1
0.0024668551420834305,smooth,0.0,-31.81491325220902,0.0024668551420834305,0.0036178807709199698,100,wsdld_20000_24000.csv,WSD linear,smooth_only,0.0,0,1
0.003548134124773109,step,0.0,-55.24595238697489,0.003548134124773109,0.007928074250295227,100,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.0,0,1
0.004512809368896204,step,0.0,-27.87233648379296,0.004512809368896204,0.0062566970131816045,100,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.0,0,1
0.001985653701441024,step,0.0,-25.665027953071707,0.001985653701441024,0.0026712241180200675,100,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.0,0,1
0.004408231249596974,smooth,0.0,-39.417859222497086,0.004408231249596974,0.007276453411883992,400,wsd_20000_24000.csv,WSD sharp,smooth_only,0.0,0,1
0.004143952764348088,smooth,0.0,-31.681286986452008,0.004143952764348088,0.006065618893503333,400,wsdld_20000_24000.csv,WSD linear,smooth_only,0.0,0,1
0.005893579148420095,step,0.0,-61.67632967375416,0.005893579148420095,0.015378430871178581,400,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.0,0,1
0.006557989474811701,step,0.0,-27.398735435516265,0.006557989474811701,0.009032886016726277,400,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.0,0,1
0.004137271297583188,step,0.0,-15.025693297652687,0.004137271297583188,0.004868849724276598,400,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.0,0,1
0.0031587613605020184,smooth,4.12998292661646,-26.597204613104008,0.0030334791879569334,0.004303325702859985,25,wsd_20000_24000.csv,WSD sharp,smooth_only,0.05,0,1
0.0033332898830914126,smooth,3.8761054296901465,-13.658813796903491,0.0032089091801266964,0.003860602372604268,25,wsdld_20000_24000.csv,WSD linear,smooth_only,0.05,0,1
0.00373473873190083,step,-7.748445720731356,-56.52936542878408,0.004048429060170452,0.008591406057766149,25,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.05,1,1
0.004274575724453598,step,-1.3569117797922248,-29.371683327446195,0.004333375811299792,0.006052212378600692,25,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.05,1,1
0.003581035539073345,step,1.0379864276427675,-13.384142594844683,0.003544246738960761,0.004134387912738256,25,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.05,0,1
0.002259129718978242,smooth,-1.108950405253628,-48.004907827354835,0.002284463283822057,0.004344890305179187,100,wsd_20000_24000.csv,WSD sharp,smooth_only,0.05,1,1
0.002440676719563082,smooth,-1.0612063138105032,-32.53849769785375,0.0024668551420834305,0.0036178807709199698,100,wsdld_20000_24000.csv,WSD linear,smooth_only,0.05,1,1
0.003540604280334188,step,-0.21221983651484866,-55.340929353653046,0.003548134124773109,0.007928074250295227,100,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.05,1,1
0.004500338780836655,step,-0.27633757688725336,-28.071652321419037,0.004512809368896204,0.0062566970131816045,100,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.05,1,1
0.0019713201820348875,step,-0.7218539363502585,-26.201617874877314,0.001985653701441024,0.0026712241180200675,100,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.05,1,1
0.004405842731594568,smooth,-0.054183137570740225,-39.450684527177856,0.004408231249596974,0.007276453411883992,400,wsd_20000_24000.csv,WSD sharp,smooth_only,0.05,1,1
0.004135346726666379,smooth,-0.20767702170134683,-31.823169254903227,0.004143952764348088,0.006065618893503333,400,wsdld_20000_24000.csv,WSD linear,smooth_only,0.05,1,1
