scale,scheme,split,curve,mae_loss,rmse_loss,mse_loss,huber_loss,prede,worste,r2_score,best_loss,weight_cosine_24000,weight_constant_24000,weight_wsdcon_9
25,equal_1_1_1,train,cosine_24000.csv,0.004428161196670633,0.0061780661020188745,3.8168500760914686e-05,0.000146802137831096,0.0012760282141012535,0.009960403757382977,0.9985070990529584,0.0002786183721750816,1.0,1.0,1.0
25,equal_1_1_1,train,constant_24000.csv,0.0037603707312746718,0.005397962930365215,2.9138003797597017e-05,0.00010132094162660075,0.001053290501489068,0.009006473727116614,0.9986739844944266,0.0002786183721750816,1.0,1.0,1.0
25,equal_1_1_1,train,wsdcon_9.csv,0.002926740201152482,0.003739114158806915,1.3980974692590343e-05,4.306406021199081e-05,0.0008317163508692558,0.003661929382393194,0.9994707233345141,0.0002786183721750816,1.0,1.0,1.0
25,equal_1_1_1,test,constant_72000.csv,0.00157954477609431,0.0018837333733256517,3.548451421780839e-06,8.275675436691512e-05,0.0004689116033519304,0.002022333510523662,0.9997553133688031,0.0002786183721750816,1.0,1.0,1.0
25,equal_1_1_1,test,cosine_72000.csv,0.00744444570610409,0.008010402245134832,6.416654412886116e-05,0.0009532241308370014,0.0022394541894598307,0.007062302777993072,0.996623485191632,0.0002786183721750816,1.0,1.0,1.0
25,equal_1_1_1,test,wsd_20000_24000.csv,0.0034076874436141467,0.004296753319278532,1.8462089086731082e-05,9.847619480823988e-05,0.0009985900184694514,0.0029790364491612104,0.9992170377318167,0.0002786183721750816,1.0,1.0,1.0
25,equal_1_1_1,test,wsdld_20000_24000.csv,0.0031353852555964625,0.0038269134288983543,1.4645266392282558e-05,8.430814764059974e-05,0.0009150324632583721,0.003106820282880647,0.9993593568575673,0.0002786183721750816,1.0,1.0,1.0
25,equal_1_1_1,test,wsdcon_3.csv,0.004487155659262821,0.006779201710698755,4.595757583434093e-05,8.56706691508263e-05,0.0012851415880233915,0.006417391940458593,0.9982526865936786,0.0002786183721750816,1.0,1.0,1.0
25,equal_1_1_1,test,wsdcon_18.csv,0.0025044364080702482,0.0031120189800905576,9.684662132443874e-06,3.125842253100869e-05,0.0007054562100371391,0.0029799749001424656,0.9996059379114317,0.0002786183721750816,1.0,1.0,1.0
25,cosine_constant_3_3_1,train,cosine_24000.csv,0.010543915715954456,0.01302676471641612,0.00016969659897686395,0.0004333494013407911,0.0029865855830010697,0.016209799079258933,0.9933625841132928,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_constant_3_3_1,train,constant_24000.csv,0.01784592458847296,0.019039743512098025,0.0003625118330064788,0.0007834177788453901,0.005067297712452971,0.015254893342619688,0.9835027713339755,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_constant_3_3_1,train,wsdcon_9.csv,0.013439279776108252,0.014655587900612627,0.00021478625671258325,0.0003085443765232625,0.003739735169070507,0.008314789577900354,0.9918688534780568,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_constant_3_3_1,test,constant_72000.csv,0.00933379026672256,0.010607837046855343,0.00011252620681263669,0.0012292131033028969,0.002746073770566419,0.008314789577900354,0.992240655093277,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_constant_3_3_1,test,cosine_72000.csv,0.016724593512092545,0.01737266090087408,0.000301809346776759,0.0024598018482797877,0.004991929463144337,0.013329991690116994,0.9841184570163376,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_constant_3_3_1,test,wsd_20000_24000.csv,0.015201743276407609,0.015646188670558496,0.000244803219914713,0.0006564890316760274,0.004351800579922458,0.008314789577900354,0.9896180934117176,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_constant_3_3_1,test,wsdld_20000_24000.csv,0.015357576163570726,0.015750708955351862,0.0002480848325962013,0.0006640984165010994,0.004396420026758212,0.008314789577900354,0.9891477667604547,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_constant_3_3_1,test,wsdcon_3.csv,0.01368767175890382,0.01484468606590637,0.00022036470439531475,0.00031549985655647127,0.0038121726813373207,0.008314789577900354,0.9916217033801363,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_constant_3_3_1,test,wsdcon_18.csv,0.016513086922326194,0.01684642048166291,0.00028380188304499154,0.0003934031852248033,0.004630059675244828,0.008314789577900354,0.9884523010464492,0.0005015655809792519,1.2857142857142856,1.2857142857142856,0.42857142857142855
25,cosine_wsdcon_3_1_3,train,cosine_24000.csv,0.015916482692947802,0.01710725169575075,0.00029265806058176693,0.0006979501156099089,0.004593516908194027,0.009155872933319495,0.9885531397070416,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,cosine_wsdcon_3_1_3,train,constant_24000.csv,0.008165983174485103,0.008642609762239404,7.469470350235584e-05,0.00031227467491770817,0.0023287517421488628,0.004720454178199001,0.996600785156171,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,cosine_wsdcon_3_1_3,train,wsdcon_9.csv,0.016263491867143324,0.016989680650335025,0.0002886492486003684,0.0003845989743293178,0.0045594693368047655,0.007653987352424222,0.9890726279709827,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,cosine_wsdcon_3_1_3,test,constant_72000.csv,0.01023306298039926,0.010783373083992182,0.00011628113506856707,0.0013851922014868386,0.0030419867576423312,0.007653987352424222,0.9919817306679094,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,cosine_wsdcon_3_1_3,test,cosine_72000.csv,0.0033443408450018236,0.004758187700450976,2.264035019272295e-05,0.00034360893929374426,0.0009859747698498325,0.004912541663921388,0.9988086396309759,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,cosine_wsdcon_3_1_3,test,wsd_20000_24000.csv,0.010152831247633057,0.011695529448181101,0.00013678540907327135,0.0004014448423041625,0.002866580233156925,0.007653987352424222,0.9941990414172924,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,cosine_wsdcon_3_1_3,test,wsdld_20000_24000.csv,0.010173545730933918,0.01170462259833644,0.0001369981901694881,0.00040229075234846903,0.002871563595640847,0.007653987352424222,0.9940071454689261,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,cosine_wsdcon_3_1_3,test,wsdcon_3.csv,0.01518273847638118,0.016203785477676008,0.00026256266380654395,0.00035468636298338066,0.004243488483641642,0.007653987352424222,0.990017331111581,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,cosine_wsdcon_3_1_3,test,wsdcon_18.csv,0.013591392653575509,0.014890453815218698,0.00022172561482316106,0.0003098470579303012,0.003769434252587866,0.007653987352424222,0.9909781407269137,0.0003377945480907522,1.2857142857142856,0.42857142857142855,1.2857142857142856
25,constant_wsdcon_1_3_3,train,cosine_24000.csv,0.005944589028045036,0.008078704787712563,6.526547104700989e-05,0.00022907059575749385,0.0017280693071288896,0.0088465681482286,0.9974472436277882,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
25,constant_wsdcon_1_3_3,train,constant_24000.csv,0.0018471572626917899,0.003948087477327649,1.5587394728631398e-05,4.06861252784102e-05,0.0005057928264064698,0.007905806958382647,0.9992906471134662,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
25,constant_wsdcon_1_3_3,train,wsdcon_9.csv,0.004031080841509214,0.004721958876311482,2.229689562957679e-05,6.871397297642375e-05,0.0011465764605723362,0.002474177802331142,0.9991559081659904,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
25,constant_wsdcon_1_3_3,test,constant_72000.csv,0.003351948299698261,0.003926130436107713,1.5414500201331342e-05,0.0003311509884510645,0.001010363184793133,0.002252959855354415,0.9989370793967486,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
25,constant_wsdcon_1_3_3,test,cosine_72000.csv,0.004240361152944558,0.004833918917898065,2.33667721048128e-05,0.00044714758863899617,0.0012702063873354964,0.005945206685033785,0.9987704145032774,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
25,constant_wsdcon_1_3_3,test,wsd_20000_24000.csv,0.0019062399412659355,0.0026367496143755945,6.952448528909847e-06,4.4640811266676266e-05,0.0005456108613546073,0.0017454447539271619,0.9997051522802186,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
25,constant_wsdcon_1_3_3,test,wsdld_20000_24000.csv,0.0017157522907357164,0.002406463445563769,5.791066314834646e-06,3.657814395794702e-05,0.0004875523706810146,0.0017454447539271619,0.9997466753541658,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
25,constant_wsdcon_1_3_3,test,wsdcon_3.csv,0.004339385684426573,0.005526750678985017,3.054497306766135e-05,7.761624004039617e-05,0.001233477561155402,0.00459687530095083,0.998838675888188,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
25,constant_wsdcon_1_3_3,test,wsdcon_18.csv,0.002199015362664321,0.0028792385946033857,8.29001488465368e-06,2.649760819726153e-05,0.000607554672351739,0.0023621970205744804,0.9996626851267465,0.00023356501814349994,0.42857142857142855,1.2857142857142856,1.2857142857142856
100,equal_1_1_1,train,cosine_24000.csv,0.0032781434121146656,0.0044155736317449176,1.9497290497361002e-05,0.00011608337109521343,0.0010674375697959516,0.0037060588190652357,0.9993365107705758,0.0002750658257182462,1.0,1.0,1.0
100,equal_1_1_1,train,constant_24000.csv,0.00184880720379753,0.002068139185361947,4.2771996900295765e-06,3.639629642578962e-05,0.0005860594848334892,0.001389651500383759,0.9998136632359573,0.0002750658257182462,1.0,1.0,1.0
100,equal_1_1_1,train,wsdcon_9.csv,0.004934668732721058,0.006341855329394241,4.021912901896613e-05,0.0001284879389456406,0.0015792051677105078,0.005465868549051355,0.9986414768726747,0.0002750658257182462,1.0,1.0,1.0
100,equal_1_1_1,test,constant_72000.csv,0.00477632119245767,0.005665149684685136,3.20939209498881e-05,0.0006248002709612388,0.0015839931370911055,0.006637667010462871,0.9979589862949176,0.0002750658257182462,1.0,1.0,1.0
100,equal_1_1_1,test,cosine_72000.csv,0.007265216429381582,0.008208896198970797,6.738597680547718e-05,0.0010756347559837426,0.0024508002805512666,0.004545422731649239,0.9969867691415752,0.0002750658257182462,1.0,1.0,1.0
100,equal_1_1_1,test,wsd_20000_24000.csv,0.0037481729251781586,0.0059154018505415094,3.499197905338991e-05,0.00014439728463772845,0.0012262371147146785,0.005231081964673597,0.9986681280537646,0.0002750658257182462,1.0,1.0,1.0
100,equal_1_1_1,test,wsdld_20000_24000.csv,0.003248417990260636,0.004923543151914954,2.4241277168768646e-05,0.00011525801265927386,0.0010564415584443836,0.0057161126977959475,0.9990443816188519,0.0002750658257182462,1.0,1.0,1.0
