scheme,overall_avg_test_mae,overall_avg_test_huber
constant_wsdcon_1_3_3,0.0036065579134154277,0.0002474407809800507
equal_1_1_1,0.004314332651729223,0.00030939236630569755
cosine_wsdcon_3_1_3,0.0074320841390525215,0.0005390926686967573
cosine_constant_3_3_1,0.007934387149131207,0.0005444796784455409
