base_mae,corr_mae,delta_pct,method,note,projected,response_axis,response_value,scale,test_curve,test_label,win
0.0031360955249893426,0.0037315796984855537,18.988075100111466,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,25,wsdld_20000_24000.csv,WSD linear,0
0.004487187642230267,0.017133509034256127,281.8317931037147,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,25,wsdcon_3.csv,WSD-con 3e-5,0
0.002926482771138891,0.013412868169804085,358.32725557390654,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,25,wsdcon_9.csv,WSD-con 9e-5,0
0.002504818961791151,0.005146322654169749,105.45687064304663,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,25,wsdcon_18.csv,WSD-con 18e-5,0
0.0037480705220761528,0.004431196952145659,18.226082621601925,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,100,wsd_20000_24000.csv,WSD sharp,0
0.003248313740665229,0.003445179692793123,6.060558426464602,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,100,wsdld_20000_24000.csv,WSD linear,0
0.0056693997340904675,0.025179565390813487,344.1310645182969,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,100,wsdcon_3.csv,WSD-con 3e-5,0
0.004934623402238123,0.019972285176764963,304.7377793350235,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,100,wsdcon_9.csv,WSD-con 9e-5,0
0.0013816404339982303,0.007637619064009559,452.79353991599686,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,100,wsdcon_18.csv,WSD-con 18e-5,0
0.004701998914275349,0.006327128339307973,34.56252233701509,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,400,wsd_20000_24000.csv,WSD sharp,0
0.0038535563963712593,0.004945815311572851,28.34417880143465,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,400,wsdld_20000_24000.csv,WSD linear,0
0.008173606778800102,0.0347684475491693,325.37460499504675,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,400,wsdcon_3.csv,WSD-con 3e-5,0
0.006687305974578527,0.028043068424318023,319.3477692051538,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,400,wsdcon_9.csv,WSD-con 9e-5,0
0.0025579541942073844,0.012029271596500928,370.26923405203337,cosine_source_selected_lambda,lambda chosen by cosine residual fit objective only,0,lr_time,1.0,400,wsdcon_18.csv,WSD-con 18e-5,0
0.003408385839825258,0.0021644918497926956,-36.495104970167766,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,7.227208795627145,25,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0020747696278929774,-33.842269428319526,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,7.222991414077641,25,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0024916514542324044,-44.471868508846704,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,25,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0023533449816484976,-19.58452635165684,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,25,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0021572199256494127,-13.877211944019152,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,25,wsdcon_18.csv,WSD-con 18e-5,1
