base_mae,coef,corr_mae,delta_pct,denominator,group,lambda,locality,locality_factor,response_rule,scale,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,win
0.003408385839825258,0.030435154786451212,0.002899670078576391,-14.925415875890025,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,25,ridge_tau_0p05,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.030435154786451212,0.0027419683648125747,-12.567447548591726,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,25,ridge_tau_0p05,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.030435154786451212,0.001925827099706994,-57.08164549254731,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,25,ridge_tau_0p05,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.030435154786451212,0.0023405053646304817,-20.023265207208652,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,25,ridge_tau_0p05,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.030435154786451212,0.002193292470898778,-12.437086098613914,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,25,ridge_tau_0p05,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_18.csv,WSD-con 18e-5,1
0.004428106847791531,0.030435154786451212,0.004611584124012899,4.143469941626976,0.0029674752979972517,extra_control,20.0,none,1.0,fixed_lambda_20,25,ridge_tau_0p05,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,cosine_24000.csv,Cosine 24k,0
0.003761619732988638,0.030435154786451212,0.003761619732988638,0.0,0.0029674752979972517,extra_control,20.0,none,1.0,fixed_lambda_20,25,ridge_tau_0p05,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_24000.csv,Constant 24k,0
0.0015795124507172926,0.030435154786451212,0.0015795124507172926,0.0,0.0029674752979972517,extra_control,20.0,none,1.0,fixed_lambda_20,25,ridge_tau_0p05,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_72000.csv,Constant 72k,0
0.0037480705220761528,0.04304751774595571,0.003032750134411567,-19.085030109528233,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,100,ridge_tau_0p05,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.04304751774595571,0.002694119798817094,-17.06097335704525,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,100,ridge_tau_0p05,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.04304751774595571,0.003322186323631867,-41.40144495976627,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,100,ridge_tau_0p05,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.04304751774595571,0.004673263869062348,-5.296443352845004,0.0029674752979972517,core_wsd,20.0,none,1.0,fixed_lambda_20,100,ridge_tau_0p05,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_9.csv,WSD-con 9e-5,1
