basis,estimator,max_kappa,mean_delta_pct,mean_kappa,name,test_curve,test_label,tests,train_curve,train_label,wins
mpl_all7,current_smooth_cap,0.028319874737456927,-2.8697578595492677,0.01995376745608221,current_smooth_cap_mpl_all7,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
mpl_all7,current_smooth_cap,0.028319874737456927,-15.431790755534943,0.01995376745608221,current_smooth_cap_mpl_all7,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
mpl_all7,current_smooth_cap,0.028319874737456927,-12.866815053331782,0.01995376745608221,current_smooth_cap_mpl_all7,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
mpl_all7,current_smooth_cap,0.028319874737456927,-31.55165444984983,0.01995376745608221,current_smooth_cap_mpl_all7,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
mpl_all7,current_smooth_cap,0.028319874737456927,-12.861309500056626,0.01995376745608221,current_smooth_cap_mpl_all7,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
mpl_all7,current_smooth_cap,0.028319874737456927,-10.564340946766636,0.01995376745608221,current_smooth_cap_mpl_all7,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
mpl_all7,current_smooth_cap,0.03,-3.5780795157712895,0.024382289002072437,current_smooth_cap_mpl_all7,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
mpl_all7,current_smooth_cap,0.03,-19.650312798839803,0.024382289002072437,current_smooth_cap_mpl_all7,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
mpl_all7,current_smooth_cap,0.03,-16.154390630513195,0.024382289002072437,current_smooth_cap_mpl_all7,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
mpl_all7,current_smooth_cap,0.03,-18.174621577964146,0.024382289002072437,current_smooth_cap_mpl_all7,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,2
mpl_all7,current_smooth_cap,0.03,-3.701364404385307,0.024382289002072437,current_smooth_cap_mpl_all7,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,2
