scale,linear_final_loss,optimized_final_loss,improvement_pct
25,3.212807242605833,3.157282972409431,1.7282166654781128
100,2.858757547781623,2.797191564869514,2.1535923170498914
400,2.60262708346353,2.5389739954557635,2.4457244916954437
