base_mae,corr_mae,delta_pct,estimator,kappa,scale,test_curve,test_label,train_curve,train_label,win
0.004701998914275349,0.0032485708821679967,-30.910854268696653,fixed_lam0p025,0.0468009749861305,400,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.002803174531210149,-27.25746705433487,fixed_lam0p025,0.0468009749861305,400,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1
0.008173606778800102,0.0057201986159147915,-30.016224529527403,fixed_lam0p025,0.0468009749861305,400,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,1
0.006687305974578527,0.006568102824520326,-1.7825287269843226,fixed_lam0p025,0.0468009749861305,400,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,1
0.0025579541942073844,0.0025077255720760442,-1.9636247687736308,fixed_lam0p025,0.0468009749861305,400,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1
0.00744534704076948,0.0072355324192104895,-2.818063690115191,fixed_lam0p025,0.018467299542585414,25,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
0.003408385839825258,0.00283299744222167,-16.88155111080637,fixed_lam0p025,0.018467299542585414,25,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.0031360955249893426,0.0027220478146539836,-13.2026498247934,fixed_lam0p025,0.018467299542585414,25,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0027888063904543885,-37.84957053705319,fixed_lam0p025,0.018467299542585414,25,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
0.002926482771138891,0.002229248025696464,-23.825007695879442,fixed_lam0p025,0.018467299542585414,25,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,1
