estimator,kappa,scale,selected_bic,selected_edf,selected_gcv,selected_lambda,selected_retention,train_curve,train_label
fixed_lam0p025,0.013726751746260557,25,-6889.8569268356105,3.2864511803832452,5.906181918725236e-09,0.025,0.019394896004634704,cosine_72000.csv,Cosine
fixed_lam0p025,0.024663936315154514,100,-7227.718162689886,3.2864511803832452,3.1810334012402216e-09,0.025,0.019394896004634704,cosine_72000.csv,Cosine
fixed_lam0p025,0.04354280271463634,400,-6499.321254533153,3.2864511803832452,1.2076560006682299e-08,0.025,0.01949860601860202,cosine_72000.csv,Cosine
fixed_lam0p025,0.01592261990143338,25,-2107.7759943600963,3.2864511803832452,2.2840658944875416e-08,0.025,0.1936302895134663,wsd_20000_24000.csv,WSD sharp
fixed_lam0p025,0.02651047811615648,100,-2054.979553328232,3.2864511803832452,3.3253914595963316e-08,0.025,0.1956007063206907,wsd_20000_24000.csv,WSD sharp
fixed_lam0p025,0.0468009749861305,400,-1859.9392539463856,3.2864511803832452,1.0403829353884651e-07,0.025,0.1934498952473633,wsd_20000_24000.csv,WSD sharp
fixed_lam0p025,0.018467299542585414,25,-2125.91455337295,3.2864511803832452,2.0529129502500734e-08,0.025,0.2436740542249105,wsdld_20000_24000.csv,WSD linear
fixed_lam0p025,0.030249615848197745,100,-2093.98449699978,3.2864511803832452,2.64716250522827e-08,0.025,0.2460170141173665,wsdld_20000_24000.csv,WSD linear
fixed_lam0p025,0.05248056730681305,400,-1897.9846400536514,3.2864511803832452,8.328524481585169e-08,0.025,0.24470286758072735,wsdld_20000_24000.csv,WSD linear
fixed_lam0p025,0.010178591150180298,25,-1033.3016509907952,3.2864511803832452,1.8225470233167604e-07,0.025,0.24303548473632608,wsdcon_3.csv,WSD-con 3e-5
fixed_lam0p025,0.014993631424790942,100,-1122.991752442207,3.2864511803832452,2.8401369670620226e-07,0.025,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5
fixed_lam0p025,0.023005007876755135,400,-1021.1094489212281,3.2864511803832452,7.232265332928855e-07,0.025,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5
fixed_lam0p025,0.011017661224393852,25,-1128.1207938072394,3.2864511803832452,6.717552245067756e-08,0.025,0.520084044338764,wsdcon_9.csv,WSD-con 9e-5
fixed_lam0p025,0.015720388330850307,100,-1267.0235169759526,3.2864511803832452,7.576452155136348e-08,0.025,0.5584955389588916,wsdcon_9.csv,WSD-con 9e-5
fixed_lam0p025,0.026951923056547412,400,-1133.0812134341804,3.2864511803832452,2.5890432774846637e-07,0.025,0.5584955389588916,wsdcon_9.csv,WSD-con 9e-5
fixed_lam0p025,0.01790164421964156,25,-1162.7912131233174,3.2864511803832452,4.66352712987372e-08,0.025,0.7093385120550632,wsdcon_18.csv,WSD-con 18e-5
fixed_lam0p025,0.015022231810624733,100,-1395.0871428868716,3.2864511803832452,2.3399963887802313e-08,0.025,0.7413329414952441,wsdcon_18.csv,WSD-con 18e-5
fixed_lam0p025,0.025465139640745725,400,-1256.378206936619,3.2864511803832452,8.35373238767484e-08,0.025,0.7413329414952441,wsdcon_18.csv,WSD-con 18e-5
residual_gcv,0.0,25,-6996.442315404617,12.462728714189002,4.522068592579079e-09,1e-05,0.0006044032258447541,cosine_72000.csv,Cosine
residual_gcv,0.0002731173334316882,100,-7983.174189418295,11.673071361800693,7.46713002211882e-10,3e-05,0.0006975185840362473,cosine_72000.csv,Cosine
residual_gcv,0.0004589584721192618,400,-7003.369425771077,12.824834877290694,4.452476605905006e-09,3e-06,0.0005898087609119701,cosine_72000.csv,Cosine
residual_gcv,0.0019176840804657213,25,-2221.180244128219,12.462728714189,9.948957128428991e-09,1e-05,0.018329700246602743,wsd_20000_24000.csv,WSD sharp
