kappa,pooled_dot,pooled_full_l2,pooled_orth_l2,pooled_retention,raw_map,rule,scale,selected_lambda,tau,train_id,train_label,train_size
0.020555000039450946,0.0002758509265382592,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.14759571673065824,fixed_lam0p025,25,0.025,0.005,cosine_72000.csv,Cosine,1
0.036932787982351674,0.000495643092435865,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.2651968524764957,fixed_lam0p025,100,0.025,0.005,cosine_72000.csv,Cosine,1
0.06508729347827592,0.0008758239058169529,0.09508274050125376,0.0018539808962029205,0.01949860601860202,0.46611645045824257,fixed_lam0p025,400,0.025,0.005,cosine_72000.csv,Cosine,1
0.020555000039450946,0.0002758509265382592,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.14759571673065824,inner_cv_mean,25,0.025,0.005,cosine_72000.csv,Cosine,1
0.036932787982351674,0.000495643092435865,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.2651968524764957,inner_cv_mean,100,0.025,0.005,cosine_72000.csv,Cosine,1
0.06508729347827592,0.0008758239058169529,0.09508274050125376,0.0018539808962029205,0.01949860601860202,0.46611645045824257,inner_cv_mean,400,0.025,0.005,cosine_72000.csv,Cosine,1
0.020555000039450946,0.0002758509265382592,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.14759571673065824,inner_cv_worst,25,0.025,0.005,cosine_72000.csv,Cosine,1
0.036932787982351674,0.000495643092435865,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.2651968524764957,inner_cv_worst,100,0.025,0.005,cosine_72000.csv,Cosine,1
0.06508729347827592,0.0008758239058169529,0.09508274050125376,0.0018539808962029205,0.01949860601860202,0.46611645045824257,inner_cv_worst,400,0.025,0.005,cosine_72000.csv,Cosine,1
0.020555000039450946,0.0002758509265382592,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.14759571673065824,inner_cv_safe,25,0.025,0.005,cosine_72000.csv,Cosine,1
0.036932787982351674,0.000495643092435865,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.2651968524764957,inner_cv_safe,100,0.025,0.005,cosine_72000.csv,Cosine,1
0.06508729347827592,0.0008758239058169529,0.09508274050125376,0.0018539808962029205,0.01949860601860202,0.46611645045824257,inner_cv_safe,400,0.025,0.005,cosine_72000.csv,Cosine,1
0.020555000039450946,0.0002758509265382592,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.14759571673065824,inner_cv_band_mean,25,0.025,0.005,cosine_72000.csv,Cosine,1
0.036932787982351674,0.000495643092435865,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.2651968524764957,inner_cv_band_mean,100,0.025,0.005,cosine_72000.csv,Cosine,1
0.06508729347827592,0.0008758239058169529,0.09508274050125376,0.0018539808962029205,0.01949860601860202,0.46611645045824257,inner_cv_band_mean,400,0.025,0.005,cosine_72000.csv,Cosine,1
0.020555000039450946,0.0002758509265382592,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.14759571673065824,inner_cv_band_worst,25,0.025,0.005,cosine_72000.csv,Cosine,1
0.036932787982351674,0.000495643092435865,0.09507465016576863,0.001843962952642108,0.0193948960046347,0.2651968524764957,inner_cv_band_worst,100,0.025,0.005,cosine_72000.csv,Cosine,1
0.06508729347827592,0.0008758239058169529,0.09508274050125376,0.0018539808962029205,0.01949860601860202,0.46611645045824257,inner_cv_band_worst,400,0.025,0.005,cosine_72000.csv,Cosine,1
0.016364874874118,0.006808474100701292,0.9438286145394619,0.18275380788436982,0.19363028951346634,0.03718998829191451,fixed_lam0p025,25,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,0.01139005230496033,0.9438286145394619,0.18461354364959764,0.19560070632069068,0.061590321167960954,fixed_lam0p025,100,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,0.020190793822043373,0.9529421754440708,0.18434656401645,0.1934498952473633,0.10933710507379946,fixed_lam0p025,400,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,0.006808474100701292,0.9438286145394619,0.18275380788436982,0.19363028951346634,0.03718998829191451,inner_cv_mean,25,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,0.01139005230496033,0.9438286145394619,0.18461354364959764,0.19560070632069068,0.061590321167960954,inner_cv_mean,100,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,0.020190793822043373,0.9529421754440708,0.18434656401645,0.1934498952473633,0.10933710507379946,inner_cv_mean,400,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,0.006808474100701292,0.9438286145394619,0.18275380788436982,0.19363028951346634,0.03718998829191451,inner_cv_worst,25,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,0.01139005230496033,0.9438286145394619,0.18461354364959764,0.19560070632069068,0.061590321167960954,inner_cv_worst,100,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,0.020190793822043373,0.9529421754440708,0.18434656401645,0.1934498952473633,0.10933710507379946,inner_cv_worst,400,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,0.006808474100701292,0.9438286145394619,0.18275380788436982,0.19363028951346634,0.03718998829191451,inner_cv_safe,25,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,0.01139005230496033,0.9438286145394619,0.18461354364959764,0.19560070632069068,0.061590321167960954,inner_cv_safe,100,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,0.020190793822043373,0.9529421754440708,0.18434656401645,0.1934498952473633,0.10933710507379946,inner_cv_safe,400,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,0.006808474100701292,0.9438286145394619,0.18275380788436982,0.19363028951346634,0.03718998829191451,inner_cv_band_mean,25,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,0.01139005230496033,0.9438286145394619,0.18461354364959764,0.19560070632069068,0.061590321167960954,inner_cv_band_mean,100,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,0.020190793822043373,0.9529421754440708,0.18434656401645,0.1934498952473633,0.10933710507379946,inner_cv_band_mean,400,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,0.006808474100701292,0.9438286145394619,0.18275380788436982,0.19363028951346634,0.03718998829191451,inner_cv_band_worst,25,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,0.01139005230496033,0.9438286145394619,0.18461354364959764,0.19560070632069068,0.061590321167960954,inner_cv_band_worst,100,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,0.020190793822043373,0.9529421754440708,0.18434656401645,0.1934498952473633,0.10933710507379946,inner_cv_band_worst,400,0.025,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.019173131941940112,0.005426859001907615,0.5721837247862505,0.13942632798017612,0.24367405422491062,0.038840822351503476,fixed_lam0p025,25,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,0.008928577152861761,0.5721837247862505,0.14076693149846634,0.2460170141173665,0.0632958138110142,fixed_lam0p025,100,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,0.015890981960371364,0.5890891345460179,0.14415180048405948,0.24470286758072735,0.11001332898102939,fixed_lam0p025,400,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,0.005426859001907615,0.5721837247862505,0.13942632798017612,0.24367405422491062,0.038840822351503476,inner_cv_mean,25,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,0.008928577152861761,0.5721837247862505,0.14076693149846634,0.2460170141173665,0.0632958138110142,inner_cv_mean,100,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,0.015890981960371364,0.5890891345460179,0.14415180048405948,0.24470286758072735,0.11001332898102939,inner_cv_mean,400,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,0.005426859001907615,0.5721837247862505,0.13942632798017612,0.24367405422491062,0.038840822351503476,inner_cv_worst,25,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,0.008928577152861761,0.5721837247862505,0.14076693149846634,0.2460170141173665,0.0632958138110142,inner_cv_worst,100,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,0.015890981960371364,0.5890891345460179,0.14415180048405948,0.24470286758072735,0.11001332898102939,inner_cv_worst,400,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,0.005426859001907615,0.5721837247862505,0.13942632798017612,0.24367405422491062,0.038840822351503476,inner_cv_safe,25,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,0.008928577152861761,0.5721837247862505,0.14076693149846634,0.2460170141173665,0.0632958138110142,inner_cv_safe,100,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,0.015890981960371364,0.5890891345460179,0.14415180048405948,0.24470286758072735,0.11001332898102939,inner_cv_safe,400,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,0.005426859001907615,0.5721837247862505,0.13942632798017612,0.24367405422491062,0.038840822351503476,inner_cv_band_mean,25,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,0.008928577152861761,0.5721837247862505,0.14076693149846634,0.2460170141173665,0.0632958138110142,inner_cv_band_mean,100,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,0.015890981960371364,0.5890891345460179,0.14415180048405948,0.24470286758072735,0.11001332898102939,inner_cv_band_mean,400,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,0.005426859001907615,0.5721837247862505,0.13942632798017612,0.24367405422491062,0.038840822351503476,inner_cv_band_worst,25,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,0.008928577152861761,0.5721837247862505,0.14076693149846634,0.2460170141173665,0.0632958138110142,inner_cv_band_worst,100,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,0.015890981960371364,0.5890891345460179,0.14415180048405948,0.24470286758072735,0.11001332898102939,inner_cv_band_worst,400,0.025,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.010088403713638058,0.05371491124138878,10.70275226864739,2.601148585623532,0.24303548473632608,0.020463862513299305,fixed_lam0p025,25,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.014871759299673623,0.08328643248081531,10.870281704891909,2.8376127049131643,0.2610431617090627,0.029107585866082804,fixed_lam0p025,100,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.022818017205926373,0.12778792415025006,10.870281704891909,2.8376127049131643,0.2610431617090627,0.04466031097812569,fixed_lam0p025,400,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.010088403713638058,0.05371491124138878,10.70275226864739,2.601148585623532,0.24303548473632608,0.020463862513299305,inner_cv_mean,25,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.014871759299673623,0.08328643248081531,10.870281704891909,2.8376127049131643,0.2610431617090627,0.029107585866082804,inner_cv_mean,100,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.022818017205926373,0.12778792415025006,10.870281704891909,2.8376127049131643,0.2610431617090627,0.04466031097812569,inner_cv_mean,400,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.010088403713638058,0.05371491124138878,10.70275226864739,2.601148585623532,0.24303548473632608,0.020463862513299305,inner_cv_worst,25,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.014871759299673623,0.08328643248081531,10.870281704891909,2.8376127049131643,0.2610431617090627,0.029107585866082804,inner_cv_worst,100,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.022818017205926373,0.12778792415025006,10.870281704891909,2.8376127049131643,0.2610431617090627,0.04466031097812569,inner_cv_worst,400,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.010088403713638058,0.05371491124138878,10.70275226864739,2.601148585623532,0.24303548473632608,0.020463862513299305,inner_cv_safe,25,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.014871759299673623,0.08328643248081531,10.870281704891909,2.8376127049131643,0.2610431617090627,0.029107585866082804,inner_cv_safe,100,0.025,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
