heldout_tests,inner_mean,inner_worst,max_kappa,mean_heldout,mean_kappa,mean_retention,median_heldout,rule,selected_lambda,train_id,train_label,train_size,wins,worst_heldout
9,-13.773406822300409,-1.5497430250400068,0.02348133261929363,-10.501189090571318,0.016164594625056334,0.3054194603885571,-10.194912682851209,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,9,-6.258402947172015
6,-12.886068990786887,-1.6051644903913975,0.023544519144056978,-11.490342179833462,0.01630218373073043,0.318846482407992,-11.227867645097138,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-7.5183473673636865
12,-0.39724626631534726,13.213719605467444,0.025709856545992327,-15.36314689072038,0.017045147025599398,0.5254851036696119,-12.021918911519913,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,12,-6.581999423979779
9,-8.11877762612686,-1.8509046680291186,0.026442504751352687,-18.387208681801344,0.017979720068070387,0.5560448297987798,-15.400442027280159,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3,9,-8.615892150229499
12,-15.43213740293776,-2.925771947694422,0.052943003421064096,-14.895667728961476,0.033988808824959534,0.21294976341078495,-16.042358164086718,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2,9,3.9180206365500236
9,-7.043871369805617,1.899397132151659,0.03636631474883918,-21.346510141566036,0.02494755121169888,0.4157443224212602,-21.796442287812123,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 18e-5,3,9,-4.138942922708777
9,-11.84253666473875,-1.6225306971023645,0.024605777502184137,-10.896226590959298,0.01701377731677857,0.2525755389077342,-9.720892486083255,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD linear + WSD-con 3e-5,3,9,-5.583438102086591
6,-13.610674740397712,-1.6777321825938163,0.02447346634939934,-11.996619097932184,0.017034502776517028,0.2699543852613106,-11.485928256433475,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.60502004219482
6,-13.624696332123484,-1.6131785717722669,0.024791103822200098,-10.953703046671274,0.016972450033668356,0.3028931408153683,-10.643892232775187,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,6,-6.474061191026282
3,-12.786456755212104,-1.6596953252609903,0.02473278475518123,-13.053482145873152,0.017027226300707216,0.3158541715523593,-12.789825054166016,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-9.93915983907474
9,-6.504327217128246,3.9180206365500236,0.03041395977353231,-18.548080659400085,0.020018152440111018,0.4723623143909312,-14.579508229962112,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 9e-5,3,9,-7.024187277707616
6,-9.007020789886983,-1.9733846170081226,0.029606623297517055,-23.197579244831747,0.01989260421960373,0.5044595841646652,-20.621981133036705,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,6,-11.756611283951756
15,0.0,0.0,0.04808967259435133,-13.467423665832174,0.03056465210273129,0.1942269636938401,-11.699583465969532,fixed_lam0p025,0.025,wsd_20000_24000.csv,WSD sharp,1,14,0.13503777298313757
12,-11.175902677740169,-1.3588748191597166,0.035471153088797835,-15.984345321642643,0.02402994615305477,0.3626470281745658,-12.797130610000305,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2,12,-2.4802296278191194
12,-20.00281618862062,-9.222133562381362,0.024739053192604242,-8.265309995668057,0.017064498565299718,0.25014729957295884,-7.692986327264628,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2,12,-1.6207442568089259
9,-18.01410038589145,-6.467946103867961,0.024594885471948075,-8.115326255804604,0.017077807953487973,0.2672219557065563,-7.773551595061868,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,3,9,-1.6742810119722673
9,-17.977568214269645,-5.579252427794001,0.024876201683396576,-7.422410592326933,0.017002476775718357,0.29989907513100517,-7.54614298375238,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,3,9,-1.6107002628361178
6,-15.844669745669144,-5.601158219941138,0.02481646117845063,-6.703777913108198,0.017056377805639376,0.31270547915689584,-5.528129434516337,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-1.6565557856815238
12,-10.803122879043586,0.13503777298313757,0.030307488273159478,-13.945491853018085,0.019887146035375114,0.4456859819268694,-10.587958767553918,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2,12,-1.8045957813941804
9,-11.851873225396243,-4.415689647958643,0.02952353776865786,-15.518014178475577,0.019766378649454793,0.47851869327206215,-11.745407980057887,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,3,9,-1.9316786969468924
12,-22.959203999469207,-11.699583465969532,0.05065494209586859,-10.897150090847257,0.03235126009034712,0.21339231846564244,-5.622671294184012,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2,9,2.027634651761878
9,-13.7124777262687,0.3042664856114152,0.04024344651136509,-15.732173111766997,0.026764836740292147,0.3278677691730137,-5.937464120852054,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 18e-5,3,9,-2.587418698495081
9,-16.478776090482064,-7.593199171917875,0.02613683464792122,-7.540181358445894,0.017906778434962505,0.24989657479742777,-6.632162281338916,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD linear + WSD-con 3e-5,3,9,-1.68364466375851
6,-16.2835538412432,-6.632162281338916,0.02590516618189073,-6.850570611823934,0.017862306194012054,0.2662072225458345,-4.472747155581075,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,6,-1.7304428495343749
6,-16.634214244221997,-5.4850738354239255,0.025968888210903547,-5.7873114835414095,0.017668242137748858,0.2977356362826357,-5.026766234175706,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,6,-1.6610890031699799
3,-15.196553407983592,-5.5124560634501325,0.02584408075769752,-2.544780844761078,0.017678112160342256,0.31011553873636805,-2.507103888861717,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-1.7019296481831536
9,-11.782044071610263,2.027634651761878,0.03294727884493179,-14.757896200106952,0.021531101860447103,0.41595842982773235,-10.31900508307151,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 9e-5,3,9,-1.927713721772084
6,-12.208397818710644,-3.053583992892417,0.031864397599026956,-17.427246824148117,0.021184562164841197,0.447387462499667,-13.050579781711424,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,6,-2.023431321341751
15,0.0,0.0,0.02528343848519805,-14.782913195304515,0.01932223272400048,0.7306681316818505,-12.702860611521372,fixed_lam0p025,0.025,wsdcon_18.csv,WSD-con 18e-5,1,15,-2.3316778255444315
15,0.0,0.0,0.022818017205926373,-8.76062386983777,0.01592606007307935,0.2550406027181505,-8.24071987699817,fixed_lam0p025,0.025,wsdcon_3.csv,WSD-con 3e-5,1,15,-1.5394651573755525
12,-19.67584949943521,-6.132708011511411,0.022886287476386828,-8.910575932313243,0.016082508680596547,0.27336427260697027,-8.587789438884169,fixed_lam0p025,0.025,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2,12,-1.6088801991371415
12,-19.522752091806577,-5.622300383629019,0.023453710020114343,-8.454265106980653,0.016152378719191948,0.30747973942778406,-8.789719983371846,fixed_lam0p025,0.025,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2,12,-1.5497430250400068
9,-16.41676019280782,-5.623116718801313,0.02351983527441171,-8.43974476318093,0.016292022765286792,0.3209349300592527,-9.61570403140386,fixed_lam0p025,0.025,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,9,-1.6051644903913975
15,0.0,0.0,0.025764467500442024,-12.812556357957229,0.01709677684530956,0.545691707418849,-10.31184836784178,fixed_lam0p025,0.025,wsdcon_9.csv,WSD-con 9e-5,1,15,-1.601981966700039
12,-10.853127732644998,-5.621643778729313,0.026496855114218922,-14.475250863850633,0.018036770230666962,0.5741725752056426,-11.942128860911367,fixed_lam0p025,0.025,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2,12,-1.8509046680291186
15,0.0,0.0,0.05442078924432002,-12.33746204448098,0.03499623651449894,0.2447979786410015,-9.645935980157727,fixed_lam0p025,0.025,wsdld_20000_24000.csv,WSD linear,1,12,5.001948118398092
12,-8.666099864671244,2.9296411338049833,0.03682684988847182,-16.92669200539833,0.02534163420362585,0.45300997969843587,-16.9805493812888,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2,12,-2.7261344550440825
12,-15.612954391644555,-7.212405972793667,0.024565575185161583,-8.780828397698224,0.016995142478266275,0.25452094203593933,-8.227505681105152,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2,12,-1.6225306971023645
9,-17.293822958633605,-6.447565310325953,0.024438300845992467,-8.812797028533021,0.01701925358182228,0.2719682344894125,-7.752674161067475,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,9,-1.6777321825938163
9,-17.366160673493635,-5.585334785173268,0.024768258648994807,-8.115000601661492,0.01696298187943267,0.30484956246585676,-8.635306007325472,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,9,-1.6131785717722669
6,-15.380826181680066,-5.606635920070746,0.024712401868186525,-7.750848199155816,0.017019490620737227,0.3178376643523059,-6.6122427224155675,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-1.6596953252609903
12,-7.754747511611789,5.001948118398092,0.030498101514119757,-14.66034322234443,0.02008567428149635,0.48691559638226795,-11.266376956458164,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2,12,-1.8406205799021413
9,-11.01713498936865,-4.0206975518192305,0.029678700868954785,-16.452484463378052,0.019956227576750852,0.5180534180099013,-14.262438913801834,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,9,-1.9733846170081226
15,0.0,0.0,0.06508729347827592,-12.512793488972259,0.04085836050002618,0.019429466009290474,-16.79036666304492,inner_cv_band_mean,0.025,cosine_72000.csv,Cosine,1,9,13.213719605467444
12,-19.354931396192235,-2.586096414214223,0.04984517945783994,-15.195752153838916,0.03165122979713736,0.1925865834436997,-14.564870282318253,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2,10,1.3211854339588491
9,-8.60385656570576,-2.2439622734230835,0.03080321647739509,-19.269504063393363,0.020928822021191784,0.3066638558109452,-17.940174505957717,inner_cv_band_mean,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3,9,-5.349385796355155
9,-14.961806355928596,-1.4669411015579392,0.022860816054129342,-9.569450894865774,0.01568494982015077,0.21901633525004874,-7.84317814666694,inner_cv_band_mean,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3,9,-5.626539554838638
6,-14.251764590469056,-1.7310611055114888,0.025376769888076654,-11.222530314919497,0.01762939369932566,0.2767480319351892,-9.602017259259053,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.535948953354497
6,-14.364312691125498,-1.6679853945691936,0.02562079047714301,-10.142147949161583,0.017534812236266874,0.309805481020695,-9.972227513632648,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4,6,-6.571535635586201
3,-13.396245878631078,-1.713376955071566,0.02554570987114448,-11.285729719960516,0.01757807710080637,0.32252546235538276,-10.95095441665218,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-8.028097153175551
9,-8.450866219418344,-1.6254705724064067,0.027649394346331315,-16.635396601877638,0.018042993610591366,0.3979637746189664,-11.6063294570665,inner_cv_band_mean,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3,9,-6.809863001951733
6,-9.66353378389117,-1.9963496940939351,0.030407407937964672,-22.242947757610796,0.020359604796115417,0.4802864585471465,-19.712256954731984,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,4,6,-9.321071164155125
9,-17.21203449241993,-2.7581183990788793,0.05242463859527074,-11.855915675390596,0.03343601617286316,0.2177752294760813,-12.54875358081894,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3,6,3.290192828930505
6,-11.334868519306879,1.538017124279345,0.04189007019973197,-21.124322177853486,0.027765331013506613,0.3280909873297433,-22.681442971446863,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,6,-2.5097381101356175
6,-13.70085143457269,-1.520599991421645,0.023990133594797736,-9.530262326534269,0.01636943601623479,0.21794097843911767,-7.911303446095186,inner_cv_band_mean,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,6,-5.617841465934559
3,-13.609494328811577,-1.7894500736564067,0.026763912869102766,-11.333450192500797,0.018457497892827416,0.27613921895688526,-8.030247027108405,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,5,3,-5.441851774902007
3,-14.07859741641796,-1.720331259065777,0.026781184794631176,-9.160873639729276,0.018239150889654682,0.3079871410994124,-9.210495729602474,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,5,3,-6.707862754859429
6,-9.645419367886221,1.713542404906776,0.0328759685240166,-20.581439606577796,0.02147605478775985,0.40653554323680946,-16.69598343898476,inner_cv_band_mean,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,6,-6.853439406085515
3,-10.457903847149721,-2.0933375044599134,0.03292896659090248,-32.09252621360663,0.021884038585000366,0.45199028285108955,-36.609566752809016,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,5,3,-21.959806440171768
12,-5.050332030697422,-2.1755566358264478,0.022707554475117322,-16.453265633043916,0.01690433150323976,0.5592249850049504,-13.397455189922336,inner_cv_band_mean,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2,12,-5.596793961519364
12,-15.144837025221326,-1.2999485506912767,0.020299973392106804,-9.249383999824403,0.01397568484750016,0.2044974214662002,-8.388902601718856,inner_cv_band_mean,0.01,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2,12,-5.593768314794123
9,-13.998643437311797,-1.662030492712674,0.023540019284475352,-11.405383277762612,0.016560483216164906,0.28232720902268776,-10.459942734132866,inner_cv_band_mean,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3,9,-5.61665978310354
9,-14.026397061402964,-1.6039350859009982,0.024089244031707525,-10.761426799191995,0.01662185756675827,0.3169223567362498,-10.471997928859134,inner_cv_band_mean,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,9,-6.373599103224814
6,-13.081839906830233,-1.6589749680396504,0.024142342637102188,-11.811041698708777,0.016752070952852787,0.3302953103642472,-11.526227300338626,inner_cv_band_mean,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-7.773818190168569
12,-5.262052775899459,-1.3735432427215089,0.02330771109383796,-13.997245940496873,0.015204601428006581,0.46361407764300494,-11.333964258823194,inner_cv_band_mean,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,12,-6.225502541072803
