inner_max_kappa,inner_mean,inner_mean_retention,inner_median,inner_worst,rule,selected_lambda,train_id,train_label,train_size
0.0,0.0,0.0,0.0,0.0,inner_cv_mean,0.025,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_worst,0.025,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_safe,0.025,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_band_mean,0.025,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_band_worst,0.025,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0,0.0,0.0,0.0,fixed_lam0p025,0.025,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_mean,0.025,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_worst,0.025,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_safe,0.025,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_band_mean,0.025,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_band_worst,0.025,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0,0.0,0.0,0.0,fixed_lam0p025,0.025,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_mean,0.025,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_worst,0.025,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_safe,0.025,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_band_mean,0.025,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0,0.0,0.0,0.0,inner_cv_band_worst,0.025,wsdcon_18.csv,WSD-con 18e-5,1
0.06508729347827592,-17.47462750993876,0.1068282148515653,-12.463211317207879,-2.4972389476697776,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.113040719700945,-27.44657926445222,0.15805279921086024,-22.43253057012904,-2.8787542909224917,inner_cv_mean,0.07,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.13381045999931596,-24.99643299586731,0.17762377768881318,-23.36877535659648,-2.953518960682966,inner_cv_worst,0.1,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.05815871177038947,-15.370918017078665,0.09721990057398912,-10.67282399312014,-2.3775171417988794,inner_cv_safe,0.02,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.07165474902877554,-19.354931396192235,0.11511030685678654,-14.103696119895183,-2.586096414214223,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.07165474902877554,-19.354931396192235,0.11511030685678654,-14.103696119895183,-2.586096414214223,inner_cv_band_worst,0.03,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.06508729347827592,-15.43213740293776,0.13211372232514598,-10.778189299852187,-2.925771947694422,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.113040719700945,-24.64232639724469,0.18897526806592133,-19.37342872368494,-3.277588050765279,inner_cv_mean,0.07,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.13381045999931596,-23.37398164871229,0.2093866228953174,-20.95117337890967,-3.3264003645344764,inner_cv_worst,0.1,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.05815871177038947,-13.62544883190086,0.12061669317687239,-9.345972844830191,-2.801803509839551,inner_cv_safe,0.02,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.07165474902877554,-17.079846159085687,0.14176736588643088,-12.08564026820228,-3.015264679063556,inner_cv_band_mean,0.03,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.07165474902877554,-17.079846159085687,0.14176736588643088,-12.08564026820228,-3.015264679063556,inner_cv_band_worst,0.03,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.06508729347827592,-4.807812899099678,0.1372350343637205,-1.9321881430060417,8.495470524451854,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.04270361728227674,-15.144837025221326,0.11049304756617272,-12.323129991069893,-1.2999485506912767,inner_cv_mean,0.01,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.05815871177038947,-10.334273485377869,0.13019181131626228,-5.396623916702148,-1.4762268935322176,inner_cv_worst,0.02,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.05815871177038947,-10.334273485377869,0.13019181131626228,-5.396623916702148,-1.4762268935322176,inner_cv_safe,0.02,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.04270361728227674,-15.144837025221326,0.11049304756617272,-12.323129991069893,-1.2999485506912767,inner_cv_band_mean,0.01,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.05815871177038947,-10.334273485377869,0.13019181131626228,-5.396623916702148,-1.4762268935322176,inner_cv_band_worst,0.02,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.06508729347827592,-0.39724626631534726,0.2825605867140697,-1.9756415584052445,13.213719605467444,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.04270361728227674,-5.262052775899459,0.24817791064940123,-3.81952053534782,-1.3735432427215089,inner_cv_mean,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.04270361728227674,-5.262052775899459,0.24817791064940123,-3.81952053534782,-1.3735432427215089,inner_cv_worst,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.04270361728227674,-5.262052775899459,0.24817791064940123,-3.81952053534782,-1.3735432427215089,inner_cv_safe,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.04270361728227674,-5.262052775899459,0.24817791064940123,-3.81952053534782,-1.3735432427215089,inner_cv_band_mean,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.04270361728227674,-5.262052775899459,0.24817791064940123,-3.81952053534782,-1.3735432427215089,inner_cv_band_worst,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.06508729347827592,-1.5460306409828206,0.37504879884557046,-2.5215315473938404,10.365835088779086,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.04270361728227674,-5.050332030697422,0.3467453576350316,-3.523036620983194,-2.1755566358264478,inner_cv_mean,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.04270361728227674,-5.050332030697422,0.3467453576350316,-3.523036620983194,-2.1755566358264478,inner_cv_worst,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.04270361728227674,-5.050332030697422,0.3467453576350316,-3.523036620983194,-2.1755566358264478,inner_cv_safe,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.04270361728227674,-5.050332030697422,0.3467453576350316,-3.523036620983194,-2.1755566358264478,inner_cv_band_mean,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.04270361728227674,-5.050332030697422,0.3467453576350316,-3.523036620983194,-2.1755566358264478,inner_cv_band_worst,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.05442078924432002,-22.959203999469207,0.2195124711674208,-22.318348717112002,-11.699583465969532,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2
0.06966460771546613,-29.033371219482262,0.3596830399816027,-29.07378767162979,-13.837258797792762,inner_cv_mean,0.1,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2
0.06966460771546613,-29.033371219482262,0.3596830399816027,-29.07378767162979,-13.837258797792762,inner_cv_worst,0.1,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2
0.05996627962359733,-25.291193773561094,0.26454958090331804,-24.77216830413733,-12.684897408510443,inner_cv_safe,0.04,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2
0.056609253771407735,-23.890020828737565,0.23654021204222128,-23.286422525687676,-12.115881372656167,inner_cv_band_mean,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2
0.056609253771407735,-23.890020828737565,0.23654021204222128,-23.286422525687676,-12.115881372656167,inner_cv_band_worst,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2
0.04808967259435133,-20.00281618862062,0.22463378320599528,-16.054046477561524,-9.222133562381362,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2
0.037198575984644,-21.256597220284128,0.16702294302105183,-17.678332910645395,-7.787314380753319,inner_cv_mean,0.01,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2
0.053655550649487266,-17.82487978732515,0.26065299858966984,-14.74635581970492,-10.068988146906644,inner_cv_worst,0.04,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2
0.053655550649487266,-17.82487978732515,0.26065299858966984,-14.74635581970492,-10.068988146906644,inner_cv_safe,0.04,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2
0.037198575984644,-21.256597220284128,0.16702294302105183,-17.678332910645395,-7.787314380753319,inner_cv_band_mean,0.01,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2
0.05026680038311708,-19.270120621236,0.23807820725344128,-15.323714785894392,-9.543516545854558,inner_cv_band_worst,0.03,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2
0.04808967259435133,-10.803122879043586,0.36995933555634447,-11.007974294310753,0.13503777298313757,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2
0.037198575984644,-11.44985863809008,0.30470780610428033,-9.718341993337948,-4.278178874591221,inner_cv_mean,0.01,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2
0.0251634989438023,-9.883108223778525,0.23442714247405252,-8.736724674423519,-5.613881008543942,inner_cv_worst,0.003,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2
0.0251634989438023,-9.883108223778525,0.23442714247405252,-8.736724674423519,-5.613881008543942,inner_cv_safe,0.003,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2
0.037198575984644,-11.44985863809008,0.30470780610428033,-9.718341993337948,-4.278178874591221,inner_cv_band_mean,0.01,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2
