best_worst_heldout,mean_heldout,mean_worst_heldout,median_lambda,median_worst_heldout,rule,subset_count,train_size,worst_worst_heldout
-2.3316778255444315,-12.445628770397485,2.1462634245381085,0.025,-0.7022136921962074,fixed_lam0p025,6,1,13.213719605467444
-6.581999423979779,-13.02539614187602,-1.9415547413293859,0.025,-1.8045957813941804,fixed_lam0p025,15,2,3.9180206365500236
-8.615892150229499,-13.147265835920834,-3.544082017018691,0.025,-2.280401657751602,fixed_lam0p025,20,3,1.713542404906776
-11.756611283951756,-13.146932713598375,-5.110295911469753,0.025,-5.599536844727837,fixed_lam0p025,15,4,-1.6565557856815238
-21.90767807710313,-13.084727326331274,-8.905561926412647,0.025,-7.186684190529025,fixed_lam0p025,6,5,-1.7019296481831536
-2.3316778255444315,-12.445628770397485,2.1462634245381085,0.025,-0.7022136921962074,inner_cv_mean,6,1,13.213719605467444
-6.225502541072803,-11.201842998272166,0.2030274769788929,0.01,-1.8509046680291186,inner_cv_mean,15,2,14.10937414264093
-9.339056678121349,-12.441384067847787,-2.777855782508605,0.03,-2.0631648745910667,inner_cv_mean,20,3,14.24170630148116
-12.144466878407012,-13.503172268400368,-4.996221886997337,0.04,-5.441568763150306,inner_cv_mean,15,4,4.4173982360023345
-21.935750372504938,-14.506068517477724,-9.825417826181283,0.1,-8.37768771943762,inner_cv_mean,6,5,-2.156879639877185
-2.3316778255444315,-12.445628770397485,2.1462634245381085,0.025,-0.7022136921962074,inner_cv_worst,6,1,13.213719605467444
-6.225502541072803,-10.261598230621052,0.9535770890988624,0.015,-1.6225306971023645,inner_cv_worst,15,2,19.523426121513452
-11.021996720921369,-12.301512530802137,-2.967177450588279,0.02,-2.110932716486469,inner_cv_worst,20,3,14.24170630148116
-13.286643435592172,-13.762115887691616,-5.385793645326481,0.05,-4.683877903984057,inner_cv_worst,15,4,-1.3447716095586926
-21.959806440171768,-14.39447313152335,-9.50443868226075,0.1,-8.37768771943762,inner_cv_worst,6,5,-1.4306027741770366
-2.3316778255444315,-12.445628770397485,2.1462634245381085,0.025,-0.7022136921962074,inner_cv_safe,6,1,13.213719605467444
-6.225502541072803,-11.86620225979353,-1.7079270861076539,0.015,-1.6246268011059661,inner_cv_safe,15,2,5.9062700861042705
-11.021996720921369,-12.709209138764297,-3.407962423736367,0.02,-2.110932716486469,inner_cv_safe,20,3,5.740999848658901
-13.286643435592172,-13.762115887691616,-5.385793645326481,0.05,-4.683877903984057,inner_cv_safe,15,4,-1.3447716095586926
-21.959806440171768,-14.39447313152335,-9.50443868226075,0.1,-8.37768771943762,inner_cv_safe,6,5,-1.4306027741770366
-2.3316778255444315,-12.445628770397485,2.1462634245381085,0.025,-0.7022136921962074,inner_cv_band_mean,6,1,13.213719605467444
-6.225502541072803,-12.201361270476998,-1.4931968334438794,0.01,-1.6039350859009982,inner_cv_band_mean,15,2,5.552850605051862
-8.882226534733274,-12.771702431207995,-3.5621413158051602,0.03,-2.2204209916459328,inner_cv_band_mean,20,3,3.290192828930505
-12.144466878407012,-13.277156693615186,-5.163967488689973,0.03,-5.544459116558665,inner_cv_band_mean,15,4,-1.713376955071566
-21.959806440171768,-13.321970689886262,-9.029514610522934,0.03,-7.36797995401749,inner_cv_band_mean,6,5,-1.7606742418748267
-2.3316778255444315,-12.445628770397485,2.1462634245381085,0.025,-0.7022136921962074,inner_cv_band_worst,6,1,13.213719605467444
-6.225502541072803,-12.220366851610873,-1.4937819130757586,0.015,-1.6225306971023645,inner_cv_band_worst,15,2,5.552850605051862
-8.882226534733274,-12.645930836783858,-3.4525121968478283,0.02,-1.92697126126688,inner_cv_band_worst,20,3,3.290192828930505
-12.144466878407012,-13.04978779798054,-5.209341105636708,0.03,-5.535948953354497,inner_cv_band_worst,15,4,-1.3867467136642664
-21.959806440171768,-13.25144662296909,-8.97450269923997,0.03,-7.36797995401749,inner_cv_band_worst,6,5,-1.4306027741770366
