step,lr,train_loss,eval_loss
12000,0.0002,1.0608495473861694,1.0679935812950134
12004,0.0002,1.063584804534912,1.0562193274497986
12008,0.0002,1.0591504335403443,1.0602866649627685
12012,0.0002,1.0611207270622254,1.0554065704345703
12016,0.0002,1.0590889379978181,1.067593252658844
12020,0.0002,1.0622841172456743,1.045843255519867
12024,0.0002,1.065541629765034,1.0549421846866607
12028,0.0002,1.0629288477661611,1.0415529608726501
12032,0.0002,1.0626776924397707,1.0419369697570802
12036,0.0002,1.0606463233232046,1.0463599979877471
12040,0.0002,1.061550368034799,1.038643980026245
12044,0.0002,1.0640810273563497,1.0485440015792846
12048,0.0002,1.0668146916457086,1.04476500749588
12052,0.0002,1.0694330252612891,1.035686194896698
12056,0.0002,1.0660885677401957,1.0335824489593506
12060,0.0002,1.0591466580925646,1.0393923580646516
12064,0.0002,1.0577753563313124,1.03221475481987
12068,0.0002,1.0550572198261414,1.0453457593917848
12072,0.0002,1.0552412618663545,1.0348386585712432
12076,0.0002,1.0537638619065257,1.0357566952705384
12080,0.0002,1.049690445171592,1.047166359424591
12084,0.0002,1.0479198216558672,1.031214815378189
12088,0.0002,1.050490109845505,1.0388844966888429
12092,0.0002,1.0494502860824817,1.0293561398983002
12096,0.0002,1.0491505097020166,1.0327392399311066
12100,0.0002,1.052606525778934,1.0337226569652558
12104,0.0002,1.0522893036247774,1.0381924867630006
12108,0.0002,1.049582853750123,1.0198748230934143
12112,0.0002,1.0482536210141182,1.0167543172836304
12116,0.0002,1.0485360908676624,1.0338196873664856
12120,0.0002,1.0448908109816408,1.0362460434436798
12124,0.0002,1.0395611792223898,1.0365196943283081
12128,0.0002,1.0393349888399763,1.0287708520889283
12132,0.0002,1.038774814827042,1.0294749855995178
12136,0.0002,1.0385090767945027,1.0266414821147918
12140,0.0002,1.0368976705913402,1.0332033812999726
12144,0.0002,1.0360830408613078,1.0282298266887664
12148,0.0002,1.0369553490531616,1.0275715589523315
12152,0.0002,1.037840788726703,1.024115538597107
12156,0.0002,1.034008447973158,1.0197517335414887
12160,0.0002,1.0318088632657163,1.0327537298202514
12164,0.0002,1.0338951321095853,1.0375995635986328
12168,0.0002,1.0302251373217073,1.0177275359630584
12172,0.0002,1.0261600668268411,1.0129970371723176
12176,0.0002,1.0285944928261943,1.0257995486259461
12180,0.0002,1.0297373166263082,1.0243317782878876
12184,0.0002,1.029034414641259,1.0234934389591217
12188,0.0002,1.0292255867292268,1.03009192943573
12192,0.0002,1.0307442059013054,1.027813935279846
12196,0.0002,1.0326552250885492,1.0126977503299712
12200,0.0002,1.0320969336244636,1.0145730197429657
12204,0.0002,1.0251619022798395,1.0307578444480896
12208,0.0002,1.0273784996609558,1.027581411600113
12212,0.0002,1.0260567726082208,1.0145110785961151
12216,0.0002,1.028622287039751,1.0329466581344604
12220,0.0002,1.027926532201285,1.0323923349380493
12224,0.0002,1.0300730417123272,1.0292666018009187
12228,0.0002,1.0289414122656733,1.0213480472564698
12232,0.0002,1.0287255103846564,1.0216200649738312
12236,0.0002,1.0290283967965999,1.0297104120254517
12240,0.0002,1.0277719923777127,1.0204885184764863
12244,0.0002,1.0259528424372741,1.0200190126895905
12248,0.0002,1.0256756424335065,1.0104469895362853
12252,0.0002,1.0212918590987403,1.029916024208069
12256,0.0002,1.0169989351765525,1.0283369064331054
12260,0.0002,1.0149566725793076,1.0225443482398986
12264,0.0002,1.014833700290554,1.0341758966445922
12268,0.0002,1.0159575447123348,1.0262004494667054
12272,0.0002,1.0136696849478275,1.0199858725070954
12276,0.0002,1.01882041283366,1.0223649322986603
12280,0.0002,1.0135099779479229,1.0260547339916228
12284,0.0002,1.012736584923791,1.018669456243515
12288,0.0002,1.0171395655114595,1.0390251398086547
12292,0.0002,1.019889841881914,1.0083709537982941
12296,0.0002,1.0215291235514192,1.0261907577514648
12300,0.0002,1.0198644089997746,1.0250551283359528
12304,0.0002,1.0179590542585495,1.0100783288478852
12308,0.0002,1.0151433848861613,1.0288367748260498
