estimator,degree,scale,train_curve,train_label,test_curve,test_label,kappa,base_mae,corr_mae,delta_pct,win
current_smooth_cap,1,25,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,4.050763964655092e-05,0.00744534704076948,0.007444886816736016,-0.006181364427260139,1
current_smooth_cap,1,25,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,4.050763964655092e-05,0.003408385839825258,0.00340712373727403,-0.037029333254490204,1
current_smooth_cap,1,25,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,4.050763964655092e-05,0.0031360955249893426,0.0031351873198991425,-0.028959739362632853,1
current_smooth_cap,1,25,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,4.050763964655092e-05,0.004487187642230267,0.004480762385553296,-0.14319117427810113,1
current_smooth_cap,1,25,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,4.050763964655092e-05,0.002926482771138891,0.002924277854341611,-0.0753435769048294,1
current_smooth_cap,1,25,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,4.050763964655092e-05,0.002504818961791151,0.0025039901498903187,-0.03308869477095522,1
current_smooth_cap,1,100,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,4.508917255402245e-05,0.007265129575917493,0.007264617470183535,-0.007048817624066839,1
current_smooth_cap,1,100,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,4.508917255402245e-05,0.0037480705220761528,0.003746673887520329,-0.0372627608684839,1
current_smooth_cap,1,100,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,4.508917255402245e-05,0.003248313740665229,0.003247308726760834,-0.0309395577099858,1
current_smooth_cap,1,100,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,4.508917255402245e-05,0.0056693997340904675,0.005664203939538453,-0.09164629053711737,1
current_smooth_cap,1,100,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,4.508917255402245e-05,0.004934623402238123,0.004933150805342172,-0.02984213334867869,1
current_smooth_cap,1,100,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,4.508917255402245e-05,0.0013816404339982303,0.0013809373094309553,-0.05089056095732847,1
