base_config_id,base_mae,channel,config_id,corr_mae,delta_pct,drop_concentration,fit_start_step,kappa,max_mode,nuisance_lambda,raw_map,response_lambda,retention_power,rho,ridge_tau,scale,shrink,smooth_lambda,source_corr,source_dot,source_full_l2,source_l2,source_retention,step_lambda,target_factor,target_retention,test_curve,test_label,train_curve,win
35649,0.003408385839825258,smooth,26,0.0020812547296444124,-38.937232242723,0.0006394638242375368,3000,0.022553181840142367,8,0.04,0.10417128723514446,4.0,0.25,0.4,0.05,25,0.7142857142857143,4.0,0.3925467777163765,0.0007798626164957747,0.5907875979544439,0.004986349042950781,0.008440172170532398,20.0,1.0,0.24345792453953974,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
35649,0.0031360955249893426,smooth,26,0.0022165876091100427,-29.32015012146113,0.00025006251562922964,3000,0.022553181840142367,8,0.04,0.10417128723514446,4.0,0.25,0.4,0.05,25,0.7142857142857143,4.0,0.3925467777163765,0.0007798626164957747,0.5907875979544439,0.004986349042950781,0.008440172170532398,20.0,1.0,0.2957175531147966,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
35649,0.004487187642230267,step,26,0.0019119626290772579,-57.390624562182225,1.0,3000,0.030289789201062903,8,0.04,0.09902959693978892,20.0,0.25,0.4,0.05,25,0.7142857142857143,4.0,0.4123403804942034,0.0003255696437524401,0.02342438931777075,0.0007875994027360322,0.03362304955111574,20.0,1.0,0.44266050369750576,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
35649,0.002926482771138891,step,26,0.002338459314436752,-20.093180199154205,1.0,3000,0.030289789201062903,8,0.04,0.09902959693978892,20.0,0.25,0.4,0.05,25,0.7142857142857143,4.0,0.4123403804942034,0.0003255696437524401,0.02342438931777075,0.0007875994027360322,0.03362304955111574,20.0,1.0,0.7364994292451671,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
35649,0.002504818961791151,step,26,0.0021937260604361145,-12.41977588402554,1.0,3000,0.030289789201062903,8,0.04,0.09902959693978892,20.0,0.25,0.4,0.05,25,0.7142857142857143,4.0,0.4123403804942034,0.0003255696437524401,0.02342438931777075,0.0007875994027360322,0.03362304955111574,20.0,1.0,0.8578372424999297,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
35649,0.0037480705220761528,smooth,26,0.002022674877289131,-46.034236405756864,0.0006394638242375368,3000,0.029493742083289497,8,0.04,0.1362291626953079,4.0,0.25,0.4,0.05,100,0.7142857142857143,4.0,0.38947859307462473,0.0010198590617660048,0.5907875979544439,0.004986349042950781,0.008440172170532398,20.0,1.0,0.24579949997854486,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
35649,0.003248313740665229,smooth,26,0.0020528667036432894,-36.80208047813514,0.00025006251562922964,3000,0.029493742083289497,8,0.04,0.1362291626953079,4.0,0.25,0.4,0.05,100,0.7142857142857143,4.0,0.38947859307462473,0.0010198590617660048,0.5907875979544439,0.004986349042950781,0.008440172170532398,20.0,1.0,0.2982197153855403,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
35649,0.0056693997340904675,step,26,0.0032306563612014257,-43.01590092906521,1.0,3000,0.042221495977781597,8,0.04,0.1380391821521131,20.0,0.25,0.4,0.05,100,0.7142857142857143,4.0,0.43607717205543706,0.00045381753279745743,0.02342438931777075,0.0007875994027360322,0.03362304955111574,20.0,1.0,0.4740862633020452,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
35649,0.004934623402238123,step,26,0.004647485769126266,-5.818835799741562,1.0,3000,0.042221495977781597,8,0.04,0.1380391821521131,20.0,0.25,0.4,0.05,100,0.7142857142857143,4.0,0.43607717205543706,0.00045381753279745743,0.02342438931777075,0.0007875994027360322,0.03362304955111574,20.0,1.0,0.7666790347659259,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
35649,0.0013816404339982303,step,26,0.0012596486406353633,-8.829489233305354,1.0,3000,0.042221495977781597,8,0.04,0.1380391821521131,20.0,0.25,0.4,0.05,100,0.7142857142857143,4.0,0.43607717205543706,0.00045381753279745743,0.02342438931777075,0.0007875994027360322,0.03362304955111574,20.0,1.0,0.8763904665067679,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
