base_mae,boundary,boundary_explanation_strength,boundary_factor,boundary_role,cooldown_support_span,corr_mae,delta_obs,delta_pct,effective_tau_steps,fitted_residual_params,group,nonharm,rule,rule_explanation_strength,rule_role,scale,tau_source,test_curve,test_label,uses_target_loss,win
0.0031360955249893426,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.002899097883341093,128,-7.55709256174698,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,25,Delta_obs,wsdld_20000_24000.csv,WSD linear,0,1
0.004487187642230267,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.00395286397640606,128,-11.907762911350684,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,25,Delta_obs,wsdcon_3.csv,WSD-con 3e-5,0,1
0.002926482771138891,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.002643624266055623,128,-9.665476519213833,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,25,Delta_obs,wsdcon_9.csv,WSD-con 9e-5,0,1
0.002504818961791151,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.0022955958294938223,128,-8.35282451501872,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,25,Delta_obs,wsdcon_18.csv,WSD-con 18e-5,0,1
0.004428106847791531,linear_support,strong,0.0,recommended_boundary,21840,0.004428106847791531,128,0.0,128.0,0,extra_control,1,fixed_one_obs,strong,conservative_lower,25,Delta_obs,cosine_24000.csv,Cosine 24k,0,0
0.003761619732988638,linear_support,strong,0.0,recommended_boundary,0,0.003761619732988638,128,0.0,128.0,0,extra_control,1,fixed_one_obs,strong,conservative_lower,25,Delta_obs,constant_24000.csv,Constant 24k,0,0
0.0015795124507172926,linear_support,strong,0.0,recommended_boundary,0,0.0015795124507172926,128,0.0,128.0,0,extra_control,1,fixed_one_obs,strong,conservative_lower,25,Delta_obs,constant_72000.csv,Constant 72k,0,0
0.0037480705220761528,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.003441576489404137,128,-8.177381691906927,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,100,Delta_obs,wsd_20000_24000.csv,WSD sharp,0,1
0.003248313740665229,linear_support,strong,0.8168498168498168,recommended_boundary,4000,0.0029584493274007868,128,-8.92353499096058,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,100,Delta_obs,wsdld_20000_24000.csv,WSD linear,0,1
0.0056693997340904675,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.005056284724650654,128,-10.814460757690325,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,100,Delta_obs,wsdcon_3.csv,WSD-con 3e-5,0,1
0.004934623402238123,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.00462770058842279,128,-6.219781912356814,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,100,Delta_obs,wsdcon_9.csv,WSD-con 9e-5,0,1
0.0013816404339982303,linear_support,strong,0.9998554913294798,recommended_boundary,2,0.001263647936904179,128,-8.54002924281836,128.0,0,core_wsd,1,fixed_one_obs,strong,conservative_lower,100,Delta_obs,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0032781062167547585,linear_support,strong,0.0,recommended_boundary,21840,0.0032781062167547585,128,0.0,128.0,0,extra_control,1,fixed_one_obs,strong,conservative_lower,100,Delta_obs,cosine_24000.csv,Cosine 24k,0,0
0.001848699219840022,linear_support,strong,0.0,recommended_boundary,0,0.001848699219840022,128,0.0,128.0,0,extra_control,1,fixed_one_obs,strong,conservative_lower,100,Delta_obs,constant_24000.csv,Constant 24k,0,0
0.004776169698442608,linear_support,strong,0.0,recommended_boundary,0,0.004776169698442608,128,0.0,128.0,0,extra_control,1,fixed_one_obs,strong,conservative_lower,100,Delta_obs,constant_72000.csv,Constant 72k,0,0
