base_mae,coef,corr_mae,delta_pct,fit_objective,group,lambda,localization,residualized_corr,scale,test_curve,test_label,variant,win
0.003408385839825258,0.041925777138522614,0.0021644918497926956,-36.495104970167766,0.0001952557255847522,core_wsd,7.227208795627145,1.0,0.012521473100467126,25,wsd_20000_24000.csv,WSD sharp,strict_exact,1
0.0031360955249893426,0.04192877982244451,0.0020747696278929774,-33.842269428319526,0.00019525273313871766,core_wsd,7.222991414077641,1.0,0.012522624892802972,25,wsdld_20000_24000.csv,WSD linear,strict_exact,1
0.004487187642230267,0.03208308197767467,0.0024916514542324044,-44.471868508846704,0.00019964498142824742,core_wsd,18.05070782708191,1.0,0.009417420546899232,25,wsdcon_3.csv,WSD-con 3e-5,strict_exact,1
0.002926482771138891,0.03208308197767467,0.0023533449816484976,-19.58452635165684,0.00019964498142824742,core_wsd,18.05070782708191,1.0,0.009417420546899232,25,wsdcon_9.csv,WSD-con 9e-5,strict_exact,1
0.002504818961791151,0.03208308197767467,0.0021572199256494127,-13.877211944019152,0.00019964498142824742,core_wsd,18.05070782708191,1.0,0.009417420546899232,25,wsdcon_18.csv,WSD-con 18e-5,strict_exact,1
0.004428106847791531,0.041930152843259766,0.00542053787870988,22.412084103465403,0.0001952513636332912,extra_control,7.221062086481109,1.0,0.01252315174787187,25,cosine_24000.csv,Cosine 24k,strict_exact,0
0.003761619732988638,0.04193070708296342,0.003761619732988638,0.0,0.0001952508106050036,extra_control,7.220283130832764,1.0,0.012523364452831073,25,constant_24000.csv,Constant 24k,strict_exact,0
0.0015795124507172926,0.04193070708296342,0.0015795124507172926,0.0,0.0001952508106050036,extra_control,7.220283130832764,1.0,0.012523364452831073,25,constant_72000.csv,Constant 72k,strict_exact,0
0.0037480705220761528,0.058589151705704924,0.0015635307338543844,-58.28438326746572,0.00022333163301566837,core_wsd,7.227208795627145,1.0,0.022569788685334692,100,wsd_20000_24000.csv,WSD sharp,strict_exact,1
0.003248313740665229,0.058592661516242255,0.0016221084146730031,-50.06306212463307,0.0002233261335774554,core_wsd,7.222991414077641,1.0,0.022571336022311757,100,wsdld_20000_24000.csv,WSD linear,strict_exact,1
0.0056693997340904675,0.0453488872370202,0.0040726216915784865,-28.16485196678673,0.00023176190657772097,core_wsd,18.05070782708191,1.0,0.017366526506475494,100,wsdcon_3.csv,WSD-con 3e-5,strict_exact,1
0.004934623402238123,0.0453488872370202,0.004881039589362692,-1.085874412445098,0.00023176190657772097,core_wsd,18.05070782708191,1.0,0.017366526506475494,100,wsdcon_9.csv,WSD-con 9e-5,strict_exact,1
0.0013816404339982303,0.0453488872370202,0.001295473814660953,-6.236544416113099,0.00023176190657772097,core_wsd,18.05070782708191,1.0,0.017366526506475494,100,wsdcon_18.csv,WSD-con 18e-5,strict_exact,1
0.0032781062167547585,0.05859426598038529,0.0048299703585724055,47.34026414049368,0.00022332361690059603,extra_control,7.221062086481109,1.0,0.0225720435413647,100,cosine_24000.csv,Cosine 24k,strict_exact,0
0.001848699219840022,0.05859491356579989,0.001848699219840022,0.0,0.00022332260065526254,extra_control,7.220283130832764,1.0,0.02257232913752262,100,constant_24000.csv,Constant 24k,strict_exact,0
0.004776169698442608,0.05859491356579989,0.004776169698442608,0.0,0.00022332260065526254,extra_control,7.220283130832764,1.0,0.02257232913752262,100,constant_72000.csv,Constant 72k,strict_exact,0
0.004701998914275349,0.08289385228415976,0.001892489118498375,-59.75139184416343,0.0003021919567663921,core_wsd,7.227208795627145,1.0,0.03825753165591623,400,wsd_20000_24000.csv,WSD sharp,strict_exact,1
0.0038535563963712593,0.08289924449189241,0.0017616910027314751,-54.28402178334826,0.0003021805970902943,core_wsd,7.222991414077641,1.0,0.0382605757107608,400,wsdld_20000_24000.csv,WSD linear,strict_exact,1
0.008173606778800102,0.06381815428261355,0.0036406167332505446,-55.4588710739888,0.00031925201568877765,core_wsd,18.05070782708191,1.0,0.029093201914880976,400,wsdcon_3.csv,WSD-con 3e-5,strict_exact,1
