base_config_id,config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_fit_start,smooth_lambda,step_fit_start,step_lambda,wins,worst_delta
59585,0,12,-27.927120047628218,0.05677481242556136,0.022418766655579844,0.4746148908293079,-32.001822073300545,15,0.02,0.0,0.75,0.05,15,0,7.0,0,20.0,15,-1.2721401870118942
59585,1,12,-27.927120047628218,0.05677481242556136,0.022418766655579844,0.4746148908293079,-32.001822073300545,15,0.02,0.0,0.75,0.05,15,0,7.0,2160,20.0,15,-1.2721401870118942
59585,2,12,-28.752495202898647,0.05569956595181001,0.022164690764609644,0.4746148908293079,-33.886662177460266,15,0.02,0.0,0.75,0.05,15,0,7.0,3000,20.0,15,-3.1929775625798684
59585,3,12,-30.445340828220694,0.05305416876878074,0.021566836297364052,0.4746148908293079,-33.886662177460266,15,0.02,0.0,0.75,0.05,15,0,7.0,5000,20.0,15,-4.784730712576479
59585,4,12,-31.440453279948965,0.05069104767247416,0.020676089133508005,0.4746148908293079,-33.886662177460266,15,0.02,0.0,0.75,0.05,15,0,7.0,8000,20.0,15,-6.081117679037651
59585,5,12,-31.03890534919107,0.04751841810038572,0.019425223613098355,0.4746148908293079,-33.886662177460266,15,0.02,0.0,0.75,0.05,15,0,7.0,12000,20.0,15,-5.449623484573085
59585,6,12,-29.574688266084536,0.044227951296719824,0.018100311159709174,0.4746148908293079,-33.886662177460266,15,0.02,0.0,0.75,0.05,15,0,7.0,16000,20.0,15,-4.824953738412252
59585,7,12,-25.85054578217123,0.038151095258963874,0.015412987301680272,0.4746148908293079,-29.98917753192032,15,0.02,0.0,0.75,0.05,15,0,7.0,24000,20.0,15,-3.6811311807542713
59585,8,12,-27.927120047628218,0.05677481242556136,0.022418766655579844,0.4746148908293079,-32.001822073300545,15,0.02,0.0,0.75,0.05,15,2160,7.0,0,20.0,15,-1.2721401870118942
59585,9,12,-27.927120047628218,0.05677481242556136,0.022418766655579844,0.4746148908293079,-32.001822073300545,15,0.02,0.0,0.75,0.05,15,2160,7.0,2160,20.0,15,-1.2721401870118942
59585,10,12,-28.752495202898647,0.05569956595181001,0.022164690764609644,0.4746148908293079,-33.886662177460266,15,0.02,0.0,0.75,0.05,15,2160,7.0,3000,20.0,15,-3.1929775625798684
