base_mae,channel,config_id,corr_mae,delta_pct,drop_concentration,kappa,max_mode,nuisance_lambda,raw_map,response_lambda,retention_power,rho,ridge_tau,scale,shrink,smooth_fit_start,smooth_lambda,source_corr,source_dot,source_full_l2,source_l2,source_retention,step_fit_start,step_lambda,target_factor,target_retention,test_curve,test_label,train_curve,win
0.003408385839825258,smooth,20,0.002206935940000135,-35.24982077400952,0.0006394638242375368,0.04197910046093108,12,0.02,0.0734634258066294,7.0,0.0,0.75,0.05,25,0.5714285714285714,3000,7.0,0.3430470296549119,0.0003711875662667126,0.19485463981256074,0.0025526852265745584,0.013100459034642947,8000,20.0,1.0,0.17518561557655415,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,20,0.002075103802589169,-33.83161367202866,0.00025006251562922964,0.04197910046093108,12,0.02,0.0734634258066294,7.0,0.0,0.75,0.05,25,0.5714285714285714,3000,7.0,0.3430470296549119,0.0003711875662667126,0.19485463981256074,0.0025526852265745584,0.013100459034642947,8000,20.0,1.0,0.22005000471832278,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,20,0.001829628843166137,-59.22548845635623,1.0,0.02907941470691537,12,0.02,0.0508889757371019,20.0,0.0,0.75,0.05,25,0.5714285714285714,3000,7.0,0.36155874024516726,0.0001576612179730726,0.023413441262264873,0.0005981409173485418,0.02554690319327631,8000,20.0,1.0,0.38740718093876747,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,20,0.002321423047141174,-20.67532158278339,1.0,0.02907941470691537,12,0.02,0.0508889757371019,20.0,0.0,0.75,0.05,25,0.5714285714285714,3000,7.0,0.36155874024516726,0.0001576612179730726,0.023413441262264873,0.0005981409173485418,0.02554690319327631,8000,20.0,1.0,0.6966606946155736,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,20,0.0021973363077687704,-12.275643817487925,1.0,0.02907941470691537,12,0.02,0.0508889757371019,20.0,0.0,0.75,0.05,25,0.5714285714285714,3000,7.0,0.36155874024516726,0.0001576612179730726,0.023413441262264873,0.0005981409173485418,0.02554690319327631,8000,20.0,1.0,0.8336059969555624,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,20,0.0016095392828010886,-57.05685703294816,0.0006394638242375368,0.05373865504783047,12,0.02,0.09404264633370334,7.0,0.0,0.75,0.05,100,0.5714285714285714,3000,7.0,0.3642484506236426,0.000475167889798279,0.19485463981256074,0.0025526852265745584,0.013100459034642947,8000,20.0,1.0,0.17711808489103906,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,20,0.001701896022144723,-47.60678438049558,0.00025006251562922964,0.05373865504783047,12,0.02,0.09404264633370334,7.0,0.0,0.75,0.05,100,0.5714285714285714,3000,7.0,0.3642484506236426,0.000475167889798279,0.19485463981256074,0.0025526852265745584,0.013100459034642947,8000,20.0,1.0,0.2223430495187658,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,20,0.0031484116141963724,-44.466579146558146,1.0,0.041479269612335466,12,0.02,0.07258872182158707,20.0,0.0,0.75,0.05,100,0.5714285714285714,3000,7.0,0.40874063493096985,0.00022489008921348992,0.023413441262264873,0.0005981409173485418,0.02554690319327631,8000,20.0,1.0,0.4223534000775548,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,20,0.004624322716818394,-6.288234382364233,1.0,0.041479269612335466,12,0.02,0.07258872182158707,20.0,0.0,0.75,0.05,100,0.5714285714285714,3000,7.0,0.40874063493096985,0.00022489008921348992,0.023413441262264873,0.0005981409173485418,0.02554690319327631,8000,20.0,1.0,0.7295470445133029,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,20,0.0012550351640086652,-9.163402204667037,1.0,0.041479269612335466,12,0.02,0.07258872182158707,20.0,0.0,0.75,0.05,100,0.5714285714285714,3000,7.0,0.40874063493096985,0.00022489008921348992,0.023413441262264873,0.0005981409173485418,0.02554690319327631,8000,20.0,1.0,0.8538245542947901,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
