center,config_id,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
0.2,0,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.05,15,-10.801466736917275
0.2,1,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.05,15,-10.801466736917275
0.2,2,signed,0.001,-36.81619274989032,0.018929495552952216,0.03464301700688407,0.033419114594537475,-40.477293275340145,15,15,1,0.0,0.05,15,-10.03301083767919
0.2,3,signed,0.001,-37.15930923698411,0.018929495552952216,0.046768072959293486,0.033419114594537475,-40.477293275340145,15,15,0,0.0,0.05,15,-10.03301083767919
0.2,4,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.05,15,-10.801466736917275
0.2,5,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.05,15,-10.801466736917275
0.2,6,signed,0.003,-36.82079831285105,0.018928513006764184,0.03449307691906826,0.03345078873295104,-40.477293275340145,15,15,1,0.0,0.05,15,-10.043758206688336
0.2,7,signed,0.003,-37.162042131597474,0.018928513006764184,0.04656565384074217,0.03345078873295104,-40.477293275340145,15,15,0,0.0,0.05,15,-10.043758206688336
0.2,8,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.05,15,-10.801466736917275
0.2,9,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.05,15,-10.801466736917275
0.2,10,signed,0.01,-36.87051229169193,0.018917907080328176,0.03287457362375853,0.033792689942413696,-40.477293275340145,15,15,1,0.0,0.05,15,-10.159769046193045
