center,config_id,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
0.2,98,signed,0.1,-37.58780223485657,0.0187218531245696,0.0039415797927240676,0.04000726500005008,-40.477293275340145,15,15,1,1.0,0.1,15,-10.478625347560723
0.2,239,signed,0.1,-37.587271637384056,0.018709813032961233,0.0032399793921209976,0.04043317081806385,-40.477293275340145,15,15,0,2.0,0.25,15,-10.485845717324626
0.2,99,signed,0.1,-37.581037405744944,0.0187218531245696,0.0053211327201774915,0.04000726500005008,-40.477293275340145,15,15,0,1.0,0.1,15,-10.211817681008128
0.2,158,signed,0.1,-37.576309508903904,0.01872275921737358,0.004408734920209,0.03997015769921816,-40.477293275340145,15,15,1,1.0,0.15,15,-10.141492006294794
0.2,179,signed,0.1,-37.57501185496574,0.01870956182451858,0.00293996237867949,0.040436873792600164,-40.477293275340145,15,15,0,2.0,0.15,15,-10.590573340210662
0.2,238,signed,0.1,-37.57129341422573,0.018709813032961233,0.002399984734904443,0.04043317081806385,-40.477293275340145,15,15,1,2.0,0.25,15,-10.613292110133388
0.2,119,signed,0.1,-37.55913387133882,0.018710610121443493,0.0030307627047341085,0.04040613967799344,-40.477293275340145,15,15,0,2.0,0.1,15,-10.690490309046453
0.2,178,signed,0.1,-37.55875022490539,0.01870956182451858,0.0021777499101329556,0.040436873792600164,-40.477293275340145,15,15,1,2.0,0.15,15,-10.689876295793276
0.3,479,signed,0.1,-37.5586293933343,0.01871454746145379,0.005149431967873737,0.040317257036893345,-40.477293275340145,15,15,0,2.0,0.25,15,-10.16771307702088
0.3,478,signed,0.1,-37.55845535633408,0.01871454746145379,0.0038143940502768417,0.040317257036893345,-40.477293275340145,15,15,1,2.0,0.25,15,-10.398356017522447
0.2,114,signed,0.03,-37.55354403146224,0.01876574564439536,0.0174787778614531,0.038159088869752424,-40.477293275340145,15,15,1,2.0,0.1,15,-10.550916366608941
0.2,118,signed,0.1,-37.54452591455926,0.018710610121443493,0.0022450094109141543,0.04040613967799344,-40.477293275340145,15,15,1,2.0,0.1,15,-10.769289295195305
0.5,754,signed,0.03,-37.53539718169809,0.018700266282186278,0.006982042768972665,0.040846738290070496,-40.477293275340145,15,15,1,1.0,0.05,15,-10.750700801442248
0.2,218,signed,0.1,-37.53491410715862,0.018725336616126374,0.005108807832822223,0.03992787361102259,-40.477293275340145,15,15,1,1.0,0.25,15,-9.77474501817861
0.5,755,signed,0.03,-37.534745730441735,0.018700266282186278,0.009425757738113098,0.040846738290070496,-40.477293275340145,15,15,0,1.0,0.05,15,-10.750501195117746
0.5,770,signed,0.01,-37.5345002474593,0.018697688164008165,0.02654255284421765,0.04097130982842974,-40.477293275340145,15,15,1,2.0,0.05,15,-10.698755334929
