curve,label,minimal_mean_delta,minimal_worst_delta,old_mean_delta,old_worst_delta,rows
cosine_72000.csv,Cosine,-17.795125010423323,-14.358067877085535,-38.17445757191421,-23.982473873166832,3
wsd_20000_24000.csv,WSD sharp,-54.321344420505675,-40.8531173391397,-50.769536507171296,-39.33204928280916,3
wsdld_20000_24000.csv,WSD linear,-46.6802920887279,-33.93644382074867,-45.74948302262762,-33.2775436611649,3
wsdcon_3.csv,WSD-con 3e-5,-53.190113117305124,-42.94210489175501,-32.675157177759495,-21.724209962386777,3
wsdcon_9.csv,WSD-con 9e-5,-8.523074253411767,-0.410037060093571,-12.863592043116308,-5.613852346395454,3
wsdcon_18.csv,WSD-con 18e-5,-11.718410514585676,-7.030977928538551,-13.362362700267118,-6.506536851252676,3
cosine_24000.csv,Cosine 24k,0.0,0.0,0.0,0.0,3
constant_24000.csv,Constant 24k,0.0,0.0,0.0,0.0,3
constant_72000.csv,Constant 72k,0.0,0.0,0.0,0.0,3
