curve,label,minimal_delta_pct,minimal_holdout_mae,minimal_kappa,minimal_route,minimal_tau,minimal_train_curves,minimal_uses_target_residual,mpl_mae,old_delta_pct,old_samefit_kappa,old_samefit_mae,old_uses_target_residual,scale
cosine_72000.csv,Cosine,-14.358067877085535,0.006376339058971219,0.010778379494651007,smooth_decay,8192.0,wsdcon_3,0,0.00744534704076948,-41.64006399589033,0.4814157232423702,0.004345099768276942,1,25
wsd_20000_24000.csv,WSD sharp,-40.8531173391397,0.002015953973310823,0.017661820970813195,finite_tail,5120.0,wsdld_20000_24000,0,0.003408385839825258,-39.33204928280916,0.04769636075258367,0.0020677978415568985,1,25
wsdld_20000_24000.csv,WSD linear,-33.93644382074867,0.002071816228986321,0.017299103194726963,finite_tail,5120.0,wsd_20000_24000,0,0.0031360955249893426,-33.2775436611649,0.051012194550503306,0.0020924799674051755,1,25
wsdcon_3.csv,WSD-con 3e-5,-58.366675422734595,0.0018681653954806699,0.029234822517060725,full_step_drop,1536.0,wsd_20000_24000+wsdld_20000_24000,0,0.004487187642230267,-38.286952106186014,0.017559440308880705,0.0027691802587348677,1,25
wsdcon_9.csv,WSD-con 9e-5,-16.11172217529311,0.002454975997545174,0.03116516808947806,medium_step_drop,768.0,wsdcon_3+wsdcon_18,0,0.002926482771138891,-24.84384123081691,0.016135752669323045,0.002199432037829934,1,25
wsdcon_18.csv,WSD-con 18e-5,-16.315803898431447,0.00209613761197458,0.02147010144323278,weak_step_drop,512.0,wsdcon_9,0,0.002504818961791151,-22.104680842853032,0.03096651876116605,0.0019511367245959523,1,25
cosine_24000.csv,Cosine 24k,0.0,0.004428106847791531,0.0,short_smooth_no_transfer,0.0,none,0,0.004428106847791531,0.0,0.0,0.004428106847791531,1,25
constant_24000.csv,Constant 24k,0.0,0.003761619732988638,0.0,no_lr_drop,0.0,none,0,0.003761619732988638,0.0,0.0,0.003761619732988638,1,25
constant_72000.csv,Constant 72k,0.0,0.0015795124507172926,0.0,no_lr_drop,0.0,none,0,0.0015795124507172926,0.0,0.0,0.0015795124507172926,1,25
cosine_72000.csv,Cosine,-14.372584020967627,0.0062209427233865825,0.010529130678293495,smooth_decay,8192.0,wsdcon_3,0,0.007265129575917493,-48.90083484668547,0.5358652541815773,0.003712420560600379,1,100
wsd_20000_24000.csv,WSD sharp,-59.126471101696055,0.0015319686879696078,0.02722931495058765,finite_tail,5120.0,wsdld_20000_24000,0,0.0037480705220761528,-55.96096967630575,0.07542027714846393,0.0016506139137705625,1,100
wsdld_20000_24000.csv,WSD linear,-51.39566507845967,0.0015788212898153425,0.027361447541414962,finite_tail,5120.0,wsd_20000_24000,0,0.003248313740665229,-50.913870228414204,0.07879446245039433,0.0015944714981311872,1,100
wsdcon_3.csv,WSD-con 3e-5,-42.94210489175501,0.0032348401535444594,0.04558388881020212,full_step_drop,1536.0,wsd_20000_24000+wsdld_20000_24000,0,0.0056693997340904675,-21.724209962386777,0.02131705969865454,0.004437767432249657,1,100
wsdcon_9.csv,WSD-con 9e-5,-0.410037060093571,0.004914389617512897,0.03787927416574922,medium_step_drop,768.0,wsdcon_3+wsdcon_18,0,0.004934623402238123,-5.613852346395454,0.015428668529379243,0.004657600930585799,1,100
wsdcon_18.csv,WSD-con 18e-5,-11.808449716787027,0.0012184901180827513,0.024039524082155365,weak_step_drop,512.0,wsdcon_9,0,0.0013816404339982303,-11.475870406695643,0.018248042675668277,0.0012230851683060861,1,100
cosine_24000.csv,Cosine 24k,0.0,0.0032781062167547585,0.0,short_smooth_no_transfer,0.0,none,0,0.0032781062167547585,0.0,0.0,0.0032781062167547585,1,100
constant_24000.csv,Constant 24k,0.0,0.001848699219840022,0.0,no_lr_drop,0.0,none,0,0.001848699219840022,0.0,0.0,0.001848699219840022,1,100
constant_72000.csv,Constant 72k,0.0,0.004776169698442608,0.0,no_lr_drop,0.0,none,0,0.004776169698442608,0.0,0.0,0.004776169698442608,1,100
cosine_72000.csv,Cosine,-24.654723133216805,0.004228840341558729,0.020647941159521073,smooth_decay,8192.0,wsdcon_3,0,0.005612615040270773,-23.982473873166832,0.342376104647063,0.004266571104636403,1,400
wsd_20000_24000.csv,WSD sharp,-62.98444482068126,0.0017404710026445599,0.03539944906810893,finite_tail,5120.0,wsdld_20000_24000,0,0.004701998914275349,-57.01559056239899,0.10121370162592601,0.00202112646506367,1,400
wsdld_20000_24000.csv,WSD linear,-54.70876736697537,0.0017453231921253076,0.03694554593362135,finite_tail,5120.0,wsd_20000_24000,0,0.0038535563963712593,-53.05703517830376,0.1016427946242588,0.0018089736235327857,1,400
wsdcon_3.csv,WSD-con 3e-5,-58.26155903742578,0.0034115360398824447,0.06008455401630307,full_step_drop,1536.0,wsd_20000_24000+wsdld_20000_24000,0,0.008173606778800102,-38.0143094647057,0.03646705120003114,0.005066466603478869,1,400
wsdcon_9.csv,WSD-con 9e-5,-9.04746352484862,0.006082274405733512,0.056161019345171766,medium_step_drop,768.0,wsdcon_3+wsdcon_18,0,0.006687305974578527,-8.13308255213656,0.028340519806877164,0.006143421859152095,1,400
wsdcon_18.csv,WSD-con 18e-5,-7.030977928538551,0.002378104999390537,0.039003369467519484,weak_step_drop,512.0,wsdcon_9,0,0.0025579541942073844,-6.506536851252676,0.025067531372228218,0.0023915199619231175,1,400
cosine_24000.csv,Cosine 24k,0.0,0.007134640765897494,0.0,short_smooth_no_transfer,0.0,none,0,0.007134640765897494,0.0,0.0,0.007134640765897494,1,400
constant_24000.csv,Constant 24k,0.0,0.001679822173746335,0.0,no_lr_drop,0.0,none,0,0.001679822173746335,0.0,0.0,0.001679822173746335,1,400
constant_72000.csv,Constant 72k,0.0,0.004118245803084534,0.0,no_lr_drop,0.0,none,0,0.004118245803084534,0.0,0.0,0.004118245803084534,1,400
