estimator,worst_offdiag,median_offdiag,mean_offdiag,cosine_to_wsd,wsdcon9_to_wsd
raw_ls,1375.7679375121534,-7.148425775988243,91.11537988253541,240.57890477314365,-15.73520620185127
hard_gate_cap_0p03,0.0,-10.567331556235288,-10.57735492304513,0.0,-15.73520620185127
smooth_weight,79.264097890421,-6.3669461008858725,-2.6816170198533995,-0.03000955639911318,-15.72374365894147
smooth_weight_cap_0p04,7.4205070856538935,-6.826112411717721,-8.974549946852353,-0.03000955639911318,-15.72374365894147
smooth_weight_cap_0p03,-0.025002922676364836,-10.564139252609785,-10.578379396442363,-0.03000955639911318,-15.72374365894147
susceptibility_prior,-1.3442057007707509,-8.104448496390454,-8.329691135222607,-1.613810575370056,-10.420352998403871
smooth_prior_cap,-0.00011310562353372688,-7.113850266990957,-7.5394745080622565,-0.00013579101172389585,-10.412762138656184
reliability_prior,-0.01393430545976182,-9.534345298742146,-9.549760842409393,-0.016728145225752833,-10.52958641497128
